"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
125;"PAPE";"LON";2;2.82072024134361;-29.0961233699899
83;"HELI";"DAC";3;3.81366246352847;-21.3354608938216
105;"ELED";"MOS";3;2.80440485192648;6.9745688800658
132;"LOLI";"VUL";3;1.77761139479966;68.7657948624988
97;"EUTR";"GUR";5;4.43799914767115;12.663383511999
112;"CITH";"MAC";5;4.98552532852611;0.290333927120388
83;"LOPH";"PIS";5;7.38594903795312;-32.3038925085021
97;"PHYI";"BLE";10;7.40163313154694;35.1053182760221
156;"PAGE";"BOG";10;16.5542788422703;-39.592657008618
85;"LOPH";"BUD";10;8.27830702426495;20.7976458313097
80;"TRIS";"CAP";10;11.8300527596483;-15.4695232289286
80;"ASPI";"CUC";10;9.96010896646483;0.40050800317024
129;"ASPI";"CUC";10;6.46718190582745;54.6268551838507
137;"ASPI";"CUC";10;9.96010896646483;0.40050800317024
100;"SPIC";"FLE";10;10.4334238186163;-4.15418587561739
110;"EUTR";"GUR";10;8.69809119483073;14.9677529932428
134;"EUTR";"GUR";10;6.09837628332907;63.9780744152615
138;"EUTR";"GUR";10;7.44893668168036;34.2473486798945
147;"EUTR";"GUR";10;8.69809119483073;14.9677529932428
158;"EUTR";"GUR";10;7.44893668168036;34.2473486798945
100;"TRIP";"LAS";10;7.52453111370274;32.8986464258117
133;"TRIP";"LAS";10;8.81944857212533;13.3857737047859
101;"PAPE";"LON";10;11.2205092440132;-10.8774853036585
105;"PAPE";"LON";10;7.25519652955294;37.8322414736324
147;"PAPE";"LON";10;8.70748066131155;14.8437807554518
125;"SPIC";"SMA";10;10.7319021227399;-6.81987325610318
148;"SPIC";"SMA";10;8.27637807062402;20.8257998205008
123;"MULL";"SUR";10;7.84659116339255;27.4438771151217
80;"TRAC";"TRA";10;8.60513509593485;16.2096804816475
150;"TRAC";"TRA";10;16.7479542950178;-40.2912151308247
110;"ELED";"CIR";12;9.37332203583061;28.022913905322
134;"PAPE";"LON";12;11.1373755492659;7.7453116932109
154;"PAPE";"LON";14;8.69455536532487;61.0203099727675
109;"PAGE";"ACA";15;13.1694204128413;13.900228937742
76;"TRIS";"CAP";15;14.4048803718751;4.13137501153352
105;"TRIS";"CAP";15;14.5204379642733;3.30266922324702
157;"TRIS";"CAP";15;15.5899540850235;-3.78419385846831
134;"ELED";"CIR";15;26.2914677622508;-42.9472704390549
158;"ZEUS";"FAB";15;10.2017368521801;47.033786671282
80;"SPIC";"FLE";15;13.7052466980064;9.44713605324561
135;"SPIC";"FLE";15;13.7052466980064;9.44713605324561
146;"EUTR";"GUR";15;12.513025918667;19.8750813552051
126;"PAPE";"LON";15;9.23566073812496;62.4139346964073
150;"PAPE";"LON";15;12.0540802324752;24.439191632292
