Survey;Year;Haul;Species;Number;Weight
MEDITS-GSA18;2020;76;ALLOMED;27;0.03
MEDITS-GSA18;2020;76;ALLOSUB;11;0.03
MEDITS-GSA18;2020;76;ARNOTHO;1;0.01
MEDITS-GSA18;2020;76;BOOPBOO;39;1.2
MEDITS-GSA18;2020;76;CEPOMAC;2;0.06
MEDITS-GSA18;2020;76;ENGRENC;1;0.018
MEDITS-GSA18;2020;76;ILLECOI;25;0.32
MEDITS-GSA18;2020;76;LOLIVUL;19;0.85
MEDITS-GSA18;2020;76;LOPHBUD;1;0.37
MEDITS-GSA18;2020;76;MERLMER;21;2.24
MEDITS-GSA18;2020;76;MULLBAR;2432;63.08
MEDITS-GSA18;2020;76;MULLSUR;1;0.05
MEDITS-GSA18;2020;76;NEMISCO;1;0.01
MEDITS-GSA18;2020;76;OCTOVUL;13;4.43
MEDITS-GSA18;2020;76;PAGEACA;126;2.35
MEDITS-GSA18;2020;76;PAGEBOG;8;0.06
MEDITS-GSA18;2020;76;PAGEERY;22;0.6
MEDITS-GSA18;2020;76;RAJAMIR;1;0.305
MEDITS-GSA18;2020;76;SARDPIL;298;4.4
MEDITS-GSA18;2020;76;SARIAUR;1;0.03
MEDITS-GSA18;2020;76;SCORNOT;4;0.09
MEDITS-GSA18;2020;76;SEPEOWE;1;0.005
MEDITS-GSA18;2020;76;SPICFLE;17;0.3
MEDITS-GSA18;2020;76;SYNDSAU;1;0.08
MEDITS-GSA18;2020;76;TRACMED;122;3.2
MEDITS-GSA18;2020;76;TRACTRA;34;1.1
MEDITS-GSA18;2020;76;TRAHDRA;1;0.04
MEDITS-GSA18;2020;77;ARISFOL;19;0.26
MEDITS-GSA18;2020;77;BENSGLA;1;0.001
MEDITS-GSA18;2020;77;CERAMAD;76;0.107
MEDITS-GSA18;2020;77;CLORAGA;1;0.002
MEDITS-GSA18;2020;77;COELCOE;41;0.55
MEDITS-GSA18;2020;77;ELEDCIR;1;0.08
MEDITS-GSA18;2020;77;ETMOSPI;9;0.07
MEDITS-GSA18;2020;77;GALUMEL;12;0.24
MEDITS-GSA18;2020;77;HELIDAC;16;0.56
MEDITS-GSA18;2020;77;HOPLMED;5;0.03
MEDITS-GSA18;2020;77;HYGOHIG;1;0.002
MEDITS-GSA18;2020;77;HYMEITA;2;0.01
MEDITS-GSA18;2020;77;LEPICAU;22;1.09
MEDITS-GSA18;2020;77;LEPMBOS;1;0.07
MEDITS-GSA18;2020;77;LOBIDOF;3;0.002
MEDITS-GSA18;2020;77;LOBIGEM;6;0.003
MEDITS-GSA18;2020;77;MCPITUB;3;0.04
MEDITS-GSA18;2020;77;MERLMER;12;3.21
MEDITS-GSA18;2020;77;MYCOPUN;1;0.001
MEDITS-GSA18;2020;77;NEPRNOR;4;0.12
MEDITS-GSA18;2020;77;NEZUSCL;1;0.015
MEDITS-GSA18;2020;77;NOTSELO;22;0.227
MEDITS-GSA18;2020;77;PAPELON;235;1.5
MEDITS-GSA18;2020;77;PASISIV;199;0.22
MEDITS-GSA18;2020;77;PHYIBLE;12;0.51
MEDITS-GSA18;2020;77;PLESGIG;1;0.001
MEDITS-GSA18;2020;77;PLESMAR;44;0.11
MEDITS-GSA18;2020;77;PONTLAC;1;0.002
MEDITS-GSA18;2020;77;PROCMED;2;0.007
MEDITS-GSA18;2020;77;SEPEOWE;3;0.015
MEDITS-GSA18;2020;77;SERGARC;18;0.01
MEDITS-GSA18;2020;77;SOLOMEM;11;0.03
MEDITS-GSA18;2020;77;STOMBOA;1;0.03
MEDITS-GSA18;2020;77;SYMPNIG;1;0.01
MEDITS-GSA18;2020;78;ARISFOL;3;0.045
MEDITS-GSA18;2020;78;ARITANT;34;0.56
MEDITS-GSA18;2020;78;CERAMAD;3;0.007
MEDITS-GSA18;2020;78;CHAUSLO;1;0.02
MEDITS-GSA18;2020;78;ETMOSPI;4;0.09
MEDITS-GSA18;2020;78;GALUMEL;7;0.575
MEDITS-GSA18;2020;78;HYMEITA;2;0.01
MEDITS-GSA18;2020;78;LAMACRO;4;0.02
MEDITS-GSA18;2020;78;LOBIDOF;1;0.004
MEDITS-GSA18;2020;78;MICICOC;1;0.005
MEDITS-GSA18;2020;78;NEMISCO;6;0.21
MEDITS-GSA18;2020;78;NETTMEL;2;0.02
MEDITS-GSA18;2020;78;NEZUSCL;11;0.12
MEDITS-GSA18;2020;78;NOTABON;1;0.02
MEDITS-GSA18;2020;78;NOTSELO;4;0.022
MEDITS-GSA18;2020;78;ONYCBAN;1;0.03
MEDITS-GSA18;2020;78;PHYIBLE;6;0.7
MEDITS-GSA18;2020;78;PLESMAR;36;0.1
MEDITS-GSA18;2020;78;POLCTYP;4;0.01
MEDITS-GSA18;2020;78;PROCMED;2;0.005
MEDITS-GSA18;2020;78;SEREDAE;12;0.02
MEDITS-GSA18;2020;78;SOLOMEM;3;0.005
MEDITS-GSA18;2020;78;STOMBOA;2;0.03
MEDITS-GSA18;2020;80;ALLOSUB;104;0.32
MEDITS-GSA18;2020;80;ARNOLAT;1;0.002
MEDITS-GSA18;2020;80;BOOPBOO;92;2.7
MEDITS-GSA18;2020;80;CEPOMAC;1;0.01
MEDITS-GSA18;2020;80;DIPLANN;7;0.11
MEDITS-GSA18;2020;80;GOBIQUA;1;0.005
MEDITS-GSA18;2020;80;LOLIVUL;12;0.46
MEDITS-GSA18;2020;80;MERLMER;22;1.09
MEDITS-GSA18;2020;80;MULLBAR;69;0.85
MEDITS-GSA18;2020;80;MULLSUR;1;0.045
MEDITS-GSA18;2020;80;OCTOVUL;9;2.39
MEDITS-GSA18;2020;80;PAGEERY;35;0.3
MEDITS-GSA18;2020;80;PENAKER;1;0.025
MEDITS-GSA18;2020;80;SARDPIL;584;6.9
MEDITS-GSA18;2020;80;SCOMSCO;91;6.87
MEDITS-GSA18;2020;80;SERAHEP;1;0.025
MEDITS-GSA18;2020;80;SPICFLE;630;2.25
MEDITS-GSA18;2020;80;SPICSMA;2;0.055
MEDITS-GSA18;2020;80;SQUIMAN;1;0.035
MEDITS-GSA18;2020;80;TRACMED;11;0.38
MEDITS-GSA18;2020;83;ALLOMED;129;0.22
MEDITS-GSA18;2020;83;ALLOSUB;48;0.09
MEDITS-GSA18;2020;83;ASPICUC;4;0.13
MEDITS-GSA18;2020;83;BLENOCE;2;0.04
MEDITS-GSA18;2020;83;CAPOAPE;7;0.03
MEDITS-GSA18;2020;83;ELEDCIR;1;0.04
MEDITS-GSA18;2020;83;ELEDMOS;1;0.57
MEDITS-GSA18;2020;83;GLOSLEI;3;0.01
MEDITS-GSA18;2020;83;HELIDAC;2;0.03
MEDITS-GSA18;2020;83;ILLECOI;122;1.45
MEDITS-GSA18;2020;83;LEPTDIE;1;0.005
MEDITS-GSA18;2020;83;LOPHBUD;3;0.62
MEDITS-GSA18;2020;83;MACOSCO;32;0.1
MEDITS-GSA18;2020;83;MCPITUB;2;0.015
MEDITS-GSA18;2020;83;MERLMER;36;2.08
MEDITS-GSA18;2020;83;MULLBAR;18;1.07
MEDITS-GSA18;2020;83;MULLSUR;1;0.085
MEDITS-GSA18;2020;83;PAPELON;1;0.007
MEDITS-GSA18;2020;83;PHYIBLE;1;0.025
MEDITS-GSA18;2020;83;SCYOCAN;7;1.385
MEDITS-GSA18;2020;83;SERAHEP;7;0.05
MEDITS-GSA18;2020;83;TRACMED;1;0.01
MEDITS-GSA18;2020;83;TRACTRA;5;0.11
MEDITS-GSA18;2020;83;TRISCAP;6;0.04
MEDITS-GSA18;2020;84;ALLOMED;168;0.3
MEDITS-GSA18;2020;84;ALLOSUB;61;0.15
MEDITS-GSA18;2020;84;ANTHANT;13;0.2
MEDITS-GSA18;2020;84;ARNORUP;1;0.01
MEDITS-GSA18;2020;84;BOOPBOO;1;0.035
MEDITS-GSA18;2020;84;CALLRUB;33;0.2
MEDITS-GSA18;2020;84;CAPOAPE;3;0.01
MEDITS-GSA18;2020;84;GLOSLEI;1;0.005
MEDITS-GSA18;2020;84;HELIDAC;6;0.02
MEDITS-GSA18;2020;84;ILLECOI;241;2.53
MEDITS-GSA18;2020;84;LOLIVUL;2;0.14
MEDITS-GSA18;2020;84;LOPHBUD;4;1.91
MEDITS-GSA18;2020;84;MACOSCO;52;0.25
MEDITS-GSA18;2020;84;MERLMER;95;3.64
MEDITS-GSA18;2020;84;MULLBAR;24;1.42
MEDITS-GSA18;2020;84;MULLSUR;1;0.05
MEDITS-GSA18;2020;84;NEPRNOR;2;0.04
MEDITS-GSA18;2020;84;PAGEACA;1;0.17
MEDITS-GSA18;2020;84;PAGEBOG;1;0.04
MEDITS-GSA18;2020;84;POLCTYP;1;0.01
MEDITS-GSA18;2020;84;SARDPIL;7;0.11
MEDITS-GSA18;2020;84;SCOMSCO;1;0.05
MEDITS-GSA18;2020;84;SCORSCO;3;0.7
MEDITS-GSA18;2020;84;SCYOCAN;1;0.34
MEDITS-GSA18;2020;84;SEPIORB;1;0.04
MEDITS-GSA18;2020;84;SERAHEP;4;0.02
MEDITS-GSA18;2020;84;SPICSMA;35;1.13
MEDITS-GSA18;2020;84;TODIEBL;1;0.03
MEDITS-GSA18;2020;84;TRACMED;13;0.05
MEDITS-GSA18;2020;84;TRACTRA;158;3.8
MEDITS-GSA18;2020;84;TRISCAP;2;0.02
MEDITS-GSA18;2020;84;URANSCA;1;0.19
MEDITS-GSA18;2020;85;ABRAVER;3;0.01
MEDITS-GSA18;2020;85;APHIMIN;1;0.002
MEDITS-GSA18;2020;85;ARGRHEM;1;0.002
MEDITS-GSA18;2020;85;BLENGAT;1;0.005
MEDITS-GSA18;2020;85;CERAMAD;13;0.015
MEDITS-GSA18;2020;85;CHLOGRA;1;0.002
MEDITS-GSA18;2020;85;CLORAGA;7;0.01
MEDITS-GSA18;2020;85;COELCOE;36;0.35
MEDITS-GSA18;2020;85;ELECRIS;1;0.001
MEDITS-GSA18;2020;85;GADIARG;1;0.01
MEDITS-GSA18;2020;85;GALUMEL;31;3.91
MEDITS-GSA18;2020;85;HELIDAC;1;0.04
MEDITS-GSA18;2020;85;HOPLMED;37;0.67
MEDITS-GSA18;2020;85;HYMEITA;14;0.05
MEDITS-GSA18;2020;85;LAMACRO;1;0.005
MEDITS-GSA18;2020;85;LOBIDOF;12;0.01
MEDITS-GSA18;2020;85;MERLMER;1;0.78
MEDITS-GSA18;2020;85;MICMPOU;1;0.1
MEDITS-GSA18;2020;85;MYCOPUN;1;0.001
MEDITS-GSA18;2020;85;NEPRNOR;39;1.2
MEDITS-GSA18;2020;85;NEZUSCL;2;0.01
