Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2002;113;PAPELON;f;i;0.9;21;NA;NA
MEDITS-GSA18;2002;85;NEPRNOR;f;i;1;25;NA;NA
MEDITS-GSA18;2002;132;PAPELON;f;i;1;13;NA;NA
MEDITS-GSA18;2002;110;TRACTRA;i;i;1;33;NA;NA
MEDITS-GSA18;2002;107;PAPELON;f;i;1.1;15;NA;NA
MEDITS-GSA18;2002;113;PAPELON;f;i;1.1;21;NA;NA
MEDITS-GSA18;2002;133;PAPELON;f;i;1.1;39;NA;NA
MEDITS-GSA18;2002;94;NEPRNOR;f;i;1.2;12;NA;NA
MEDITS-GSA18;2002;102;PAPELON;f;i;1.2;16;NA;NA
MEDITS-GSA18;2002;107;PAPELON;f;i;1.2;15;NA;NA
MEDITS-GSA18;2002;110;PAPELON;f;i;1.2;22;NA;NA
MEDITS-GSA18;2002;113;PAPELON;f;i;1.2;21;NA;NA
MEDITS-GSA18;2002;133;PAPELON;f;i;1.2;39;NA;NA
MEDITS-GSA18;2002;85;NEPRNOR;f;i;1.3;25;NA;NA
MEDITS-GSA18;2002;110;PAPELON;f;i;1.3;22;NA;NA
MEDITS-GSA18;2002;111;PAPELON;f;i;1.3;24;NA;NA
MEDITS-GSA18;2002;113;PAPELON;f;i;1.3;21;NA;NA
MEDITS-GSA18;2002;133;PAPELON;f;i;1.3;39;NA;NA
MEDITS-GSA18;2002;83;PAPELON;f;i;1.3;40;NA;NA
MEDITS-GSA18;2002;90;PAPELON;f;i;1.3;44;NA;NA
MEDITS-GSA18;2002;142;NEPRNOR;f;i;1.4;17;NA;NA
MEDITS-GSA18;2002;85;NEPRNOR;f;i;1.4;25;NA;NA
MEDITS-GSA18;2002;102;PAPELON;f;i;1.4;16;NA;NA
MEDITS-GSA18;2002;107;PAPELON;f;i;1.4;15;NA;NA
MEDITS-GSA18;2002;110;PAPELON;f;i;1.4;22;NA;NA
MEDITS-GSA18;2002;111;PAPELON;f;i;1.4;24;NA;NA
MEDITS-GSA18;2002;113;PAPELON;f;i;1.4;21;NA;NA
MEDITS-GSA18;2002;123;PAPELON;f;i;1.4;9;NA;NA
MEDITS-GSA18;2002;132;PAPELON;f;i;1.4;13;NA;NA
MEDITS-GSA18;2002;133;PAPELON;f;i;1.4;39;NA;NA
MEDITS-GSA18;2002;136;PAPELON;f;i;1.4;7;NA;NA
MEDITS-GSA18;2002;138;PAPELON;f;i;1.4;11;NA;NA
MEDITS-GSA18;2002;79;PAPELON;f;i;1.4;48;NA;NA
MEDITS-GSA18;2002;81;PAPELON;f;i;1.4;18;NA;NA
MEDITS-GSA18;2002;83;PAPELON;f;i;1.4;40;NA;NA
MEDITS-GSA18;2002;95;PAPELON;f;i;1.4;67;NA;NA
MEDITS-GSA18;2002;96;PAPELON;f;i;1.4;35;NA;NA
MEDITS-GSA18;2002;137;PAPELON;i;i;1.4;8;NA;NA
MEDITS-GSA18;2002;103;PAPELON;f;i;1.5;15;NA;NA
MEDITS-GSA18;2002;104;PAPELON;f;i;1.5;3;NA;NA
MEDITS-GSA18;2002;107;PAPELON;f;i;1.5;15;NA;NA
MEDITS-GSA18;2002;110;PAPELON;f;i;1.5;22;NA;NA
MEDITS-GSA18;2002;111;PAPELON;f;i;1.5;24;NA;NA
MEDITS-GSA18;2002;113;PAPELON;f;i;1.5;21;NA;NA
MEDITS-GSA18;2002;118;PAPELON;f;i;1.5;18;NA;NA
MEDITS-GSA18;2002;124;PAPELON;f;i;1.5;7;NA;NA
MEDITS-GSA18;2002;126;PAPELON;f;i;1.5;5;NA;NA
MEDITS-GSA18;2002;128;PAPELON;f;i;1.5;20;NA;NA
MEDITS-GSA18;2002;131;PAPELON;f;i;1.5;5;NA;NA
MEDITS-GSA18;2002;132;PAPELON;f;i;1.5;13;NA;NA
MEDITS-GSA18;2002;133;PAPELON;f;i;1.5;39;NA;NA
MEDITS-GSA18;2002;136;PAPELON;f;i;1.5;7;NA;NA
MEDITS-GSA18;2002;138;PAPELON;f;i;1.5;11;NA;NA
MEDITS-GSA18;2002;79;PAPELON;f;i;1.5;48;NA;NA
MEDITS-GSA18;2002;81;PAPELON;f;i;1.5;18;NA;NA
MEDITS-GSA18;2002;83;PAPELON;f;i;1.5;40;NA;NA
MEDITS-GSA18;2002;90;PAPELON;f;i;1.5;44;NA;NA
MEDITS-GSA18;2002;93;PAPELON;f;i;1.5;29;NA;NA
MEDITS-GSA18;2002;95;PAPELON;f;i;1.5;67;NA;NA
MEDITS-GSA18;2002;96;PAPELON;f;i;1.5;35;NA;NA
MEDITS-GSA18;2002;97;PAPELON;f;i;1.5;29;NA;NA
MEDITS-GSA18;2002;103;PAPELON;f;i;1.6;15;NA;NA
MEDITS-GSA18;2002;108;PAPELON;f;i;1.6;6;NA;NA
MEDITS-GSA18;2002;111;PAPELON;f;i;1.6;24;NA;NA
MEDITS-GSA18;2002;113;PAPELON;f;i;1.6;21;NA;NA
MEDITS-GSA18;2002;123;PAPELON;f;i;1.6;9;NA;NA
MEDITS-GSA18;2002;128;PAPELON;f;i;1.6;20;NA;NA
MEDITS-GSA18;2002;129;PAPELON;f;i;1.6;12;NA;NA
MEDITS-GSA18;2002;132;PAPELON;f;i;1.6;13;NA;NA
MEDITS-GSA18;2002;133;PAPELON;f;i;1.6;39;NA;NA
MEDITS-GSA18;2002;136;PAPELON;f;i;1.6;7;NA;NA
MEDITS-GSA18;2002;138;PAPELON;f;i;1.6;11;NA;NA
MEDITS-GSA18;2002;79;PAPELON;f;i;1.6;48;NA;NA
MEDITS-GSA18;2002;81;PAPELON;f;i;1.6;18;NA;NA
MEDITS-GSA18;2002;90;PAPELON;f;i;1.6;44;NA;NA
MEDITS-GSA18;2002;93;PAPELON;f;i;1.6;29;NA;NA
MEDITS-GSA18;2002;95;PAPELON;f;i;1.6;67;NA;NA
MEDITS-GSA18;2002;96;PAPELON;f;i;1.6;35;NA;NA
MEDITS-GSA18;2002;97;PAPELON;f;i;1.6;29;NA;NA
MEDITS-GSA18;2002;137;PAPELON;i;i;1.6;8;NA;NA
MEDITS-GSA18;2002;126;PAPELON;f;m;1.6;5;NA;NA
MEDITS-GSA18;2002;102;PAPELON;f;i;1.7;16;NA;NA
MEDITS-GSA18;2002;103;PAPELON;f;i;1.7;15;NA;NA
MEDITS-GSA18;2002;107;PAPELON;f;i;1.7;15;NA;NA
MEDITS-GSA18;2002;110;PAPELON;f;i;1.7;22;NA;NA
MEDITS-GSA18;2002;111;PAPELON;f;i;1.7;24;NA;NA
MEDITS-GSA18;2002;113;PAPELON;f;i;1.7;21;NA;NA
MEDITS-GSA18;2002;118;PAPELON;f;i;1.7;18;NA;NA
MEDITS-GSA18;2002;123;PAPELON;f;i;1.7;9;NA;NA
MEDITS-GSA18;2002;129;PAPELON;f;i;1.7;12;NA;NA
MEDITS-GSA18;2002;132;PAPELON;f;i;1.7;13;NA;NA
MEDITS-GSA18;2002;136;PAPELON;f;i;1.7;7;NA;NA
MEDITS-GSA18;2002;79;PAPELON;f;i;1.7;48;NA;NA
MEDITS-GSA18;2002;81;PAPELON;f;i;1.7;18;NA;NA
MEDITS-GSA18;2002;83;PAPELON;f;i;1.7;40;NA;NA
MEDITS-GSA18;2002;89;PAPELON;f;i;1.7;20;NA;NA
MEDITS-GSA18;2002;90;PAPELON;f;i;1.7;44;NA;NA
MEDITS-GSA18;2002;93;PAPELON;f;i;1.7;29;NA;NA
MEDITS-GSA18;2002;95;PAPELON;f;i;1.7;67;NA;NA
MEDITS-GSA18;2002;97;PAPELON;f;i;1.7;29;NA;NA
MEDITS-GSA18;2002;142;NEPRNOR;f;i;1.8;17;NA;NA
MEDITS-GSA18;2002;85;NEPRNOR;f;i;1.8;25;NA;NA
MEDITS-GSA18;2002;101;PAPELON;f;i;1.8;1;NA;NA
MEDITS-GSA18;2002;103;PAPELON;f;i;1.8;15;NA;NA
MEDITS-GSA18;2002;104;PAPELON;f;i;1.8;3;NA;NA
MEDITS-GSA18;2002;107;PAPELON;f;i;1.8;15;NA;NA
MEDITS-GSA18;2002;110;PAPELON;f;i;1.8;22;NA;NA
MEDITS-GSA18;2002;111;PAPELON;f;i;1.8;24;NA;NA
MEDITS-GSA18;2002;118;PAPELON;f;i;1.8;18;NA;NA
MEDITS-GSA18;2002;123;PAPELON;f;i;1.8;9;NA;NA
MEDITS-GSA18;2002;126;PAPELON;f;i;1.8;5;NA;NA
MEDITS-GSA18;2002;129;PAPELON;f;i;1.8;12;NA;NA
MEDITS-GSA18;2002;138;PAPELON;f;i;1.8;11;NA;NA
MEDITS-GSA18;2002;79;PAPELON;f;i;1.8;48;NA;NA
MEDITS-GSA18;2002;83;PAPELON;f;i;1.8;40;NA;NA
MEDITS-GSA18;2002;88;PAPELON;f;i;1.8;16;NA;NA
MEDITS-GSA18;2002;90;PAPELON;f;i;1.8;44;NA;NA
MEDITS-GSA18;2002;95;PAPELON;f;i;1.8;67;NA;NA
MEDITS-GSA18;2002;96;PAPELON;f;i;1.8;35;NA;NA
MEDITS-GSA18;2002;97;PAPELON;f;i;1.8;29;NA;NA
MEDITS-GSA18;2002;79;PAPELON;f;m;1.8;48;NA;NA
MEDITS-GSA18;2002;142;NEPRNOR;f;i;1.9;17;NA;NA
MEDITS-GSA18;2002;106;PAPELON;f;i;1.9;20;NA;NA
MEDITS-GSA18;2002;107;PAPELON;f;i;1.9;15;NA;NA
MEDITS-GSA18;2002;110;PAPELON;f;i;1.9;22;NA;NA
MEDITS-GSA18;2002;111;PAPELON;f;i;1.9;24;NA;NA
MEDITS-GSA18;2002;118;PAPELON;f;i;1.9;18;NA;NA
MEDITS-GSA18;2002;129;PAPELON;f;i;1.9;12;NA;NA
MEDITS-GSA18;2002;79;PAPELON;f;i;1.9;48;NA;NA
MEDITS-GSA18;2002;83;PAPELON;f;i;1.9;40;NA;NA
MEDITS-GSA18;2002;88;PAPELON;f;i;1.9;16;NA;NA
MEDITS-GSA18;2002;90;PAPELON;f;i;1.9;44;NA;NA
MEDITS-GSA18;2002;93;PAPELON;f;i;1.9;29;NA;NA
MEDITS-GSA18;2002;95;PAPELON;f;i;1.9;67;NA;NA
MEDITS-GSA18;2002;97;PAPELON;f;i;1.9;29;NA;NA
MEDITS-GSA18;2002;89;PAPELON;f;m;1.9;20;NA;NA
MEDITS-GSA18;2002;101;ELEDMOS;f;i;10;2;NA;NA
MEDITS-GSA18;2002;109;ELEDMOS;f;i;10;3;NA;NA
MEDITS-GSA18;2002;117;ELEDMOS;f;i;10;5;NA;NA
MEDITS-GSA18;2002;80;PAGEERY;f;i;10;2;NA;NA
MEDITS-GSA18;2002;137;SPICFLE;f;i;10;34;NA;NA
MEDITS-GSA18;2002;105;ASPICUC;i;i;10;3;NA;NA
MEDITS-GSA18;2002;108;ASPICUC;i;i;10;58;NA;NA
MEDITS-GSA18;2002;112;ASPICUC;i;i;10;39;NA;NA
MEDITS-GSA18;2002;117;ASPICUC;i;i;10;8;NA;NA
MEDITS-GSA18;2002;126;ASPICUC;i;i;10;10;NA;NA
MEDITS-GSA18;2002;129;ASPICUC;i;i;10;25;NA;NA
MEDITS-GSA18;2002;75;ASPICUC;i;i;10;110;NA;NA
MEDITS-GSA18;2002;76;ASPICUC;i;i;10;22;NA;NA
MEDITS-GSA18;2002;83;ASPICUC;i;i;10;7;NA;NA
MEDITS-GSA18;2002;103;EUTRGUR;i;i;10;8;NA;NA
MEDITS-GSA18;2002;107;EUTRGUR;i;i;10;22;NA;NA
MEDITS-GSA18;2002;108;EUTRGUR;i;i;10;16;NA;NA
MEDITS-GSA18;2002;112;EUTRGUR;i;i;10;38;NA;NA
MEDITS-GSA18;2002;123;EUTRGUR;i;i;10;20;NA;NA
MEDITS-GSA18;2002;125;EUTRGUR;i;i;10;7;NA;NA
MEDITS-GSA18;2002;126;EUTRGUR;i;i;10;75;NA;NA
MEDITS-GSA18;2002;128;EUTRGUR;i;i;10;22;NA;NA
MEDITS-GSA18;2002;129;EUTRGUR;i;i;10;48;NA;NA
MEDITS-GSA18;2002;131;EUTRGUR;i;i;10;19;NA;NA
MEDITS-GSA18;2002;133;EUTRGUR;i;i;10;24;NA;NA
MEDITS-GSA18;2002;138;EUTRGUR;i;i;10;19;NA;NA
MEDITS-GSA18;2002;75;EUTRGUR;i;i;10;60;NA;NA
MEDITS-GSA18;2002;76;EUTRGUR;i;i;10;23;NA;NA
MEDITS-GSA18;2002;88;EUTRGUR;i;i;10;52;NA;NA
MEDITS-GSA18;2002;90;EUTRGUR;i;i;10;10;NA;NA
MEDITS-GSA18;2002;103;HELIDAC;i;i;10;6;NA;NA
MEDITS-GSA18;2002;142;HELIDAC;i;i;10;19;NA;NA
MEDITS-GSA18;2002;144;HELIDAC;i;i;10;9;NA;NA
MEDITS-GSA18;2002;102;ILLECOI;i;i;10;16;NA;NA
MEDITS-GSA18;2002;103;ILLECOI;i;i;10;38;NA;NA
MEDITS-GSA18;2002;104;ILLECOI;i;i;10;6;NA;NA
MEDITS-GSA18;2002;107;ILLECOI;i;i;10;20;NA;NA
MEDITS-GSA18;2002;133;ILLECOI;i;i;10;11;NA;NA
MEDITS-GSA18;2002;135;ILLECOI;i;i;10;13;NA;NA
MEDITS-GSA18;2002;95;ILLECOI;i;i;10;23;NA;NA
MEDITS-GSA18;2002;100;LOLIVUL;i;i;10;12;NA;NA
MEDITS-GSA18;2002;105;MERLMER;i;i;10;5;NA;NA
MEDITS-GSA18;2002;110;MERLMER;i;i;10;11;NA;NA
MEDITS-GSA18;2002;113;MERLMER;i;i;10;33;NA;NA
MEDITS-GSA18;2002;118;MERLMER;i;i;10;80;NA;NA
MEDITS-GSA18;2002;125;MERLMER;i;i;10;29;NA;NA
MEDITS-GSA18;2002;126;MERLMER;i;i;10;30;NA;NA
MEDITS-GSA18;2002;131;MERLMER;i;i;10;20;NA;NA
MEDITS-GSA18;2002;132;MERLMER;i;i;10;7;NA;NA
MEDITS-GSA18;2002;133;MERLMER;i;i;10;38;NA;NA
MEDITS-GSA18;2002;134;MERLMER;i;i;10;280;NA;NA
MEDITS-GSA18;2002;135;MERLMER;i;i;10;37;NA;NA
MEDITS-GSA18;2002;136;MERLMER;i;i;10;14;NA;NA
MEDITS-GSA18;2002;137;MERLMER;i;i;10;61;NA;NA
MEDITS-GSA18;2002;138;MERLMER;i;i;10;12;NA;NA
MEDITS-GSA18;2002;89;MERLMER;i;i;10;19;NA;NA
MEDITS-GSA18;2002;143;PHYIBLE;i;i;10;25;NA;NA
MEDITS-GSA18;2002;144;PHYIBLE;i;i;10;27;NA;NA
MEDITS-GSA18;2002;77;PHYIBLE;i;i;10;46;NA;NA
MEDITS-GSA18;2002;85;PHYIBLE;i;i;10;28;NA;NA
MEDITS-GSA18;2002;86;PHYIBLE;i;i;10;70;NA;NA
MEDITS-GSA18;2002;94;PHYIBLE;i;i;10;17;NA;NA
MEDITS-GSA18;2002;96;PHYIBLE;i;i;10;116;NA;NA
MEDITS-GSA18;2002;137;SPICFLE;i;i;10;2;NA;NA
MEDITS-GSA18;2002;101;SPICSMA;i;i;10;20;NA;NA
MEDITS-GSA18;2002;103;SPICSMA;i;i;10;13;NA;NA
MEDITS-GSA18;2002;76;SPICSMA;i;i;10;8;NA;NA
MEDITS-GSA18;2002;100;TRACTRA;i;i;10;6;NA;NA
MEDITS-GSA18;2002;103;TRACTRA;i;i;10;23;NA;NA
MEDITS-GSA18;2002;106;TRACTRA;i;i;10;21;NA;NA
MEDITS-GSA18;2002;107;TRACTRA;i;i;10;65;NA;NA
MEDITS-GSA18;2002;108;TRACTRA;i;i;10;66;NA;NA
MEDITS-GSA18;2002;109;TRACTRA;i;i;10;4;NA;NA
MEDITS-GSA18;2002;110;TRACTRA;i;i;10;33;NA;NA
MEDITS-GSA18;2002;111;TRACTRA;i;i;10;38;NA;NA
MEDITS-GSA18;2002;112;TRACTRA;i;i;10;112;NA;NA
MEDITS-GSA18;2002;113;TRACTRA;i;i;10;27;NA;NA
MEDITS-GSA18;2002;117;TRACTRA;i;i;10;22;NA;NA
MEDITS-GSA18;2002;118;TRACTRA;i;i;10;7;NA;NA
MEDITS-GSA18;2002;125;TRACTRA;i;i;10;95;NA;NA
MEDITS-GSA18;2002;126;TRACTRA;i;i;10;10;NA;NA
MEDITS-GSA18;2002;128;TRACTRA;i;i;10;228;NA;NA
MEDITS-GSA18;2002;129;TRACTRA;i;i;10;24;NA;NA
MEDITS-GSA18;2002;131;TRACTRA;i;i;10;1400;NA;NA
MEDITS-GSA18;2002;132;TRACTRA;i;i;10;17;NA;NA
MEDITS-GSA18;2002;134;TRACTRA;i;i;10;372;NA;NA
MEDITS-GSA18;2002;135;TRACTRA;i;i;10;5;NA;NA
MEDITS-GSA18;2002;137;TRACTRA;i;i;10;11;NA;NA
MEDITS-GSA18;2002;138;TRACTRA;i;i;10;240;NA;NA
MEDITS-GSA18;2002;75;TRACTRA;i;i;10;68;NA;NA
MEDITS-GSA18;2002;76;TRACTRA;i;i;10;94;NA;NA
MEDITS-GSA18;2002;79;TRACTRA;i;i;10;66;NA;NA
MEDITS-GSA18;2002;81;TRACTRA;i;i;10;342;NA;NA
MEDITS-GSA18;2002;83;TRACTRA;i;i;10;364;NA;NA
MEDITS-GSA18;2002;84;TRACTRA;i;i;10;544;NA;NA
MEDITS-GSA18;2002;90;TRACTRA;i;i;10;47;NA;NA
MEDITS-GSA18;2002;95;TRACTRA;i;i;10;59;NA;NA
MEDITS-GSA18;2002;97;TRACTRA;i;i;10;7;NA;NA
MEDITS-GSA18;2002;108;TRIPLAS;i;i;10;14;NA;NA
MEDITS-GSA18;2002;109;TRIPLAS;i;i;10;17;NA;NA
MEDITS-GSA18;2002;112;TRIPLAS;i;i;10;3;NA;NA
MEDITS-GSA18;2002;117;TRIPLAS;i;i;10;7;NA;NA
MEDITS-GSA18;2002;123;TRIPLAS;i;i;10;2;NA;NA
MEDITS-GSA18;2002;125;TRIPLAS;i;i;10;1;NA;NA
MEDITS-GSA18;2002;126;TRIPLAS;i;i;10;6;NA;NA
MEDITS-GSA18;2002;131;TRIPLAS;i;i;10;4;NA;NA
MEDITS-GSA18;2002;103;TRISCAP;i;i;10;23;NA;NA
MEDITS-GSA18;2002;105;TRISCAP;i;i;10;10;NA;NA
MEDITS-GSA18;2002;108;TRISCAP;i;i;10;108;NA;NA
MEDITS-GSA18;2002;110;TRISCAP;i;i;10;44;NA;NA
MEDITS-GSA18;2002;111;TRISCAP;i;i;10;71;NA;NA
MEDITS-GSA18;2002;112;TRISCAP;i;i;10;86;NA;NA
MEDITS-GSA18;2002;113;TRISCAP;i;i;10;69;NA;NA
MEDITS-GSA18;2002;118;TRISCAP;i;i;10;60;NA;NA
MEDITS-GSA18;2002;126;TRISCAP;i;i;10;100;NA;NA
MEDITS-GSA18;2002;128;TRISCAP;i;i;10;113;NA;NA
MEDITS-GSA18;2002;131;TRISCAP;i;i;10;120;NA;NA
MEDITS-GSA18;2002;132;TRISCAP;i;i;10;69;NA;NA
MEDITS-GSA18;2002;133;TRISCAP;i;i;10;51;NA;NA
MEDITS-GSA18;2002;137;TRISCAP;i;i;10;26;NA;NA
MEDITS-GSA18;2002;138;TRISCAP;i;i;10;18;NA;NA
MEDITS-GSA18;2002;75;TRISCAP;i;i;10;24;NA;NA
MEDITS-GSA18;2002;97;TRISCAP;i;i;10;46;NA;NA
MEDITS-GSA18;2002;103;ELEDMOS;m;i;10;1;NA;NA
MEDITS-GSA18;2002;109;ELEDMOS;m;i;10;5;NA;NA
MEDITS-GSA18;2002;131;ILLECOI;m;i;10;2;NA;NA
MEDITS-GSA18;2002;135;ELEDCIR;f;m;10;4;NA;NA
MEDITS-GSA18;2002;139;ELEDCIR;f;m;10;14;NA;NA
MEDITS-GSA18;2002;110;ELEDMOS;f;m;10;2;NA;NA
MEDITS-GSA18;2002;109;ELEDMOS;f;i;10.5;3;NA;NA
MEDITS-GSA18;2002;117;ELEDMOS;f;i;10.5;5;NA;NA
