Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA18;2006;75;7;2;0.046;40.25558;18.48125;78.5
MEDITS-GSA18;2006;76;7;2;0.046;40.30833;18.44267;81.5
MEDITS-GSA18;2006;77;7;4;0.09;40.39667;18.61633;362.5
MEDITS-GSA18;2006;78;7;5;0.087;40.42492;18.63658;523
MEDITS-GSA18;2006;79;7;3;0.046;40.43333;18.53767;115.5
MEDITS-GSA18;2006;80;7;1;0.042;41.1295;16.95817;41
MEDITS-GSA18;2006;81;7;3;0.045;40.64417;18.50075;142
MEDITS-GSA18;2006;83;7;3;0.045;40.64467;18.45042;123.5
MEDITS-GSA18;2006;84;7;3;0.045;40.60158;18.50075;122.5
MEDITS-GSA18;2006;85;7;4;0.087;40.66367;18.54725;393.5
MEDITS-GSA18;2006;86;7;5;0.087;40.62033;18.61275;538.5
MEDITS-GSA18;2006;88;7;2;0.046;40.58458;18.27625;92
MEDITS-GSA18;2006;89;7;3;0.045;40.67208;18.40892;126
MEDITS-GSA18;2006;90;7;3;0.046;40.644;18.39883;117.5
MEDITS-GSA18;2006;93;7;3;0.042;40.67892;18.33608;118
MEDITS-GSA18;2006;94;7;4;0.093;40.67933;18.51417;316.5
MEDITS-GSA18;2006;95;7;3;0.043;40.70542;18.28;121
MEDITS-GSA18;2006;96;7;4;0.09;40.75025;18.3445;266
MEDITS-GSA18;2006;97;7;3;0.045;40.77292;18.041;113.5
MEDITS-GSA18;2006;98;7;5;0.087;40.7695;18.40942;525.5
MEDITS-GSA18;2006;99;7;1;0.044;41.11658;17.0105;48
MEDITS-GSA18;2006;100;7;1;0.044;41.19175;16.75042;38.5
MEDITS-GSA18;2006;101;7;2;0.045;40.876;17.54575;62.5
MEDITS-GSA18;2006;102;7;3;0.043;41.16975;17.15108;119.5
MEDITS-GSA18;2006;103;7;3;0.045;41.15108;17.13317;114.5
MEDITS-GSA18;2006;104;7;2;0.044;41.1275;17.07258;90.5
MEDITS-GSA18;2006;105;7;2;0.045;41.18283;16.82275;54.5
MEDITS-GSA18;2006;106;7;3;0.046;41.24758;16.97442;113
MEDITS-GSA18;2006;107;7;3;0.046;41.19192;17.07583;117.5
MEDITS-GSA18;2006;108;7;2;0.042;41.37425;16.53325;60
MEDITS-GSA18;2006;109;7;1;0.044;41.29633;16.55958;41.5
MEDITS-GSA18;2006;110;7;3;0.046;41.44675;16.84292;112.5
MEDITS-GSA18;2006;111;7;3;0.043;41.4085;16.81183;107.5
MEDITS-GSA18;2006;112;7;2;0.043;41.3425;16.55108;56
MEDITS-GSA18;2006;113;7;3;0.045;41.49575;16.85408;120.5
MEDITS-GSA18;2006;116;7;5;0.087;41.54142;17.15475;523.5
MEDITS-GSA18;2006;117;7;1;0.042;41.79217;16.337;34
MEDITS-GSA18;2006;118;7;1;0.044;41.6655;16.37842;42.5
MEDITS-GSA18;2006;121;7;1;0.043;41.70025;16.3065;22
MEDITS-GSA18;2006;123;7;1;0.044;41.5085;16.40325;46.5
MEDITS-GSA18;2006;124;7;2;0.044;41.61992;16.4105;50.5
MEDITS-GSA18;2006;125;7;1;0.044;41.43808;16.43283;47.5
MEDITS-GSA18;2006;126;7;2;0.043;41.74858;16.40992;57.5
MEDITS-GSA18;2006;128;7;2;0.045;41.56933;16.49675;71
MEDITS-GSA18;2006;129;7;2;0.045;41.5965;16.44492;60
MEDITS-GSA18;2006;131;7;2;0.044;41.4865;16.53842;74.5
MEDITS-GSA18;2006;132;7;3;0.043;41.9045;16.6475;127
MEDITS-GSA18;2006;133;7;3;0.043;41.86617;16.67875;128
MEDITS-GSA18;2006;134;7;3;0.049;41.82833;16.68142;110
MEDITS-GSA18;2006;135;7;3;0.046;41.53225;16.85375;124
MEDITS-GSA18;2006;136;7;3;0.046;41.30517;16.87483;106
MEDITS-GSA18;2006;137;7;3;0.046;41.56508;16.88583;137.5
MEDITS-GSA18;2006;138;7;3;0.043;41.23042;17.0095;115
MEDITS-GSA18;2006;139;7;4;0.092;41.91633;16.83267;227
MEDITS-GSA18;2006;142;7;4;0.09;41.49992;17.10667;423.5
MEDITS-GSA18;2006;143;7;5;0.09;42.00975;17.0015;542
MEDITS-GSA18;2006;144;7;5;0.09;42.06217;16.99733;541.5
MEDITS-GSA18;2006;146;7;5;0.087;41.54992;17.16742;551.5
