TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;16;SAN;2012;6;27;1;S;S;Ecn;ALCY;PAL;FM;296;17;0;0;17
TB;ITA;16;SAN;2012;6;27;1;S;S;C;ALLO;MED;FM;250;95;0;0;95
TB;ITA;16;SAN;2012;6;27;1;S;S;C;ALLO;SUB;FM;100;18;0;0;18
TB;ITA;16;SAN;2012;6;27;1;S;S;Eec;ANTE;MED;FM;4;5;0;0;5
TB;ITA;16;SAN;2012;6;27;1;S;S;Ao;ARNO;LAT;FM;10;1;0;0;1
TB;ITA;16;SAN;2012;6;27;1;S;S;Ecn;CALT;PAR;FM;32;9;0;0;9
TB;ITA;16;SAN;2012;6;27;1;S;S;Emg;CASS;ECH;FM;18;1;0;0;1
TB;ITA;16;SAN;2012;6;27;1;S;S;Ao;CEPO;MAC;FM;50;3;0;0;3
TB;ITA;16;SAN;2012;6;27;1;S;S;B;DARD;ARR;FM;11;1;0;0;1
TB;ITA;16;SAN;2012;6;27;1;S;S;Ao;ECHE;MIR;FM;100;1;0;0;1
TB;ITA;16;SAN;2012;6;27;1;S;S;C;ELED;MOS;FM;355;3;2;0;1
TB;ITA;16;SAN;2012;6;27;1;S;S;B;GONE;RHO;FM;2;1;0;0;1
TB;ITA;16;SAN;2012;6;27;1;S;S;B;MACR;LON;FM;1;3;0;0;3
TB;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;FM;1307;36;10;23;3
TB;ITA;16;SAN;2012;6;27;1;S;S;Etu;MICO;CLA;FM;24;1;0;0;1
TB;ITA;16;SAN;2012;6;27;1;S;S;Ao;MULL;SUR;FM;3;1;0;0;1
