TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;WEIGHT_OF_THE_FRACTION;WEIGHT_OF_THE_SAMPLE_MEASURED;SEX;NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED;LENGTH_CLASS;MATURITY;MATSUB;NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE
TC;ITA;16;SAN;2012;6;27;1;S;S;C;ELED;MOS;0;356;356;F;2;60;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;C;ELED;MOS;0;356;356;F;2;95;3;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;C;ELED;MOS;0;356;356;I;1;25;ND;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;F;10;135;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;F;10;140;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;F;10;145;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;F;10;150;1;ND;3
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;F;10;160;1;ND;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;F;10;300;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;F;10;345;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;I;3;60;ND;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;I;3;70;ND;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;I;3;115;ND;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;125;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;130;1;ND;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;135;1;ND;3
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;140;1;ND;4
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;145;1;ND;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;150;1;ND;6
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;155;1;ND;3
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;175;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MERL;MER;0;1307;1307;M;23;180;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;MULL;SUR;0;3;3;I;1;55;ND;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;10;1;ND;5
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;11;1;ND;6
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;12;2;A;6
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;13;2;A;5
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;14;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;14;2;C;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;15;2;A;5
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;16;2;A;7
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;17;2;A;11
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;18;2;A;7
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;19;2;A;8
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;20;2;A;2
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;21;2;A;2
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;22;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;23;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;23;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;24;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;24;2;B;2
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;26;2;C;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;27;2;C;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;28;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;F;76;32;2;C;1
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;M;8;16;2;A;4
TC;ITA;16;SAN;2012;6;27;1;S;S;B;PAPE;LON;m;297;297;M;8;17;2;A;4
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SARD;PIL;0;48;48;F;2;125;2;B;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SARD;PIL;0;48;48;M;2;95;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SARD;PIL;0;48;48;M;2;100;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SOLE;VUL;0;450;450;F;1;350;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;105;1;ND;3
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;105;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;110;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;110;2;A;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;115;1;ND;4
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;115;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;120;2;A;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;120;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;125;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;125;2;B;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;130;1;ND;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;130;2;B;4
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;135;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;135;2;B;7
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;135;2;C;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;140;2;B;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;140;2;C;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;145;2;B;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;F;40;150;2;B;3
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;I;5;95;ND;ND;5
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;110;1;ND;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;115;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;115;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;120;1;ND;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;125;2;A;1
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;125;2;B;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;130;2;B;2
TC;ITA;16;SAN;2012;6;27;1;S;S;Ao;SPIC;FLE;0;1699;1699;M;23;130;2;C;3
