"Survey";"Year";"Haul";"Species";"Number";"Weight"
"MEDITS-GSA16";2012;1;"ALCYPAL";17;0.296
"MEDITS-GSA16";2012;1;"ALLOMED";95;0.25
"MEDITS-GSA16";2012;1;"ALLOSUB";18;0.1
"MEDITS-GSA16";2012;1;"ANTEMED";5;0.004
"MEDITS-GSA16";2012;1;"ARNOLAT";1;0.01
"MEDITS-GSA16";2012;1;"CALTPAR";9;0.032
"MEDITS-GSA16";2012;1;"CASSECH";1;0.018
"MEDITS-GSA16";2012;1;"CEPOMAC";3;0.05
"MEDITS-GSA16";2012;1;"DARDARR";1;0.011
"MEDITS-GSA16";2012;1;"ECHEMIR";1;0.1
"MEDITS-GSA16";2012;1;"ELEDMOS";3;0.355
"MEDITS-GSA16";2012;1;"GONERHO";1;0.002
"MEDITS-GSA16";2012;1;"MACRLON";3;0.001
"MEDITS-GSA16";2012;1;"MERLMER";36;1.307
"MEDITS-GSA16";2012;1;"MICOCLA";1;0.024
"MEDITS-GSA16";2012;1;"MULLSUR";1;0.003
"MEDITS-GSA16";2012;1;"MUREBRA";5;0.059
"MEDITS-GSA16";2012;1;"NEMEANT";1;0.081
"MEDITS-GSA16";2012;1;"NEMERAM";1;0.009
"MEDITS-GSA16";2012;1;"PAPELON";108;0.297
"MEDITS-GSA16";2012;1;"PENNRUB";9;0.25
"MEDITS-GSA16";2012;1;"PONTLAC";1;0.001
"MEDITS-GSA16";2012;1;"PONTCAT";3;0.003
"MEDITS-GSA16";2012;1;"PTERHIR";2;0.001
"MEDITS-GSA16";2012;1;"SARDPIL";4;0.048
"MEDITS-GSA16";2012;1;"SCORNOT";11;0.25
"MEDITS-GSA16";2012;1;"SCORPOR";1;0.1
"MEDITS-GSA16";2012;1;"SEPEOWE";3;0.009
"MEDITS-GSA16";2012;1;"SEPIELE";4;0.05
"MEDITS-GSA16";2012;1;"SERACAB";2;0.05
"MEDITS-GSA16";2012;1;"SERAHEP";3;0.04
"MEDITS-GSA16";2012;1;"SOLEVUL";1;0.45
"MEDITS-GSA16";2012;1;"SPICFLE";68;1.699
"MEDITS-GSA16";2012;1;"SQUIMAN";3;0.128
"MEDITS-GSA16";2012;1;"SUBEDOM";1;0.011
"MEDITS-GSA16";2012;1;"TODIEBL";3;0.25
"MEDITS-GSA16";2012;1;"TRACTRA";40;0.59
"MEDITS-GSA16";2012;1;"TRAHDRA";2;0.1
"MEDITS-GSA16";2012;1;"TRIPLAS";1;0.021
"MEDITS-GSA16";2012;1;"URANSCA";4;0.7
"MEDITS-GSA16";2012;1;"VENUVER";1;0.004
"MEDITS-GSA16";2012;1;"ZEUSFAB";10;0.241
"MEDITS-GSA16";2012;2;"ALCYPAL";14;0.315
"MEDITS-GSA16";2012;2;"ALLOSUB";7;0.05
"MEDITS-GSA16";2012;2;"ALLOMED";40;0.1
"MEDITS-GSA16";2012;2;"ANTEMED";7;0.012
"MEDITS-GSA16";2012;2;"BOOPBOO";7;0.377
"MEDITS-GSA16";2012;2;"CALTPAR";1;0.011
"MEDITS-GSA16";2012;2;"CAPOAPE";1;0.015
"MEDITS-GSA16";2012;2;"CEPOMAC";4;0.08
"MEDITS-GSA16";2012;2;"DENTMAC";2;0.054
"MEDITS-GSA16";2012;2;"ELEDMOS";2;0.281
"MEDITS-GSA16";2012;2;"ELEDCIR";2;0.455
"MEDITS-GSA16";2012;2;"ENGRENC";40;0.607
"MEDITS-GSA16";2012;2;"LOPHBUD";1;0.25
"MEDITS-GSA16";2012;2;"MACRLON";1;0.001
"MEDITS-GSA16";2012;2;"MCPIDEP";1;0.004
"MEDITS-GSA16";2012;2;"MERLMER";38;1.188
"MEDITS-GSA16";2012;2;"MUREBRA";4;0.095
"MEDITS-GSA16";2012;2;"NEMEANT";1;0.031
"MEDITS-GSA16";2012;2;"OCTOVUL";1;1.705
"MEDITS-GSA16";2012;2;"PAGIERE";1;0.001
"MEDITS-GSA16";2012;2;"PAPELON";498;1.6
"MEDITS-GSA16";2012;2;"PENNRUB";2;0.069
"MEDITS-GSA16";2012;2;"RONDMIN";1;0.001
"MEDITS-GSA16";2012;2;"SARDPIL";11;0.25
"MEDITS-GSA16";2012;2;"SCOMPNE";1;0.016
"MEDITS-GSA16";2012;2;"SCORLOP";2;0.03
"MEDITS-GSA16";2012;2;"SCORNOT";1;0.02
"MEDITS-GSA16";2012;2;"SEPEOWE";2;0.008
"MEDITS-GSA16";2012;2;"SERACAB";4;0.15
"MEDITS-GSA16";2012;2;"SERAHEP";8;0.14
"MEDITS-GSA16";2012;2;"SPICFLE";9;0.374
"MEDITS-GSA16";2012;2;"SQUIMAN";10;0.359
"MEDITS-GSA16";2012;2;"TODIEBL";3;0.3
"MEDITS-GSA16";2012;2;"TRACTRA";22;0.216
"MEDITS-GSA16";2012;2;"TRAHDRA";2;0.1
"MEDITS-GSA16";2012;2;"URANSCA";2;0.3
"MEDITS-GSA16";2012;2;"ZEUSFAB";1;0.002
"MEDITS-GSA16";2012;3;"ALCYPAL";5;0.058
"MEDITS-GSA16";2012;3;"ALLOMED";28;0.07
"MEDITS-GSA16";2012;3;"ALLOSUB";6;0.05
"MEDITS-GSA16";2012;3;"ANTEMED";1;0.001
"MEDITS-GSA16";2012;3;"APORSER";1;0.002
"MEDITS-GSA16";2012;3;"ARGESPY";18;0.2
