Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA16;2012;1;6;2;0.043;37.46725;12.91925;54.5
MEDITS-GSA16;2012;2;6;2;0.043;37.44808;12.91558;65
MEDITS-GSA16;2012;3;6;3;0.048;37.2455;13.26717;145
MEDITS-GSA16;2012;4;6;3;0.047;37.19308;13.35575;128
MEDITS-GSA16;2012;5;6;3;0.047;37.13867;13.43817;105.5
MEDITS-GSA16;2012;6;6;5;0.103;37.05283;13.38367;601
MEDITS-GSA16;2012;7;6;4;0.101;37.085;13.47683;292.5
MEDITS-GSA16;2012;8;6;1;0.042;37.24833;13.4635;34.5
MEDITS-GSA16;2012;9;6;1;0.043;37.26325;13.39308;44.5
MEDITS-GSA16;2012;10;6;5;0.103;36.27575;13.08217;787
MEDITS-GSA16;2012;11;6;5;0.101;36.22917;13.20567;603
MEDITS-GSA16;2012;12;6;5;0.103;36.14542;13.34042;635
MEDITS-GSA16;2012;13;6;5;0.103;36.12542;13.45717;572
MEDITS-GSA16;2012;14;6;5;0.102;36.10542;13.33308;680
MEDITS-GSA16;2012;15;6;5;0.103;36.12358;13.21717;676
MEDITS-GSA16;2012;16;6;5;0.103;35.98;13.40883;667.5
MEDITS-GSA16;2012;17;6;5;0.103;35.98875;13.43317;678.5
MEDITS-GSA16;2012;18;6;5;0.103;36.01808;13.42683;688.5
MEDITS-GSA16;2012;19;6;5;0.101;35.94808;13.38292;694
MEDITS-GSA16;2012;20;7;4;0.075;35.88875;13.25667;497
MEDITS-GSA16;2012;21;7;5;0.102;35.854;13.42458;729
MEDITS-GSA16;2012;22;7;4;0.102;35.57325;13.19892;436
MEDITS-GSA16;2012;23;7;4;0.099;35.68183;13.05917;255.5
MEDITS-GSA16;2012;24;7;4;0.102;35.45833;13.33167;395.5
MEDITS-GSA16;2012;25;7;4;0.102;35.49992;13.39575;469.5
MEDITS-GSA16;2012;26;7;5;0.103;35.578;13.38133;604
MEDITS-GSA16;2012;27;7;5;0.105;35.60625;13.31517;538
MEDITS-GSA16;2012;28;7;5;0.103;36.89492;13.721;688
MEDITS-GSA16;2012;29;7;5;0.103;36.89767;13.71542;682.5
MEDITS-GSA16;2012;30;7;5;0.103;36.901;13.84692;569
MEDITS-GSA16;2012;31;7;5;0.103;36.89083;13.89025;574.5
