"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
99;"TRIS";"CAP";1;0.830231604684156;20.4483175969227
14;"HELI";"DAC";1;1.19226658708918;-16.1261406778653
77;"HELI";"DAC";1;0.817505074273823;22.3233997523849
93;"HELI";"DAC";1;1.19226658708918;-16.1261406778653
97;"HELI";"DAC";1;1.667274667627;-40.021880052716
111;"HELI";"DAC";1;1.19226658708918;-16.1261406778653
110;"EUTR";"GUR";1;1.09313503718947;-8.51999378127434
123;"MULL";"BAR";2;2.46173104304621;-18.7563561970136
103;"HELI";"DAC";2;1.19226658708918;67.7477186442695
113;"HELI";"DAC";2;3.44677505983868;-41.9747455149103
135;"HELI";"DAC";2;1.19226658708918;67.7477186442695
137;"HELI";"DAC";2;2.48477974190082;-19.5099683777191
11;"ZEUS";"FAB";2;1.92531522436956;3.87909339131189
123;"ZEUS";"FAB";2;1.03354613167101;93.5085371338429
1;"CITH";"MAC";2;1.77053365665085;12.9602926488958
33;"HELI";"DAC";3;3.33454933525399;-10.0328200790741
37;"HELI";"DAC";3;1.667274667627;79.9343598418519
38;"HELI";"DAC";3;2.2545084727495;33.066698850829
104;"EUTR";"GUR";3;3.65607630964687;-17.9448199129695
138;"EUTR";"GUR";3;3.65607630964687;-17.9448199129695
84;"HELI";"DAC";4;2.2545084727495;77.4222651344387
100;"ZEUS";"FAB";4;4.03481069188474;-0.862758987794814
109;"ZEUS";"FAB";4;4.03481069188474;-0.862758987794814
79;"EUTR";"GUR";4;4.43799914767115;-9.86929319040077
101;"EUTR";"GUR";4;4.43799914767115;-9.86929319040077
133;"EUTR";"GUR";4;3.65607630964687;9.40690678270734
137;"EUTR";"GUR";4;3.65607630964687;9.40690678270734
120;"MULL";"SUR";4;3.60173563001102;11.0575680977384
100;"TRIS";"CAP";5;4.97606330897223;0.481036705956171
111;"ELED";"CIR";5;8.60215531699575;-41.875032294276
128;"ELED";"CIR";5;5.36108405379854;-6.7352805920417
135;"ELED";"CIR";5;5.36108405379854;-6.7352805920417
18;"HELI";"DAC";5;4.80962850307106;3.95813308257356
110;"HELI";"DAC";5;5.11404972746568;-2.23012550803253
138;"HELI";"DAC";5;4.05180784180537;23.4017059844612
89;"EUTR";"GUR";5;5.32604631050244;-6.12173254782836
126;"EUTR";"GUR";5;4.43799914767115;12.663383511999
2;"PAPE";"LON";5;4.94952694791221;1.01975507192821
123;"TRAC";"MED";5;4.78384842050688;4.51836179772215
25;"TRAC";"TRA";5;6.21698785010207;-19.5752007152803
26;"TRAC";"TRA";5;5.20973327123282;-4.0257967215121
90;"TRAC";"TRA";5;5.20973327123282;-4.0257967215121
102;"EUTR";"GUR";6;4.43799914767115;35.1960602143988
37;"TRAC";"MED";6;4.10871857858931;46.0309311829298
103;"PHYI";"BLE";7;6.33261995879059;10.5387666645461
138;"PHYI";"BLE";7;6.33261995879059;10.5387666645461
31;"PAGE";"BOG";7;7.3290950105625;-4.49025439141148
79;"NEPR";"NOR";7;12.896794751001;-45.7229479483133
139;"TRAC";"TRA";7;7.34645110566487;-4.71589752224342
102;"PHYI";"BLE";8;6.33261995879059;26.3300190451955
119;"TRIS";"CAP";8;8.55482718979944;-6.48554526573019
35;"NEPR";"NOR";8;11.4839962566333;-30.3378386650109
93;"PAPE";"LON";9;8.68955221250012;3.57265575840946
13;"TRAC";"TRA";9;11.538221023785;-21.9983740868951
79;"TRAC";"TRA";9;11.4267211213349;-21.2372481621516
26;"MULL";"BAR";10;9.79770207969589;2.06474863859493
16;"PHYI";"BLE";10;12.9424978042627;-22.7351617034356
106;"PHYI";"BLE";10;8.5899635325709;16.4149296103832
1;"TRIS";"CAP";10;9.95212661794445;0.481036705956171
33;"ELED";"CIR";10;8.60215531699575;16.249935411448
76;"ELED";"CIR";10;18.1030878275041;-44.760804922976
138;"ELED";"CIR";10;5.36108405379854;86.5294388159166
88;"LOLI";"VUL";10;15.3931428405866;-35.0360085424963
136;"HELI";"DAC";11;11.4145650945583;-3.6318956624633
89;"LOLI";"VUL";11;11.675889957564;-5.78876608139071
