TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE
TE;CYP;25;MEG;2016;6;16;19;B;ARIS;FOL;m;F;0;17;2;D;1.94;98;NR;0;NR;NR;CYP25MEG201619ARIS_FOL2DF17_1
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;18;2;A;3.1;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF18_2
TE;CYP;25;MEG;2016;6;16;19;B;ARIS;FOL;m;F;0;18;2;D;3.38;98;NR;0;NR;NR;CYP25MEG201619ARIS_FOL2DF18_2
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;18;2;D;18.8;76;NR;0;NR;NR;2
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;19;2;A;3.1;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF19_3
TE;CYP;25;MEG;2016;6;16;19;B;ARIS;FOL;m;F;0;20;2;D;1.96;98;NR;0;NR;NR;0
TE;CYP;25;MEG;2016;6;16;19;B;ARIS;FOL;m;F;0;20;2;D;2.17;98;NR;0;NR;NR;CYP25MEG201619ARIS_FOL2DF20_3
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;20;2;A;3.8;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF20_4
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;20;2;A;3.9;76;NR;0;NR;NR;0
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;20;2;A;4;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF20_5
TE;CYP;25;MEG;2016;6;16;19;B;ARIS;FOL;m;F;0;21;2;D;2.17;98;NR;0;NR;NR;CYP25MEG201619ARIS_FOL2DF21_5
TE;CYP;25;MEG;2016;6;16;19;B;ARIS;FOL;m;F;0;21;2;D;3.37;98;NR;0;NR;NR;CYP25MEG201619ARIS_FOL2DF21_4
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;21;2;A;3.8;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF21_8
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;21;2;A;3.9;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF21_7
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;21;2;A;4;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF21_10
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;21;2;A;4.1;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF21_6
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;21;2;A;4.1;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF21_15
TE;CYP;25;MEG;2016;6;17;17;B;ARIS;FOL;m;F;0;21;2;A;4.2;76;NR;0;NR;NR;CYP25MEG201617ARIS_FOL2aF21_11
