N;MeditsCode;ScientificName;SourceReference;Reference;Remarks;CATFAU;CODLON;Valid_Name_Ifremer_reference;Year;Note
1;ABRAVER;Abralia veranyi;F;ENOP;;C;0;Abralia verany (Rüppell, 1844);;
2;ABRIMOR;Abraliopsis morisii;F;ENOP;;C;0;Abraliopsis morisii (Vérany, 1839);2011;LM
3;ABRRALB;Abra alba;R;p. 339 Tav. 129;;Emb;0;Abra alba (Wood W., 1802);;
4;ACANEXI;Acantephyra eximia;Z;84;;B;m;Acanthephyra eximia S.I. Smith, 1884;;
5;ACANPEL;Acanthephyra pelagica;Z;86;;B;m;Acanthephyra pelagica (Risso, 1816);;
6;ACANSPP;Acanthephyra spp.;Z;83;;B;m;Acanthephyra A. Milne Edwards, 1881;2011;LM,  MT
7;ACATPAL;Acantholabrus palloni;C;145.02.01;;Ao;0;Acantholabrus palloni (Risso, 1810);;
8;ACTARIC;Actinauge richardi;;;;Ecn;0;Actinauge richardi (Marion, 1882);2011;LM, MT
9;ACTIEQU;Actinia equina;;;;Ecn;0;Actinia equina (Linnaeus, 1758);2011;LM
10;ACTISPP;Actinia spp.;;;;Ecn;0;Actinia Linnaeus, 1767;2011;LM
11;ADAMCAR;Adamsia carciniopados;;;;Ecn;0;Adamsia carciniopados (Otto, 1823);2011;LM
12;AEQUOPE;Aequipecten opercularis;F;PECT Aeq 1;;Dmb;0;Aequipecten opercularis (Linnaeus, 1758);;d1
13;AGELORO;Agelas oroides;;;;Esp;0;Agelas oroides (Schmidt, 1864);2011;LM
14;ALCYPAL;Alcyonium palmatum;;;;Ecn;0;Alcyonium palmatum Pallas, 1766;;
15;ALCYSPP;Alcyonium spp;;;;Ecn;;Alcyonium spp;2013;AJ
16;ALEPROS;Alepocephalus rostratus;C;30.01.01;;Ao;0;Alepocephalus rostratus Risso, 1820;;
17;ALLOMED;Alloteuthis media;F;LOLIG Allot 3;;C;0;Alloteuthis media (Linnaeus, 1758);;
18;ALLOSPP;Alloteuthis spp.;F;LOLIG Allot;;C;0;Alloteuthis Wülker, 1920;;
19;ALLOSUB;Alloteuthis subulata;F;LOLIG Allot 2;;C;0;Alloteuthis subulata (Lamarck, 1798);;
20;ALOPVUL;Alopias vulpinus;C;9.01.01;;Ae;0;Alopias vulpinus (Bonnaterre, 1788);;
21;ALOSFAL;Alosa fallax;C;33.06.03;;Ao;0;Alosa fallax (Lacepède, 1803);;
22;ALPHGLA;Alpheus glaber;F;ALPH Alph 5;;B;m;Alpheus glaber (Olivi, 1792);;
23;ALPHPLA;Alpheus platydactylus;;;;B;m;Alpheus platydactylus Coutière, 1897;;
24;AMATSEM;Amathia semiconvoluta;;;;Ebr;0;Amathia semiconvoluta (Lamouroux, 1824);2011;LM, MT
25;AMPHSQU;Amphipholis squamata;;;;Eec;0;Amphipholis squamata (Delle Chiaje, 1828);2011;MT
26;AMYGLUT;Amygdalum luteum;;D'Onghia;;Emb;0;Amygdalum politum (Verrill & Smith, 1880);;
27;ANADCOR;Anadara corbuloides;;;;Emb;0;Anadara corbuloides (Monterosato, 1878);2011;SB, MT
28;ANADDIL;Anadara diluvii;F;ARC Anad 3;;Dmb;0;Scapharca demiri (Piani, 1981);;
29;ANAMRIS;Anamathia rissoana;Z;465;;B;m;Anamathia rissoana (Roux, 1828);;
30;ANAPBIC;Anapagurus bicorniger;Z;259;;B;m;Anapagurus bicorniger A. Milne-Edwards & Bouvier, 1892;;
31;ANAPLAE;Anapagurus laevis;Z;256;;B;m;Anapagurus laevis (Bell, 1845);;
32;ANARGRA;Anarchias euryurus (grassii);C;73.03.01;;Ao;0;Anarchias euryurus (Lea, 1913);;
33;ANCINIC;Ancistroteuthis lichtensteini;F;ONYCHO;;C;0;Ancistroteuthis lichtensteinii (Férussac [in Férussac & d'Orbigny], 1835);;
34;ANCOLES;Ancistrocheirus lesueurii;F;ENOP;;C;0;Ancistrocheirus lesueurii (d'Orbigny, 1842);2011;LM
35;ANDRPAR;Andresia partenopea;;;;Ecn;0;Andresia partenopea (Andres, 1884);2011;MT
36;ANGUANG;Anguilla anguilla;C;71.01.01;;Ao;0;Anguilla anguilla (Linnaeus, 1758);;
37;ANOMEPH;Anomia ephippium;;;;Emb;0;Anomia ephippium Linnaeus, 1758;2011;MT
38;ANSEPLA;Anseropoda placenta;;;;Eec;0;Anseropoda placenta (Pennant, 1777);2011;SB, MT
39;ANTEMED;Antedon mediterranea;;;;Eec;0;Antedon mediterranea Lamarck, 1816;2011;SB, LM, MT
40;ANTESPP;Antedon spp;;;;Eec;;Antedon spp;2013;AJ
41;ANTHANT;Anthias anthias;C;124.02.01;;Ao;0;Anthias anthias (Linnaeus, 1758);;
42;ANTOMEG;Antonogadus megalokynodon;C;101.19.02;;Ao;0;Gaidropsarus biscayensis (Collett, 1890);;
43;ANTOSPP;Antonogadus spp.;C;101.19;;Ao;0;Gaidropsarus Rafinesque, 1810;;
44;APERADR;Aperiovula adriatica;;;;Emg;0;Aperiovula adriatica (G.B. Sowerby I, 1828);2011;MT
45;APHIMIN;Aphia minuta;C;162.02.01;;Ao;0;Aphia minuta (Risso, 1810);;
46;APHRACU;Aphrodita aculeata;;;;Epo;0;Aphrodita aculeata Linnaeus, 1761;2011;SB, LM, MT
47;APLYFAS;Aplysia fasciata;;;;Emo;0;Aplysia fasciata Poiret, 1789;2011;MT
48;APLYSPP;Aplysia spp.;;;;Emo;0;Aplysia Linnaeus, 1767;2011;MT
49;APOGIMB;Apogon imberbis;C;127.01.01;;Ao;0;Apogon imberbis (Linnaeus, 1758);;
50;APORPES;Aporrhais pespelecani;F;APOR Apor 1;;Dmg;0;Aporrhais pespelecani (Linnaeus, 1758);;
51;APORSER;Aporrhais serresianus;F;APOR Apor 2;;Dmg;0;Aporrhais serresianus (Michaud, 1828);;
52;APTECAE;Apterichthus caecus;C;86.02.01;;Ao;0;Apterichtus caecus (Linnaeus, 1758);;
53;ARGESPY;Argentina sphyraena;C;46.01.01;;Ao;0;Argentina sphyraena Linnaeus, 1758;;
54;ARGOOLE;Argobuccinum olearium;F;CYM Argo 1;;Dmg;0;Ranella olearia (Linnaeus, 1758);;
55;ARGRACU;Argyropelecus aculeatus;C;38.02.02;??;Ao;0;Argyropelecus aculeatus Valenciennes, 1850;;
56;ARGRHEM;Argyropelecus hemigymnus;C;38.02.01;;Ao;0;Argyropelecus hemigymnus Cocco, 1829;;
57;ARGUARG;Argonauta argo;F;ARGO Argo 1;;C;0;Argonauta argo Linnaeus, 1758;2011;LM
58;ARGYREG;Argyrosomus regius;C;137.02.01;;Ao;0;Argyrosomus regius (Asso, 1801);;
59;ARIOBAL;Ariosoma balearicum;C;82.02.01;;Ao;0;Ariosoma balearicum (Delaroche, 1809);;
60;ARISFOL;Aristaeomorpha foliacea;F;ARIST Aris 1;;B;m;Aristaeomorpha foliacea (Risso, 1827);;
61;ARITANT;Aristeus antennatus;F;ARIST Arist 1;;B;m;Aristeus antennatus (Risso, 1816);;
62;ARMIMAC;Armina maculata;F;NAT Natic 1;;Dmg;0;Armina maculata Rafinesque, 1814;;
63;ARMITIG;Armina tigrina;R;RIEDL;;Dmg;0;Armina tigrina Rafinesque, 1814;;
64;ARNOIMP;Arnoglossus imperialis;C;196.02.02;;Ao;0;Arnoglossus imperialis (Rafinesque, 1810);;
65;ARNOKES;Arnoglossus kessleri;C;196.02.03;;Ao;0;Arnoglossus kessleri Schmidt, 1915;2011;LM, MT
66;ARNOLAT;Arnoglossus laterna;C;196.02.01;;Ao;0;Arnoglossus laterna (Walbaum, 1792);;
67;ARNORUP;Arnoglossus rueppelli;C;196.02.04;;Ao;0;Arnoglossus rueppelii (Cocco, 1844);;
68;ARNOSPP;Arnoglossus spp.;C;196.2;;Ao;0;Arnoglossus Bleeker, 1872;2011;LM
69;ARNOTHO;Arnoglossus thori;C;196.02.05;;Ao;0;Arnoglossus thori Kyle, 1913;;
70;ASCEASP;Ascidiella aspersa;;;;Etu;0;Ascidiella aspersa (O.F. Müller, 1776);2011;LM
71;ASCESCA;Ascidiella scabra;;;;Etu;0;Ascidiella scabra (O.F. Müller, 1776);2011;LM
72;ASCESPP;Ascidiella spp.;;;;Etu;0;Ascidiella Roule, 1883;2011;MT
73;ASCIMEN;Ascidia mentula;;;;Etu;0;Ascidia mentula O.F. Müller, 1776;2011;SB, LM, MT
74;ASCIVIR;Ascidia virginea;;;;Etu;0;Ascidia virginea O.F. Müller, 1776;2011;MT
