MeditsCode;ScientificName;SourceReference;Reference;CATFAU;CODLON;Valid_Name_Ifremer_reference
ABRAVER;Abralia veranyi ;F ;ENOP ;C;0;Abralia veranyi (Rüppell, 1844) 
ABRRALB;Abra alba ;R ;RIEDL ;E;0;Abra alba (Wood W., 1802) 
ACANEXI;Acantephyra eximia ;Z ;Z ;B;m;Acanthephyra eximia S.I. Smith, 1884 
ACANPEL;Acanthephyra pelagica ;Z ;Z ;B;m;Acanthephyra pelagica (Risso, 1816) 
ACATPAL;Acantholabrus palloni ;C ;145.2.1 ;A;0;Acantholabrus palloni (Risso, 1810) 
AEQUOPE;Aequipecten opercularis ;F ;PECT Aeq 1 ;D;0;Aequipecten opercularis (Linnaeus, 1758) 
ALCYPAL;Alcyonium palmatum ;;;D;0;Alcyonium palmatum Pallas, 1766 
ALEPROS;Alepocephalus rostratus ;C ;30.1.1 ;A;0;Alepocephalus rostratus Risso, 1820 
ALLOMED;Alloteuthis media ;F ;LOLIG Allot 3 ;C;0;Alloteuthis media (Linnaeus, 1758) 
ALLOSPP;Alloteuthis spp ;F ;LOLIG Allot ;C;0;Alloteuthis Wülker, 1920 
ALLOSUB;Alloteuthis subulata ;F ;LOLIG Allot 2 ;C;0;Alloteuthis subulata (Lamarck, 1798) 
ALOPVUL;Alopias vulpinus ;C ;9.1.1 ;A;0;Alopias vulpinus (Bonnaterre, 1788) 
ALOSFAL;Alosa fallax ;C ;33.6.3 ;A;0;Alosa fallax (Lacepède, 1803) 
ALPHGLA;Alpheus glaber ;F ;ALPH Alph 5 ;B;m;Alpheus glaber (Olivi, 1792) 
ALPHPLA;Alpheus platydactylus ;Z ;Z ;B;m;Alpheus platydactylus Coutière, 1897 
AMYGLUT;Amygdalum luteum ;;D'Onghia ;E;0;Amygdalum politum (Verrill & Smith, 1880) 
ANADDIL;Anadara diluvii ;F ;ARC Anad 3 ;D;0;Anadara demiri (Piani, 1981) 
ANAMRIS;Anamathia rissoana ;Z ;Z ;B;m;Anamathia rissoana (Roux, 1828) 
ANAPBIC;Anapagurus bicorniger ;Z ;Z ;B;m;Anapagurus bicorniger A. Milne-Edwards & Bouvier, 1892 
ANAPLAE;Anapagurus laevis ;Z ;Z ;B;m;Anapagurus laevis (Bell, 1845) 
ANARGRA;Anarchias euryurus (grassii) ;C ;73.3.1 ;A;0;Anarchias euryurus (Lea, 1913) 
ANCINIC;Ancistroteuthis lichtensteini ;F ;ONYCHO ;C;0;Ancistroteuthis lichtensteinii (De Férussac & D'Orbigny, 1839) 
ANGUANG;Anguilla anguilla ;C ;71.1.1 ;A;0;Anguilla anguilla (Linnaeus, 1758) 
ANTHANT;Anthias anthias ;C ;124.2.1 ;A;0;Anthias anthias (Linnaeus, 1758) 
ANTOMEG;Antonogadus megalokynodon ;C ;101.19.2 ;A;0;Gaidropsarus biscayensis (Collett, 1890) 
ANTOSPP;Antonogadus spp. ;C ;101.19;A;0;Gaidropsarus Rafinesque, 1810 
APHIMIN;Aphia minuta ;C ;162.2.1 ;A;0;Aphia minuta (Risso, 1810) 
APOGIMB;Apogon imberbis ;C ;127.1.1 ;A;0;Apogon imberbis (Linnaeus, 1758) 
APORPES;Aporrhais pespelecani ;F ;APOR Apor 1 ;E;0;Aporrhais pespelecani (Linnaeus, 1758) 
APORSER;Aporrhais serresianus ;F ;APOR Apor 2 ;D;0;Aporrhais serresianus (Michaud, 1828) 
APTECAE;Apterichthus caecus ;C ;86.2.1 ;A;0;Apterichtus caecus (Linnaeus, 1758) 
ARGESPY;Argentina sphyraena ;C ;46.1.1 ;A;0;Argentina sphyraena Linnaeus, 1758 
ARGOOLE;Argobuccinum olearium ;F ;CYM Argo 1 ;D;0;Ranella olearium (Linnaeus, 1758) 
ARGRACU;Argyropelecus aculeatus ;C ;38.2.2 ;A;0;Argyropelecus aculeatus Valenciennes, 1850 
ARGRHEM;Argyropelecus hemigymnus ;C ;38.2.1 ;A;0;Argyropelecus hemigymnus Cocco, 1829 
ARGYREG;Argyrosomus regius ;C ;137.2.1 ;A;0;Argyrosomus regius (Asso, 1801) 
ARIOBAL;Ariosoma balearicum ;C ;82.2.1 ;A;0;Ariosoma balearicum (Delaroche, 1809) 
ARISFOL;Aristaeomorpha foliacea ;F ;ARIST Aris 1 ;B;m;Aristaeomorpha foliacea (Risso, 1827) 
ARITANT;Aristeus antennatus ;F ;ARIST Arist 1 ;B;m;Aristeus antennatus (Risso, 1816) 
ARMIMAC;Arminia maculata ;F ;NAT Natic 1 ;D;0;Armina maculata Rafinesque, 1814 
ARMITIG;Armina tigrina ;R ;RIEDL ;E;0;Armina tigrina Rafinesque, 1814 
ARNOIMP;Arnoglossus imperialis ;C ;196.2.2 ;A;0;Arnoglossus imperialis (Rafinesque, 1810) 
ARNOLAT;Arnoglossus laterna ;C ;196.2.1 ;A;0;Arnoglossus laterna (Walbaum, 1792) 
ARNORUP;Arnoglossus rueppelli ;C ;196.2.4 ;A;0;Arnoglossus rueppelii (Cocco, 1844) 
ARNOTHO;Arnoglossus thori ;C ;196.2.5 ;A;0;Arnoglossus thori Kyle, 1913 
ASPICUC;Aspitrigla cuculus ;C ;185.2.1 ;A;0;Aspitrigla cuculus (Linnaeus, 1758) 
ASPIOBS;Aspitrigla obscura ;C ;185.2.2 ;A;0;Chelidonichthys obscurus (Bloch & Schneider, 1801) 
ASTRSPP;Astropecten spp. ;;;E;0;Astropecten Gray, 1840 
ATELROT;Atelecyclus rotundatus ;Z ;Z ;D;0;Atelecyclus rotundatus (Olivi, 1792) 
ATRIFRA;Atrina fragilis (= Pinna pectinata); F ;PINN Atr 4 ;D;0;Atrina pectinata (Linnaeus, 1767) 
AULOFIL;Aulopus filamentosus ;C ;50.1.1 ;A;0;Aulopus filamentosus (Bloch, 1792) 
BALICAR;Balistes carolinensis ;C ;201.1.2 ;A;0;Balistes capriscus Gmelin, 1789 
BASOPRO;Bathysolea profundicola ;C ;198.2.1 ;A;0;Bathysolea profundicola (Vaillant, 1888) 
BATHDUB;Bathypterois dubius ;F ;CHLOR ;A;0;Bathypterois dubius Vaillant, 1888 
BATHMED;Bathypterois mediterraneus ;C ;53.1.2 ;A;0;Bathypterois dubius Vaillant, 1888 
BATISPO;Bathypolypus sponsalis ;F ;OCT Bath 2 ;C;0;Bathypolypus sponsalis (Fischer & Fischer, 1892) 
BATYMAR;Bathynectes maravigna ;F ;PORT ;B;m;Bathynectes maravigna (Prestandrea, 1839) 
BATYSUP;Bathynectes superbus ;Z ;Z ;B;m;Bathynectes maravigna (Prestandrea, 1839) 
BELLAPO;Bellotia apoda ;C ;172.3.1 ;A;0;Bellottia apoda Giglioli, 1883 
BENSGLA;Benthosema glaciale ;C ;58.2.1 ;A;0;Benthosema glaciale (Reinhardt, 1837) 
BENTROB;Benthocometes robustus ;C ;172.4.1 ;A;0;Benthocometes robustus (Goode & Bean, 1886) 
BERYDEC;Beryx decadactylus ;C ;112.1.1 ;A;0;Beryx decadactylus Cuvier, 1829 
BERYSPL;Beryx splendens ;C ;112.1.2 ;A;0;Beryx splendens Lowe, 1834 
BLENBAS;Lipophrys (Blennius) basiliscus ;C ;164.1.3 ;A;0;Salaria basiliscus (Valenciennes, 1836) 
BLENCRI;Scartella (Blennius) cristata (crinitus) ;C ;164.1.6 ;A;0;Scartella cristata (Linnaeus, 1758) 
BLENGAT;Parablennius (Blennius) gattorugine ;C ;164.1.8 ;A;0;Parablennius gattorugine (Linnaeus, 1758) 
BLENOCE;Blennius ocellaris ;C ;164.1.1 ;A;0;Blennius ocellaris Linnaeus, 1758 
BLENPAV;Lipophrys (Blennius) pavo ;C ;164.1.12 ;A;0;Salaria pavo (Risso, 1810) 
BLENSPP;Blenniidae ;C ;164;A;0;Blenniidae 
BLENSPY;Aidablennius (Blennius) sphynx ;C ;164.1.17 ;A;0;Aidablennius sphynx (Valenciennes, 1836) 
BLENTEN;Parablennius (Blennius) tentaculari ;C ;164.1.18 ;A;0;Parablennius tentacularis (Brünnich, 1768) 
BOOPBOO;Boops boops ;C ;139.2.1 ;A;0;Boops boops (Linnaeus, 1758) 
BOROANT;Borostomias antarcticus ;;;C;0;Borostomias antarcticus (Lönnberg, 1905) 
BOTHPOD;Bothus podas ;C ;196.1.1 ;A;0;Bothus podas (Delaroche, 1809) 
BRACRII;Brachioteuthis riisei ;F ;BRACHIO Bra. 2;C;0;Brachioteuthis riisei (Steenstrup, 1882) 
BUCCCOR;Buccinulum corneum ;F ;BUCC Buc 1 ;D;0;Buccinulum corneum (Linnaeus, 1758) 
BUCCHUN;Buccinum humphreysianum ;F ;BUCC ;D;0;Buccinum humphreysianum Bennet, 1824 
BUCCSPP;Buccinum spp. ;F ;BUCC ;E;0;Buccinum Linnaeus, 1758 
BUGLLUT;Buglossidium luteum ;C ;198.3.1 ;A;0;Buglossidium luteum (Risso, 1810) 
CALAGRA;Calappa granulata ;F ;CAL Cal 2 ;B;m;Calappa granulata (Linnaeus, 1758) 
CALCTUB;Calcinus tubularis ;Z ;Z ;B;m;Calcinus tubularis (Linnaeus, 1767) 
CALICHI;Calyptraea chinensis ;;D'Angelo ;E;0;Calyptraea chinensis (Linnaeus, 1758) 
CALLRIS;Callionymus risso ;C ;163a.1.7. ;A;0;Callionymus risso Lesueur, 1814 
CALLRUB;Callanthias ruber ;C ;124.3.1 ;A;0;Callanthias ruber (Rafinesque, 1810) 
CALMLYR;Callionymus lyra ;C ;163a.1.1 ;A;0;Callionymus lyra Linnaeus, 1758 
CALMMAC;Callionymus maculatus ;C ;163a.1.3 ;A;0;Callionymus maculatus Rafinesque, 1810 
CALMPHA;Synchiropus (Callionymus) phaeton ;C ;163a.1.4 ;A;0;Synchiropus phaeton (Günther, 1861) 
CALMRIS;Callionymus risso ;C ;163a.1.7 ;A;0;Callionymus risso Lesueur, 1814 
CALMSPP;Callionymus ;;;A;0;Callionymus Linnaeus, 1758 
CALOCOR;Calocarides coronatus ;;;B;m;Calocarides coronatus (Trybom, 1904) 
