FAUNISTIC_CATEGORY;SEX;MEDITS_STAGE;MEDITS_STAGE_up_to_2006
A;I;0;0
A;F;1;1
A;F;2A;2
A;F;2B;2
A;F;2C;2
A;F;3;3
A;F;4A;4
A;F;4B;4
A;M;1;1
A;M;2A;2
A;M;2B;2
A;M;2C;2
A;M;3;3
A;M;4A;4
A;M;4B;4
A;N;0;0
S;I;0;0
S;F;1;1
S;F;2;2
S;F;3A;3
S;F;3B;3
S;F;4;4
S;M;1;1
S;M;2;2
S;M;3A;3
S;M;3B;3
S;M;4;4
S;N;0;0
B;I;0;0
B;F;1;1
B;F;2A;2
B;F;2B;2
B;F;2C;2
B;F;2D;2
B;F;2E;2
B;F;3;3
B;M;1;1
B;M;2A;2
B;M;2B;2
B;M;2C;2
B;M;2D;2
B;M;2E;2
B;M;3;3
B;N;0;0
C;I;0;0
C;F;1;1
C;F;2A;2
C;F;2B;2
C;F;3A;3
C;F;3B;3
C;M;1;1
C;M;2A;2
C;M;2B;2
C;M;3A;3
C;M;3B;3
C;N;0;0
