No;Medit_LIST_proposal_2011;Species_group_DCF;MEDITS_G1;MEDITS_G2;Group;Old_MEDITS_list;Tot_No;Tot_W;Ind_Length;Sex;Mat_stage;Age;Ind_weight;Date ;CODE;English_common_name
;Teleosteans;;;;;;;;;;;;;;;
1;Aspitrigla cuculus;G3;;1;Fish;1;x;x;x;;;;;1998;ASPI CUC;Red gurnard
2;Boops boops;G2;;1;Fish;1;x;x;x;;;;;2006;BOOP BOO;Bogue
3;Citharus linguatula;G3;;1;Fish;1;x;x;x;;;;;1994;CITH MAC;Spotted flounder
4;Diplodus annularis;G3;;1;Fish;;x;x;x;;;;;2012;DIPL ANN;Annular seabream
5;Diplodus puntazzo;G3;;1;Fish;;x;x;x;;;;;2012;DIPL PUN;Sharpsnout seabream
6;Diplodus sargus;G3;;1;Fish;;x;x;x;;;;;2012;DIPL SAR;White sea bream
7;Diplodus vulgaris;G3;;1;Fish;;x;x;x;;;;;2012;DIPL VUL;Common two-banded seabream
8;Engraulis encrasicolus;G1;;1;Fish;;x;x;x;;;;;2012;ENGR ENC;Anchovy
9;Epinephelus spp.*;G3;;1;Fish;;x;x;x;;;;;2012;EPIN SPP;Grouper
10;Eutrigla gurnardus;G2;;1;Fish;1;x;x;x;;;;;1994;EUTR GUR;Grey gurnard
11;Helicolenus dactylopterus;G3;;1;Fish;1;x;x;x;;;;;1994;HELI DAC;Rockfish
12;Lepidorhombus boscii;G3;;1;Fish;1;x;x;x;;;;;1994;LEPM BOS;Four-spotted megrim
13;Lithognathus mormyrus;G3;;1;Fish;;x;x;x;;;;;2012;LITH MOR;Striped seabream
14;Lophius budegassa;G2;;1;Fish;1;x;x;x;;;;;1994;LOPH BUD;Black-bellied angler
15;Lophius piscatorius;G2;;1;Fish;1;x;x;x;;;;;1994;LOPH PIS;Angler
16;Merluccius merluccius;G1;1;;Fish;1;x;x;x;x;x;x;x;1994;MERL MER;European hake
17;Micromesistius poutassou;G2;;1;Fish;1;x;x;x;;;;;1994;MICM POU;Blue whiting
18;Mullus barbatus;G1;1;;Fish;1;x;x;x;x;x;x;x;1994;MULL BAR;Red mullet
19;Mullus surmuletus;G1;1;;Fish;1;x;x;x;x;x;x;x;1994;MULL SUR;Striped red mullet
20;Pagellus acarne;G3;;1;Fish;1;x;x;x;;;;;1994;PAGE ACA;Axillary seabream
21;Pagellus bogaraveo;G3;;1;Fish;1;x;x;x;;;;;1994;PAGE BOG;Blackspot seabream
22;Pagellus erythrinus;G2;;1;Fish;1;x;x;x;;;;;1994;PAGE ERY;Common pandora
23;Pagrus pagrus;G3;;1;Fish;;x;x;x;;;;;> 1996;SPAR PAG;Common seabream
24;Phycis blennoides;G3;;1;Fish;1;x;x;x;;;;;1994;PHYI BLE;Greater forkbeard
25;Polyprion americanus;G3;;1;Fish;;x;x;x;;;;;2012;POLY AME;Wreckfish
26;Psetta maxima;G2;;1;Fish;;x;x;x;;;;;2012;PSET MAX;Turbot
27;Sardina pilchardus;G1;;1;Fish;;x;x;x;;;;;2012;SARD PIL;Sardine
28;Scomber spp.*;G2;;1;Fish;;x;x;x;;;;;2012;SCOM SPP;mackerel
29;Solea vulgaris;G1;;1;Fish;1;x;x;x;;;;;1994;SOLE VUL;Common sole
30;Spicara flexuosa;G3;;1;Fish;1;x;x;x;;;;;1994;SPIC FLE;Picarel
31;Spicara maena;G3;;1;Fish;;x;x;x;;;;;2012;SPIC MAE;Blotched picarel
32;Spicara smaris;G2;;1;Fish;1;x;x;x;;;;;1998;SPIC SMA;Picarel
33;Trachurus mediterraneus;G2;;1;Fish;1;x;x;x;;;;;1994;TRAC MED;Mediterranean horse mackerel
34;Trachurus trachurus;G2;;1;Fish;1;x;x;x;;;;;1994;TRAC TRA;Atlantic horse mackerel
35;Trigla lucerna;G2;;1;Fish;1;x;x;x;;;;;2006;TRIGLUC;Tub gurnard
36;Trigloporus lastoviza;G3;;1;Fish;1;x;x;x;;;;;1998;TRIP LAS;Streaked gurnard
37;Trisopterus minutus capelanus;G3;;1;Fish;1;x;x;x;;;;;1994;TRIS CAP;Poor-cod
38;Zeus faber;G3;;1;Fish;1;x;x;x;;;;;1994;ZEUS FAB;John dory
;Elasmobranches;;;;;;;;;;;;;;;
39;Centrophorus granulosus;G1;1;;Elasmob.;;x;x;x;x;x;;x;2012;CENT GRA;Gulper shark
40;Dalatias licha;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;SCYM LIC;Kitefin shark
41;Dipturus batis;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA BAT;Skate
42;Dipturus oxyrinchus;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA OXY;Longnosed skate
43;Etmopterus spinax;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;ETMO SPI;Velvet belly
44;Galeorhinus galeus;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;GALE GAL;Tope shark
45;Galeus melastomus;G1;1;;Elasmob;1;x;x;x;x;x;;x;1999;GALU MEL;Blackmouth catshark
46;Heptranchias perlo;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;HEPT PER;Sharpnose sevengill shark
47;Hexanchus griseus;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;HEXA GRI;Bluntnose sixgill shark
48;Leucoraja circularis;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA CIR;Sandy ray
49;Leucoraja melitensis;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA MEL;Maltese ray
50;Mustelus asterias;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;MUST AST;Starry smoothhound
51;Mustelus mustelus;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;MUST MUS;Smoothhound
52;Mustelus punctulatus;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;MUST MED;Blackspotted smoothhound
53;Myliobatis aquila;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;MYLI AQU;Common eagle ray
54;Oxynotus centrina;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;OXYN CEN;Angular rough shark
55;Raja asterias;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA AST;Starry ray
56;Raja clavata;G1;1;;Elasmob;1;x;x;x;x;x;;x;1999;RAJA CLA;Thornback ray
57;Raja miraletus;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA MIR;Brown ray
58;Raja polistigma;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA POL;Speckled ray
59;Raja undulata;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA UND;Undulate ray
60;Rhinobatos cemiculus;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RHIN CEM;Blackchin guitarfish
61;Rhinobatos rhinobatos;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RHIN RHI;Common guitarfish
62;Rostroraja alba;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;RAJA ALB;White skate
63;Scyliorhinus canicula;G1;1;;Elasmob;1;x;x;x;x;x;;x;1999;SCYO CAN;Smallspotted catshark
64;Scyliorhinus stellaris;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;SCYO STE;Nursehound
65;Squalus acanthias;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;SQUA ACA;Piked dogfish
66;Squalus blainvillei;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;SQUA BLA;Longnose spurdog
67;Squatina aculeata;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;SQUT ACU;Sawback angelshark
68;Squatina oculata;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;SQUT OCL;Smoothback angelshark
69;Squatina squatina;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;SQUT SQU;Angelshark
70;Torpedo marmorata;G1;1;;Elasmob;;x;x;x;x;x;;x;2012;TORP MAR;Marbled electric ray
;Crustaceans;;;;;;;;;;;;;;;
71;Aristaeomorpha foliacea;G1;1;;Cru;1;x;x;x;x;x;;x;1994;ARIS FOL;Giant red shrimp
72;Aristeus antennatus;G1;1;;Cru;1;x;x;x;x;x;;x;1994;ARIT ANT;Blue and red shrimp
73;Nephrops norvegicus;G1;1;;Cru;1;x;x;x;x;x;;x;1994;NEPR NOR;Norway lobster
74;Parapenaeus longirostris;G1;1;;Cru;1;x;x;x;x;x;;x;1994;PAPE LON;Deep-water pink shrimp
75;Palinurus elephas;G3;;1;Cru;;x;x;x;;;;;2012;PALI ELE;Spiny lobster
76;Melicertus kerathurus;G2;;1;Cru;;x;x;x;;;;;2012;PENA KER;Caramote prawn
77;Squilla mantis;G2;;1;Cru;;x;x;x;;;;;2012;SQUI MAN;Spottail mantis squillids
;Cephalopods;;;;;;;;;;;;;;;
78;Eledone cirrhosa;G2;;1;Cef;1;x;x;x;;;;;1994;ELED CIR;Horned octopus
79;Eledone moschata;G2;;1;Cef;1;x;x;x;;;;;1997;ELED MOS;Musky octopus
80;Illex coindettii;G2;1;;Cef;1;x;x;x;x;x;;x;1994;ILLE COI;Broadtail squid
81;Loligo vulgaris;G2;1;;Cef;1;x;x;x;x;x;;x;1994;LOLI VUL;European squid
82;Octopus vulgaris;G2;;1;Cef;1;x;x;x;;;;;1994;OCTO VUL;Common octopus
83;Sepia officinalis;G2;;1;Cef;1;x;x;x;;;;;1994;SEPI OFF;Common cuttlefish
84;Todarodes sagittatus;G2;;1;Cef;;x;x;x;;;;;2012;TODA SAG;Arrow squid
