SPECIES;FAUNISTIC_CATEGORY;MIN_WEIGHT;MAX_WEIGHT;UNIT_WEIGHT;MIN_LEN;MAX_LEN;UNIT_LEN;TARGET_START;TARGET_END
ABRAVER;;1;425;g;;;;;
ACANPUR;;1.5;2;g;;;;;
ACATPAL;;5;100;g;;;;;
ALCYPAL;;3;43.5;g;;;;;
ALLOMED;;0.15;50;g;;;;;
ALLOSPP;;2.5;10;g;;;;;
ALLOSUB;;0.333;30.667;g;;;;;
ALOPVUL;S;;;;;;;2006;
ALOSFAL;;26.923;659;g;;;;;
ALPHGLA;;0.25;3.333;g;;;;;
ANAMRIS;;1.95;19.333;g;;;;;
ANCINIC;;3;100;g;;;;;
ANTHANT;;5;75;g;;;;;
ANTOMEG;;0.5;46;g;;;;;
ANTOSPP;;7;12;g;;;;;
APHIMIN;;0.25;3.333;g;;;;;
APORPES;;2.889;8.128;g;;;;;
APORSER;;3.25;7;g;;;;;
ARGESPY;;0.1;84;g;;;;;
ARGOOLE;;126.667;254;g;;;;;
ARGRHEM;;0.286;15;g;;;;;
ARIOBAL;;5;89;g;;;;;
ARISFOL;B;1.5;74.048;g;10;80;mm;1994;
ARITANT;B;2.5;69;g;10;80;mm;1994;
ARNOIMP;;1.972;50;g;;;;;
ARNOKES;;2;20;g;;;;;
ARNOLAT;;0.286;550;g;;;;;
ARNORUP;;1;59.5;g;;;;;
ARNOTHO;;2;20;g;;;;;
ASPICUC;A;1;283.333;g;25;365;mm;1999;
ASPIOBS;;10;135;g;;;;;
ATRIFRA;;1;440;g;;;;;
AULOFIL;;20;200;g;;;;;
BATHMED;;1;30;g;;;;;
BATONIG;;12.5;20;g;;;;;
BATYMAR;;5;83.333;g;;;;;
BATYSUP;;3;32;g;;;;;
BENSGLA;;0.5;4;g;;;;;
BENTROB;;1;16.667;g;;;;;
BLENOCE;;2;100;g;;;;;
BOOPBOO;A;2;300;g;25;360;mm;2006;
BOTHPOD;;5;53.333;g;;;;;
CALAGRA;;75;217;g;;;;;
CALLRUB;;3;45;g;;;;;
CALMMAC;;0.123;37;g;;;;;
CALMPHA;;0.6;30;g;;;;;
CANIGRA;;1.154;5.667;g;;;;;
CAPOAPE;;0.364;79;g;;;;;
CARCPLU;S;;;;;;;2006;
CARCSPP;S;;;;;;;2006;
CARDACU;;3.667;4;g;;;;;
CARDECH;;40;94.333;g;;;;;
CARPACU;;1;9;g;;;;;
CASSECH;;5;75.909;g;;;;;
CECACIR;;5;60;g;;;;;
CENONIG;;140;15000;g;;;;;
CENTGRA;S;3;7000;g;;;;2006;
CENTUYA;S;3700;3700;g;;;;2006;
CEPOMAC;;0.75;220;g;;;;;
CERAMAD;;0.5;28;g;;;;;
CHAUSLO;;2;150;g;;;;;
CHIMMON;S;0.667;1415.5;g;;;;2006;
CHLOGRA;;0.357;20;g;;;;;
CITHMAC;A;1;225;g;20;370;mm;1994;
CLOPBIC;;2;21.5;g;;;;;
CLORAGA;;0.25;3500;g;;;;;
COELCOE;;0.143;139;g;;;;;
CONGCON;;1;13800;g;;;;;
CUBIGRA;;5;20;g;;;;;
CYNPFER;;3200;3200;g;;;;;
DALOIMB;;8;48.667;g;;;;;
DARDARR;;1.5;193;g;;;;;
DARDCAL;;23;23;g;;;;;
DASICEN;S;;;;;;;2006;
DASIPAS;S;2000;2000;g;;;;2006;
DASITOR;S;;;;;;;2006;
DASIVIO;S;1900;5750;g;;;;2006;
DENTDEN;;1500;8500;g;;;;;
DENTGIB;;12300;13000;g;;;;;
DENTMAC;;16;200;g;;;;;
DIAPHOL;;1.5;23;g;;;;;
DIAPMET;;2;30;g;;;;;
DIAPRAF;;1;20;g;;;;;
DIAPSPP;;3.667;3.667;g;;;;;
DICELAB;;3500;5700;g;;;;;
DIPLANN;A;15;149.667;g;;;;2012;
DIPLSAR;A;59;400;g;;;;2012;
DIPLVUL;A;33.333;150;g;;;;2012;
