N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
1;ABRAVER;Abralia veranyi;(Rüppell, 1844);F;ENOP;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
2;ABRIMOR;Abraliopsis morisii;(Vérany, 1839);F;ENOP;;C;0;19;2011 (19)
3;ABRRALB;Abra alba;(Wood, 1802);R;p. 339 Tav. 129;;Emb;0;1, 6, 19;
4;ABRRLON;Abra longicallus;(Scacchi, 1835);;;;Emb;;1, 19;2013 (1)
5;ACANEXI;Acanthephyra eximia;Smith, 1884;Z;84;;B;m;1, 2, 5, 6, 7, 9, 11, 19;
6;ACANPEL;Acanthephyra pelagica;(Risso, 1816);Z;86;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 19, 22;
7;ACANSPP;Acanthephyra spp.;A. Milne-Edwards, 1881;Z;83;;B;m;5, 7, 10, 11, 15, 19;2011 (10, 19)
8;ACATPAL;Acantholabrus palloni;(Risso, 1810);C;145.02.01;;Ao;0;7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
9;ACROPRE;Acrothamnion preissii;Wollaston, 1968 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
10;ACTARIC;Actinauge richardi;(Marion, 1882);F;HORM;;Ecn;0;1, 2, 10, 15, 18, 19;2011 (10, 18, 19)
11;ACTASPP;Actinauge spp.;Verrill, 1883;;;;Ecn;;7;2013 (7)
12;ACTICAR;Actinia cari;Delle Chiaje, 1822;;;;Ecn;;16;2013 (16)
13;ACTIEQU;Actinia equina;(Linnaeus, 1758);F;ACT;;Ecn;0;19;2011 (19)
14;ACTISPP;Actinia spp.;Linnaeus, 1767;F;ACT;;Ecn;0;2, 6, 19;2011 (19)
15;ACTNDAE;Actiniidae;Rafinesque, 1815;;;;Ecn;;1, 2, 5, 6;2013 (1, 2, 5, 6)
16;ADAMCAR;Adamsia palliata;(Fabricius, 1779);;;e1;Ecn;0;5, 19;2011 (19)
17;ADAMSPP;Adamsia spp.;Forbes, 1840;;;;Ecn;;5, 18;2013 (18)
18;AEGIDAE;Aegidae;White, 1850;;;;Bis;;5;2013 (5)
