TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;18;BIM;1994;6;24;75;S;S;C;ALLO;MED;FM;40;12;0;0;12
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;ASPI;CUC;FM;217;6;0;0;6
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;BOOP;BOO;FM;836;13;0;0;13
TB;ITA;18;BIM;1994;6;24;75;S;S;C;ELED;CIR;FM;1337;5;4;1;0
TB;ITA;18;BIM;1994;6;24;75;S;S;C;ELED;MOS;FM;677;7;0;0;7
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;ENGR;ENC;FM;22;1;0;0;1
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;EUTR;GUR;FM;12;2;0;0;2
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;LEPI;CAU;FM;10000;6;0;0;6
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;LEPT;CAV;FM;17;1;0;0;1
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;LOPH;BUD;FM;201;1;0;1;0
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;LOPH;PIS;FM;1264;2;2;0;0
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;MERL;MER;FM;4500;120;49;67;4
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;MULL;SUR;FM;489;5;2;3;0
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;PAGE;ACA;FM;1053;14;2;12;0
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;SARD;PIL;FM;436;101;0;0;101
TB;ITA;18;BIM;1994;6;24;75;S;S;C;SEPI;ELE;FM;44;3;0;0;3
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;SERA;CAB;FM;28;1;0;0;1
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;SPIC;SMA;FM;1171;26;0;0;26
TB;ITA;18;BIM;1994;6;24;75;S;S;C;TODI;EBL;FM;8;1;0;0;1
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;TRAC;MED;FM;6;1;0;0;1
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;TRAC;TRA;FM;204;31;1;0;30
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;TRAH;DRA;FM;295;3;0;0;3
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;TRIP;LAS;FM;120;2;0;0;2
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;TRIS;CAP;FM;233;8;2;4;2
TB;ITA;18;BIM;1994;6;24;75;S;S;Ao;ZEUS;FAB;FM;7;1;0;0;1
TB;ITA;18;BIM;1994;6;24;76;S;S;C;ALLO;MED;FM;24;5;0;0;5
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;ASPI;CUC;FM;139;9;0;0;9
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;BLEN;OCE;FM;10;1;0;0;1
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;BOOP;BOO;FM;130;3;0;0;3
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;CEPO;MAC;FM;8;1;0;0;1
TB;ITA;18;BIM;1994;6;24;76;S;S;C;ELED;CIR;FM;675;1;1;0;0
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;ENGR;ENC;FM;27;2;0;0;2
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;EUTR;GUR;FM;27;5;0;0;5
TB;ITA;18;BIM;1994;6;24;76;S;S;C;ILLE;COI;FM;10;2;0;0;2
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;LEPI;CAU;FM;1015;1;0;0;1
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;LEPT;CAV;FM;10;1;0;0;1
TB;ITA;18;BIM;1994;6;24;76;S;S;Ao;LOPH;PIS;FM;135;3;0;2;1
