TYPE_OF_FILE;COUNTRY;AREA;VESSEL;GEAR;RIGGING;DOORS;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;SHOOTING_TIME;SHOOTING_QUADRANT;SHOOTING_LATITUDE;SHOOTING_LONGITUDE;SHOOTING_DEPTH;HAULING_TIME;HAULING_QUADRANT;HAULING_LATITUDE;HAULING_LONGITUDE;HAULING_DEPTH;HAUL_DURATION;VALIDITY;COURSE;RECORDED_SPECIES;DISTANCE;VERTICAL_OPENING;WING_OPENING;GEOMETRICAL_PRECISION;BRIDLES_LENGTH;WARP_LENGTH;WARP_DIAMETER;HYDROLOGICAL_STATION;OBSERVATIONS
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;23;86;S;1300;1;4039.25;1839.83000183105;570;1400;1;4041.79999923706;1838.2799987793;586;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;75;S;625;1;4012.78999996185;1832.47999954224;91;655;1;4014.03999996185;1831.43000030518;95;30;V;R;3;2685;20.9999990463257;166.000003814697;E;100;550;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;76;S;925;1;4018.23999977112;1826.64999961853;87;955;1;4019.96999931335;1825.55999946594;85;30;V;R;3;2685;20.9999990463257;165;E;100;500;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;79;S;1125;1;4022.70000076294;1836.13999938965;200;1155;1;4024.12000083923;1835.90000152588;194;30;V;R;3;2685;18.9999997615814;172.999992370605;E;100;1100;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;81;S;1245;1;4024.20999908447;1835.84999847412;198;1315;1;4025.43000030518;1836.56000137329;190;30;V;R;3;2685;18.9999997615814;170;E;100;750;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;24;77;S;1405;1;4023.81999969482;1837.5;347;1505;1;4021.04000091553;1837.02000045776;341;60;V;R;3;5371;20;173.999996185303;E;150;1200;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;25;78;S;750;1;4019.29999923706;1838.38999938965;553;850;1;4021.59000015259;1838.13999938965;561;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1750;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;25;87;S;1020;1;4032.47999954224;1838.11000061035;620;1120;1;4035.04999923706;1837.70999908447;631;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;25;90;S;1600;1;4039.59999847412;1825.07999992371;105;1630;1;4039.95999908447;1822.47999954224;109;30;V;R;3;2685;18.9999997615814;166.000003814697;E;100;550;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;26;91;S;830;1;4044.63999938965;1834.70999908447;586;930;1;4043.00999832153;1836.27000045776;602;60;V;R;3;5371;18.9999997615814;173.999996185303;E;150;1650;15;0;0
TA;ITA;18;BIM;GOC73;GC73;WHS8;1994;6;26;92;S;1100;1;4041.20999908447;1832.34999847412;244;1200;1;4042.81000137329;1830.94000053406;252;60;V;R;3;5371;20;172.999992370605;E;150;1050;15;0;0
