TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_HAUL;TOTAL_NUMBER_IN_HAUL;NUMBER_OF_FEMALES;NUMBER_OF_MALES;NUMBER_OF_UNDETERMINED
TB;ITA;18;BIM;1994;75;S;S;C;ALLO;MED;FM;39.9999991059303;12;0;0;12
TB;ITA;18;BIM;1994;75;S;S;A;ASPI;CUC;FM;216.999992728233;6;0;0;6
TB;ITA;18;BIM;1994;75;S;S;A;BOOP;BOO;FM;836.000025272369;13;0;0;13
TB;ITA;18;BIM;1994;75;S;S;C;ELED;CIR;FM;1337.00001239777;5;4;1;0
TB;ITA;18;BIM;1994;75;S;S;C;ELED;MOS;FM;676.999986171722;7;0;0;7
TB;ITA;18;BIM;1994;75;S;S;A;ENGR;ENC;FM;21.9999998807907;1;0;0;1
TB;ITA;18;BIM;1994;75;S;S;A;EUTR;GUR;FM;12.0000001043081;2;0;0;2
TB;ITA;18;BIM;1994;75;S;S;A;LEPI;CAU;FM;10000;6;0;0;6
TB;ITA;18;BIM;1994;75;S;S;A;LEPT;CAV;FM;17.000000923872;1;0;0;1
TB;ITA;18;BIM;1994;75;S;S;A;LOPH;BUD;FM;201.00000500679;1;0;1;0
TB;ITA;18;BIM;1994;75;S;S;A;LOPH;PIS;FM;1264.00005817413;2;2;0;0
TB;ITA;18;BIM;1994;75;S;S;A;MERL;MER;FM;4500;120;49;67;4
TB;ITA;18;BIM;1994;75;S;S;A;MULL;SUR;FM;488.999992609024;5;2;3;0
TB;ITA;18;BIM;1994;75;S;S;A;PAGE;ACA;FM;1052.99997329712;14;2;12;0
TB;ITA;18;BIM;1994;75;S;S;A;SARD;PIL;FM;435.999989509583;101;0;0;101
TB;ITA;18;BIM;1994;75;S;S;C;SEPI;ELE;FM;43.9999997615814;3;0;0;3
TB;ITA;18;BIM;1994;75;S;S;A;SERA;CAB;FM;28.0000008642673;1;0;0;1
TB;ITA;18;BIM;1994;75;S;S;A;SPIC;SMA;FM;1171.0000038147;26;0;0;26
TB;ITA;18;BIM;1994;75;S;S;C;TODI;EBL;FM;8.00000037997961;1;0;0;1
TB;ITA;18;BIM;1994;75;S;S;A;TRAC;MED;FM;6.00000005215406;1;0;0;1
TB;ITA;18;BIM;1994;75;S;S;A;TRAC;TRA;FM;203.999996185303;31;1;0;30
TB;ITA;18;BIM;1994;75;S;S;A;TRAH;DRA;FM;294.999986886978;3;0;0;3
TB;ITA;18;BIM;1994;75;S;S;A;TRIP;LAS;FM;119.999997317791;2;0;0;2
TB;ITA;18;BIM;1994;75;S;S;A;TRIS;CAP;FM;232.999995350838;8;2;4;2
TB;ITA;18;BIM;1994;75;S;S;A;ZEUS;FAB;FM;7.00000021606684;1;0;0;1
TB;ITA;18;BIM;1994;76;S;S;C;ALLO;MED;FM;24.0000002086163;5;0;0;5
TB;ITA;18;BIM;1994;76;S;S;A;ASPI;CUC;FM;138.999998569489;9;0;0;9
TB;ITA;18;BIM;1994;76;S;S;A;BLEN;OCE;FM;9.99999977648258;1;0;0;1
TB;ITA;18;BIM;1994;76;S;S;A;BOOP;BOO;FM;129.999995231628;3;0;0;3
TB;ITA;18;BIM;1994;76;S;S;A;CEPO;MAC;FM;8.00000037997961;1;0;0;1
TB;ITA;18;BIM;1994;76;S;S;C;ELED;CIR;FM;675.000011920929;1;1;0;0
TB;ITA;18;BIM;1994;76;S;S;A;ENGR;ENC;FM;27.0000007003546;2;0;0;2
TB;ITA;18;BIM;1994;76;S;S;A;EUTR;GUR;FM;27.0000007003546;5;0;0;5
TB;ITA;18;BIM;1994;76;S;S;C;ILLE;COI;FM;9.99999977648258;2;0;0;2
TB;ITA;18;BIM;1994;76;S;S;A;LEPI;CAU;FM;1014.99998569489;1;0;0;1
TB;ITA;18;BIM;1994;76;S;S;A;LEPT;CAV;FM;9.99999977648258;1;0;0;1
TB;ITA;18;BIM;1994;76;S;S;A;LOPH;PIS;FM;135.000005364418;3;0;2;1
TB;ITA;18;BIM;1994;76;S;S;A;MERL;MER;FM;1705.00004291534;21;9;12;0
TB;ITA;18;BIM;1994;76;S;S;A;MULL;SUR;FM;296.000003814697;5;1;4;0
TB;ITA;18;BIM;1994;76;S;S;A;SARD;PIL;FM;648.999989032745;18;0;0;18
TB;ITA;18;BIM;1994;76;S;S;C;SEPI;ELE;FM;35.0000001490116;2;0;0;2
TB;ITA;18;BIM;1994;76;S;S;C;SEPI;ORB;FM;39.9999991059303;1;0;0;1
TB;ITA;18;BIM;1994;76;S;S;A;SERA;HEP;FM;86.0000029206276;16;0;0;16
TB;ITA;18;BIM;1994;76;S;S;A;SPIC;SMA;FM;8159.00039672852;347;0;0;347
TB;ITA;18;BIM;1994;76;S;S;C;TODI;EBL;FM;178.000003099442;1;0;0;1
TB;ITA;18;BIM;1994;76;S;S;A;TRAC;MED;FM;52.9999993741512;2;1;1;0
TB;ITA;18;BIM;1994;76;S;S;A;TRAC;TRA;FM;17.000000923872;5;0;0;5
TB;ITA;18;BIM;1994;76;S;S;A;TRAH;DRA;FM;483.000010251999;6;0;0;6
TB;ITA;18;BIM;1994;76;S;S;A;TRIS;CAP;FM;144.999995827675;2;1;1;0
TB;ITA;18;BIM;1994;77;S;S;A;MACO;SCO;FM;37.0000004768372;2;0;0;2
TB;ITA;18;BIM;1994;77;S;S;C;ROSS;MAC;FM;43.0000014603138;1;0;0;1
TB;ITA;18;BIM;1994;77;S;S;C;TODI;EBL;FM;135.000005364418;1;0;0;1
TB;ITA;18;BIM;1994;78;S;S;B;ARIS;FOL;FM;151.999995112419;9;3;6;0
TB;ITA;18;BIM;1994;78;S;S;A;COEL;COE;FM;4999.00007247925;96;0;0;96
TB;ITA;18;BIM;1994;78;S;S;A;ETMO;SPI;FM;314.999997615814;14;0;0;14
TB;ITA;18;BIM;1994;78;S;S;A;GALU;MEL;FM;1572.00002670288;51;0;0;51
TB;ITA;18;BIM;1994;78;S;S;B;GERY;LON;FM;105.999998748302;1;0;0;1
TB;ITA;18;BIM;1994;78;S;S;A;HELI;DAC;FM;621.999979019165;3;0;0;3
TB;ITA;18;BIM;1994;78;S;S;A;HYME;ITA;FM;34.000001847744;11;0;0;11
TB;ITA;18;BIM;1994;78;S;S;A;LEPM;BOS;FM;568.000018596649;5;2;3;0
TB;ITA;18;BIM;1994;78;S;S;A;LOPH;PIS;FM;3799.99995231628;2;0;2;0
TB;ITA;18;BIM;1994;78;S;S;A;MERL;MER;FM;5190.00005722046;18;8;10;0
TB;ITA;18;BIM;1994;78;S;S;A;MICM;POU;FM;2072.00002670288;11;1;10;0
TB;ITA;18;BIM;1994;78;S;S;B;NEPR;NOR;FM;474.999994039536;14;5;9;0
TB;ITA;18;BIM;1994;78;S;S;A;NEZU;SCL;FM;34.000001847744;10;0;0;10
TB;ITA;18;BIM;1994;78;S;S;B;PAPE;LON;FM;137.999996542931;11;1;10;0
