"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
38;"ARIS";"FOL";15;18.8070388360604;-20.2426276100458
1;"ARIS";"FOL";45;34.4690994145143;30.5517137504652
22;"ARIS";"FOL";80;72.0174882413795;11.0841296378813
45;"ARIS";"FOL";80;83.4357283272584;-4.11781426990427
7;"ARIS";"FOL";110;116.956235083075;-5.94772487173026
8;"ARIS";"FOL";115;99.0107717337118;16.14897852659
22;"ARIS";"FOL";130;109.044457769571;19.2174298988325
22;"ARIS";"FOL";170;203.262748951248;-16.3644096731299
10;"ARIS";"FOL";180;183.336416258118;-1.81983281129521
18;"ARIS";"FOL";250;246.266919929323;1.51586744648809
22;"ARIS";"FOL";250;215.748218837623;15.87581178974
45;"ARIS";"FOL";250;254.679821239092;-1.83753122501956
7;"ARIS";"FOL";315;290.761247340638;8.3363078405579
8;"ARIS";"FOL";320;281.20613355868;13.7955264170029
43;"ARIS";"FOL";335;353.833195945162;-5.32261985618805
8;"ARIS";"FOL";375;320.785702270638;16.9004719803948
18;"ARIS";"FOL";438;461.842568475908;-5.16248828136163
14;"ARIS";"FOL";450;425.516628786128;5.75379892525358
7;"ARIS";"FOL";475;547.410008734463;-13.2277465846606
7;"ARIS";"FOL";480;492.597078879304;-2.5572784369659
7;"ARIS";"FOL";505;534.363348059993;-5.49501536110154
23;"ARIS";"FOL";530;535.633875301345;-1.05181459969748
24;"ARIS";"FOL";548;523.387228101635;4.702593142679
10;"ARIS";"FOL";555;537.411307253056;3.27285498268503
29;"ARIS";"FOL";564;588.100568541914;-4.09803523939222
10;"ARIS";"FOL";570;640.632678508921;-11.0254566896773
42;"ARIS";"FOL";575;590.372800457997;-2.60391407701557
10;"ARIS";"FOL";620;621.285639162315;-0.206932058505089
39;"ARIS";"FOL";630;635.464375738489;-0.85990276514544
44;"ARIS";"FOL";645;669.654060715805;-3.68161147107091
39;"ARIS";"FOL";650;627.168511702046;3.64040730233612
19;"ARIS";"FOL";665;664.270262385048;0.109855529635166
24;"ARIS";"FOL";680;703.843326596661;-3.38759006382178
37;"ARIS";"FOL";700;679.608897500306;3.00041723625089
38;"ARIS";"FOL";700;590.704236688005;18.5026205203472
18;"ARIS";"FOL";710;691.211690977091;2.71817002926406
7;"ARIS";"FOL";740;785.073685293594;-5.74133181864803
29;"ARIS";"FOL";750;774.529790912227;-3.16705583181453
41;"ARIS";"FOL";780;721.91389750925;8.04612609497599
7;"ARIS";"FOL";790;683.254634579055;15.623072280616
10;"ARIS";"FOL";800;911.131881877749;-12.1971236094514
38;"ARIS";"FOL";800;725.214635868562;10.3121697263971
39;"ARIS";"FOL";830;818.067605576551;1.45860737451387
24;"ARIS";"FOL";850;834.171766006832;1.8974789891221
33;"ARIS";"FOL";850;819.5933405665;3.70996906984176
37;"ARIS";"FOL";850;631.649743152647;34.5682491308455
38;"ARIS";"FOL";850;1862.67301193585;-54.3666550944115
40;"ARIS";"FOL";850;742.717102597161;14.4446515406321
39;"ARIS";"FOL";880;919.016699775474;-4.24548321972884
29;"ARIS";"FOL";883;921.990450176625;-4.22894295371021
8;"ARIS";"FOL";900;886.119047804659;1.56648841143082
18;"ARIS";"FOL";900;773.231143161766;16.3946910260071
40;"ARIS";"FOL";920;955.839477259127;-3.74952888134486
37;"ARIS";"FOL";950;1008.96022028952;-5.84366153430763
11;"ARIS";"FOL";985;1001.27459006301;-1.62538730379512
40;"ARIS";"FOL";1000;852.961326755524;17.2386096100955
41;"ARIS";"FOL";1010;999.791124012055;1.02110088225011
33;"ARIS";"FOL";1030;1017.97892257908;1.18087684865502
40;"ARIS";"FOL";1040;1137.05077684297;-8.53530720170901
43;"ARIS";"FOL";1060;1030.87858601427;2.82491210709154
37;"ARIS";"FOL";1070;1069.00871892385;0.0927289982397914
29;"ARIS";"FOL";1080;1183.19751615454;-8.72191791696262
10;"ARIS";"FOL";1120;1194.72027270568;-6.25420647935081
40;"ARIS";"FOL";1120;1134.87058479667;-1.31033308959507
23;"ARIS";"FOL";1150;1037.11736858032;10.8842677636575
18;"ARIS";"FOL";1200;1170.03327372006;2.56118581864407
43;"ARIS";"FOL";1200;2759.77458197402;-56.5181878317881
18;"ARIS";"FOL";1230;1278.56264722755;-3.79822195907687
39;"ARIS";"FOL";1230;1280.70738996302;-3.95932672524703
37;"ARIS";"FOL";1240;1266.61820647063;-2.10151775291443
18;"ARIS";"FOL";1250;658.316655237853;89.8782280615958
22;"ARIS";"FOL";1250;1253.07645841927;-0.245512426524362
29;"ARIS";"FOL";1270;1300.26878373331;-2.32788667327694
44;"ARIS";"FOL";1275;1334.12193172263;-4.43152385976398
40;"ARIS";"FOL";1300;1176.07958614622;10.53673708085
7;"ARIS";"FOL";1350;1455.49070725639;-7.24777607513809
24;"ARIS";"FOL";1350;1262.01288474147;6.97196647691538
37;"ARIS";"FOL";1393;1249.41845151842;11.4918703423252
37;"ARIS";"FOL";1400;1429.64890002596;-2.07385883522988
39;"ARIS";"FOL";1400;1409.78216629557;-0.693877857830637
44;"ARIS";"FOL";1400;1257.84170800135;11.3017632579967
42;"ARIS";"FOL";1440;1534.88702031516;-6.18201985288017
37;"ARIS";"FOL";1450;1352.83112716952;7.1826313631459
42;"ARIS";"FOL";1470;1370.34584884414;7.27218980813576
11;"ARIS";"FOL";1480;1534.15294951711;-3.5298272922628
42;"ARIS";"FOL";1480;1498.82321469251;-1.25586623612362
11;"ARIS";"FOL";1500;1257.4375599619;19.2902174836772
24;"ARIS";"FOL";1510;1581.70857790725;-4.53361503559207
11;"ARIS";"FOL";1519;2515.8749690267;-39.6233907208972
38;"ARIS";"FOL";1527;1653.72442602465;-7.66297117164058
23;"ARIS";"FOL";1540;1211.32422903518;27.1335917408845
41;"ARIS";"FOL";1550;1492.63773276528;3.8430133431269
11;"ARIS";"FOL";1565;1528.0295908023;2.41948254276214
23;"ARIS";"FOL";1580;1513.67963220209;4.38140055445102
24;"ARIS";"FOL";1590;1581.43534587924;0.541574724700366
18;"ARIS";"FOL";1600;1637.04711587202;-2.26304518134079
42;"ARIS";"FOL";1600;1834.77986962026;-12.7960783474722
19;"ARIS";"FOL";1640;1689.83877276277;-2.94932117584746
11;"ARIS";"FOL";1650;1775.12157410606;-7.04861998925718
41;"ARIS";"FOL";1650;1613.65746132091;2.25218421816397
33;"ARIS";"FOL";1655;1507.06280610931;9.8162593682884
42;"ARIS";"FOL";1670;1670.95731943391;-0.0572916748247249
43;"ARIS";"FOL";1700;1502.55667884098;13.1404907341876
41;"ARIS";"FOL";1750;1769.59420544679;-1.10727111257938
42;"ARIS";"FOL";1780;1800.01549150457;-1.11196218027184
37;"ARIS";"FOL";1795;1816.15992699393;-1.16509161332238
11;"ARIS";"FOL";1800;1789.77098200777;0.571526641959012
33;"ARIS";"FOL";1800;1879.45360219203;-4.22748409960013
39;"ARIS";"FOL";1800;1706.50500316956;5.47874144270255
41;"ARIS";"FOL";1800;1606.68829032792;12.0316872187212
44;"ARIS";"FOL";1830;3922.73320566846;-53.3488538716934
45;"ARIS";"FOL";1850;1977.77507632869;-6.4605463916494
37;"ARIS";"FOL";1860;2057.75272100136;-9.61013045849002
43;"ARIS";"FOL";1890;1849.50773111396;2.18935385912963
44;"ARIS";"FOL";1900;1952.14877475685;-2.67135248251502
29;"ARIS";"FOL";1940;1993.22096957736;-2.67009881943233
19;"ARIS";"FOL";1950;2003.75425876688;-2.68267720613416
40;"ARIS";"FOL";1950;1806.24813442655;7.95858901297004
42;"ARIS";"FOL";1950;1938.17578791618;0.610069125697357
18;"ARIS";"FOL";2000;1699.07624234897;17.7110214451003
40;"ARIS";"FOL";2000;4172.23594067506;-52.0640723957619
41;"ARIS";"FOL";2030;2048.44387299365;-0.900384591289414
24;"ARIS";"FOL";2050;4000.58337752444;-48.7574734345735
43;"ARIS";"FOL";2050;2091.2057473722;-1.97043009392941
23;"ARIS";"FOL";2080;1545.68158036673;34.5684665211896
23;"ARIS";"FOL";2100;2218.66283978878;-5.34839443202995
42;"ARIS";"FOL";2100;1851.84146117357;13.4006362871457
44;"ARIS";"FOL";2130;2136.28944286616;-0.294409677825461
10;"ARIS";"FOL";2150;1975.81595386342;8.81580320251943
41;"ARIS";"FOL";2160;2154.19548372753;0.269451696297647
39;"ARIS";"FOL";2170;2175.49282398369;-0.252486421611434
38;"ARIS";"FOL";2300;2270.61849732807;1.29398675763905
42;"ARIS";"FOL";2300;2360.16374050817;-2.54913417554734
7;"ARIS";"FOL";2320;2189.47244198033;5.96159858041467
11;"ARIS";"FOL";2350;2450.25220810106;-4.09150567315493
44;"ARIS";"FOL";2350;2375.80023107854;-1.08595961651332
23;"ARIS";"FOL";2360;1959.97424236285;20.4097456482332
38;"ARIS";"FOL";2365;2505.1540323722;-5.5946273387222
39;"ARIS";"FOL";2380;2041.95253721809;16.5551087314916
19;"ARIS";"FOL";2500;2452.89546981461;1.92036435164327
11;"ARIS";"FOL";2510;2499.25753297512;0.429826333746955
38;"ARIS";"FOL";2545;2084.36723128069;22.0994056040827
19;"ARIS";"FOL";2550;2250.31013229446;13.3177140077121
40;"ARIS";"FOL";2550;2656.30432776915;-4.00196342933453
29;"ARIS";"FOL";2600;2684.29235635435;-3.14020774059154
24;"ARIS";"FOL";2750;2937.15532774315;-6.37199285905516
43;"ARIS";"FOL";2750;2858.34334714169;-3.79042452160395
43;"ARIS";"FOL";2770;2664.69564298753;3.95183432260238
18;"ARIS";"FOL";2775;2855.619686796;-2.82319410980293
44;"ARIS";"FOL";2800;2663.58133997993;5.12162545864285
19;"ARIS";"FOL";2810;2844.72061924723;-1.22052826602053
41;"ARIS";"FOL";2850;2823.39550729268;0.942287137547779
43;"ARIS";"FOL";2860;2696.90332191593;6.04755375391823
33;"ARIS";"FOL";2900;2942.31652320821;-1.43820431535585
7;"ARIS";"FOL";2950;2967.33259927966;-0.584113802540116
33;"ARIS";"FOL";3000;3154.64023713901;-4.90199279519916
14;"ARIS";"FOL";3040;3638.25145021134;-16.4433783205553
19;"ARIS";"FOL";3070;3190.86060764097;-3.78771192171644
41;"ARIS";"FOL";3110;1960.66771933564;58.6194320093059
19;"ARIS";"FOL";3150;1938.33019379424;62.51101128616
23;"ARIS";"FOL";3200;3222.62377336427;-0.702029617954729
29;"ARIS";"FOL";3280;3752.24100240916;-12.5855722515147
10;"ARIS";"FOL";3300;3383.03823520141;-2.45454616319061
19;"ARIS";"FOL";3310;3077.64653350434;7.54971254710967
19;"ARIS";"FOL";3400;3532.52422244764;-3.75154462085521
24;"ARIS";"FOL";3450;4230.00075769919;-18.4397309215484
29;"ARIS";"FOL";3550;3971.19293524383;-10.6062068026409
23;"ARIS";"FOL";3650;3706.13796418015;-1.5147294764178
33;"ARIS";"FOL";3650;3460.9278469499;5.46304810187629
10;"ARIS";"FOL";3750;3551.01185760205;5.6037025607771
33;"ARIS";"FOL";3800;3974.95186212184;-4.40135800860874
23;"ARIS";"FOL";4100;4306.56530909826;-4.79652099230594
44;"ARIS";"FOL";4100;4264.73828265419;-3.86279934982708
10;"ARIS";"FOL";4250;4457.79339671403;-4.66135099188757
38;"ARIS";"FOL";4650;5301.452283823;-12.2881853678257
33;"ARIS";"FOL";5100;5407.93758232581;-5.69417781988112
29;"ARIS";"FOL";5116;5094.57036798971;0.420636686950914
39;"ARIS";"FOL";5350;6018.68794857273;-11.1101946850609
33;"ARIS";"FOL";5850;7113.29106958345;-17.7595863465408
11;"ARIS";"FOL";8035;8271.96422930975;-2.86466699735138
