"YEAR" "HAUL_NUMBER" "GENUS" "SPECIES" "SEX" "WEIGHT_OF_THE_FRACTION" "WEIGHT_OF_THE_SAMPLE_MEASURED" "SumSexTotal" "raising"
"1" 1998 103 "PAPE" "LON" "F" 1 1 1 1
"2" 1994 109 "MULL" "BAR" "I" 1 1 1 1
"3" 1995 123 "MULL" "BAR" "I" 1 1 1 1
"4" 1994 125 "MULL" "BAR" "I" 1 1 1 1
"5" 1997 132 "PHYI" "BLE" "I" 1 1 1 1
"6" 2001 81 "TRIS" "CAP" "I" 1 1 1 1
"7" 1996 99 "TRIS" "CAP" "I" 1 1 1 1
"8" 2003 101 "TRIS" "CAP" "I" 1 1 1 1
"9" 2000 102 "TRIS" "CAP" "I" 1 1 1 1
"10" 2000 106 "TRIS" "CAP" "I" 1 1 1 1
"11" 2010 166 "TRIS" "CAP" "I" 1 1 1 1
"12" 1999 128 "ASPI" "CUC" "I" 1 1 1 1
"13" 1996 14 "HELI" "DAC" "I" 1 1 1 1
"14" 1996 77 "HELI" "DAC" "I" 1 1 1 1
"15" 1995 84 "HELI" "DAC" "I" 1 1 1 1
"16" 1995 92 "HELI" "DAC" "I" 1 1 1 1
"17" 1996 93 "HELI" "DAC" "I" 1 1 1 1
"18" 1995 97 "HELI" "DAC" "I" 1 1 1 1
"19" 1996 97 "HELI" "DAC" "I" 1 1 1 1
"20" 1999 103 "HELI" "DAC" "I" 1 1 1 1
"21" 2001 110 "HELI" "DAC" "I" 1 1 1 1
"22" 1996 111 "HELI" "DAC" "I" 1 1 1 1
"23" 2001 111 "HELI" "DAC" "I" 1 1 1 1
"24" 1995 133 "HELI" "DAC" "I" 1 1 1 1
"25" 2015 151 "HELI" "DAC" "I" 1 1 1 1
"26" 2005 101 "ZEUS" "FAB" "I" 1 1 1 1
"27" 2011 165 "ZEUS" "FAB" "I" 1 1 1 1
"28" 1995 93 "EUTR" "GUR" "I" 1 1 1 1
"29" 2000 105 "EUTR" "GUR" "I" 1 1 2 2
"30" 2001 106 "EUTR" "GUR" "I" 1 1 1 1
"31" 2000 107 "EUTR" "GUR" "I" 1 1 1 1
"32" 1996 110 "EUTR" "GUR" "I" 1 1 1 1
"33" 1997 111 "EUTR" "GUR" "I" 1 1 1 1
"34" 1998 130 "EUTR" "GUR" "I" 1 1 1 1
"35" 2000 130 "EUTR" "GUR" "I" 1 1 1 1
"36" 2005 146 "PAPE" "LON" "I" 1 1 1 1
"37" 2013 4 "TRAC" "MED" "I" 1 1 1 1
"38" 2012 76 "TRAC" "MED" "I" 1 1 1 1
"39" 2017 109 "TRAC" "MED" "I" 1 1 1 1
"40" 2016 4 "SEPI" "OFF" "I" 1 1 1 1
"41" 2012 8 "MULL" "SUR" "I" 1 1 1 1
"42" 2000 21 "TRAC" "TRA" "I" 1 1 1 1
"43" 1995 93 "TRAC" "TRA" "I" 1 1 1 1
"44" 1999 132 "TRAC" "TRA" "I" 1 1 1 1
"45" 2018 138 "TRAC" "TRA" "I" 1 1 1 1
"46" 2012 156 "TRAC" "TRA" "I" 1 1 1 1
"47" 1998 111 "PAPE" "LON" "F" 2 2 1 1
"48" 2001 117 "PAPE" "LON" "F" 2 2 1 1
"49" 2012 158 "PAPE" "LON" "F" 2 2 1 1
"50" 1996 1 "CITH" "MAC" "F" 2 2 1 1
"51" 2009 121 "MULL" "BAR" "I" 2 2 1 1
"52" 1996 123 "MULL" "BAR" "I" 2 2 1 1
"53" 2000 106 "PHYI" "BLE" "I" 2 2 1 1
"54" 1997 131 "PHYI" "BLE" "I" 2 2 1 1
"55" 1998 141 "LEPM" "BOS" "I" 2 2 1 1
"56" 2001 21 "LOPH" "BUD" "I" 2 2 1 1
"57" 1997 125 "LOPH" "BUD" "I" 2 2 1 1
"58" 2011 6 "TRIS" "CAP" "I" 2 2 1 1
"59" 2000 132 "TRIS" "CAP" "I" 2 2 1 1
"60" 2017 135 "TRIS" "CAP" "I" 2 2 1 1
"61" 2015 109 "ILLE" "COI" "I" 2 2 1 1
"62" 2005 8 "HELI" "DAC" "I" 2 2 1 1
"63" 1998 18 "HELI" "DAC" "I" 2 2 1 1
"64" 2000 20 "HELI" "DAC" "I" 2 2 1 1
