"Species";"LENGTH_CLASS";"LENGTHS";"WEIGHTS";"OTOLITH"
"ARIS FOL";22;2;1;0
"ARIS FOL";23;2;2;0
"ARIS FOL";24;6;3;0
"ARIS FOL";25;8;5;0
"ARIS FOL";26;33;21;0
"ARIS FOL";27;35;29;0
"ARIS FOL";28;54;32;0
"ARIS FOL";29;34;25;0
"ARIS FOL";30;36;26;0
"ARIS FOL";31;27;22;0
"ARIS FOL";32;19;17;0
"ARIS FOL";33;26;19;0
"ARIS FOL";34;34;27;0
"ARIS FOL";35;31;19;0
"ARIS FOL";36;23;19;0
"ARIS FOL";37;26;18;0
"ARIS FOL";38;18;15;0
"ARIS FOL";39;10;7;0
"ARIS FOL";40;6;3;0
"ARIS FOL";41;6;3;0
"ARIS FOL";42;3;3;0
"ARIS FOL";43;5;2;0
"ARIS FOL";44;17;9;0
"ARIS FOL";45;14;9;0
"ARIS FOL";46;9;6;0
"ARIS FOL";47;9;5;0
"ARIS FOL";48;7;3;0
"ARIS FOL";49;3;2;0
"ARIS FOL";50;1;0;0
"ARIS FOL";51;1;1;0
"ARIS FOL";52;9;7;0
"ARIS FOL";53;3;3;0
"ARIS FOL";54;4;2;0
"ARIS FOL";55;10;9;0
"ARIS FOL";56;1;1;0
"ARIS FOL";57;2;2;0
"ARIS FOL";58;1;1;0
"ARIS FOL";59;2;2;0
"ARIT ANT";19;3;3;0
"ARIT ANT";20;2;2;0
"ARIT ANT";21;8;8;0
"ARIT ANT";22;5;5;0
"ARIT ANT";23;2;2;0
"ARIT ANT";24;7;6;0
"ARIT ANT";25;4;4;0
"ARIT ANT";26;6;5;0
"ARIT ANT";27;5;5;0
"ARIT ANT";28;5;5;0
"ARIT ANT";29;1;1;0
"ARIT ANT";30;8;7;0
"ARIT ANT";31;6;5;0
"ARIT ANT";32;10;9;0
"ARIT ANT";33;18;14;0
"ARIT ANT";34;16;9;0
"ARIT ANT";35;15;13;0
"ARIT ANT";36;17;15;0
"ARIT ANT";37;11;11;0
"ARIT ANT";38;18;15;0
"ARIT ANT";39;12;11;0
"ARIT ANT";40;10;10;0
"ARIT ANT";41;12;11;0
"ARIT ANT";42;2;2;0
"ARIT ANT";43;8;7;0
"ARIT ANT";44;6;6;0
"ARIT ANT";45;6;6;0
"ARIT ANT";46;3;3;0
"ARIT ANT";47;2;2;0
"ARIT ANT";48;1;1;0
"ARIT ANT";55;1;1;0
"CHIM MON";200;2;1;0
"CHIM MON";230;2;2;0
"CHIM MON";240;1;1;0
"CHIM MON";295;1;1;0
"CHIM MON";300;1;1;0
"CHIM MON";375;1;1;0
"CHIM MON";390;2;2;0
"CHIM MON";405;1;1;0
"CHIM MON";415;1;1;0
"CHIM MON";425;1;1;0
"CHIM MON";430;1;1;0
"CHIM MON";435;1;1;0
"CHIM MON";440;1;1;0
"CHIM MON";450;1;1;0
"CHIM MON";460;1;1;0
"CHIM MON";465;1;1;0
"CHIM MON";470;1;1;0
"CHIM MON";475;1;1;0
"CHIM MON";480;2;2;0
"CHIM MON";490;1;1;0
"CHIM MON";505;1;0;0
"CHIM MON";510;1;1;0
"CHIM MON";520;1;1;0
"CHIM MON";535;1;1;0
"CHIM MON";550;1;1;0
"CHIM MON";565;1;1;0
"CHIM MON";575;2;2;0
"CHIM MON";600;1;1;0
"CHIM MON";605;1;1;0
"CHIM MON";615;1;1;0
"CHIM MON";630;2;2;0
"CHIM MON";650;1;1;0
"CHIM MON";655;1;1;0
"CHIM MON";670;1;0;0
"CHIM MON";675;2;2;0
"CHIM MON";700;2;2;0
"CHIM MON";720;1;1;0
"CHIM MON";735;1;1;0
"CHIM MON";760;1;1;0
"CHIM MON";770;1;1;0
"CHIM MON";785;1;1;0
"CHIM MON";790;1;1;0
"CHIM MON";830;1;1;0
"CHIM MON";865;1;1;0
"CHIM MON";895;1;1;0
"CHIM MON";905;1;1;0
"CHIM MON";920;1;1;0
"CHIM MON";940;1;1;0
"ETMO SPI";90;1;1;0
"ETMO SPI";95;6;6;0
"ETMO SPI";100;22;12;0
"ETMO SPI";105;42;21;0
"ETMO SPI";110;36;17;0
"ETMO SPI";115;39;11;0
"ETMO SPI";120;33;18;0
"ETMO SPI";125;41;18;0
"ETMO SPI";130;47;22;0
"ETMO SPI";135;41;19;0
"ETMO SPI";140;59;19;0
"ETMO SPI";145;36;17;0
"ETMO SPI";150;38;24;0
"ETMO SPI";155;49;33;0
"ETMO SPI";160;46;34;0
"ETMO SPI";165;25;23;0
"ETMO SPI";170;32;32;0
"ETMO SPI";175;24;24;0
"ETMO SPI";180;21;19;0
"ETMO SPI";185;12;12;0
"ETMO SPI";190;15;15;0
"ETMO SPI";195;15;15;0
"ETMO SPI";200;11;11;0
"ETMO SPI";205;14;14;0
"ETMO SPI";210;11;11;0
"ETMO SPI";215;12;12;0
"ETMO SPI";220;13;13;0
"ETMO SPI";225;6;6;0
"ETMO SPI";230;9;9;0
"ETMO SPI";235;9;9;0
"ETMO SPI";240;6;6;0
"ETMO SPI";245;6;6;0
"ETMO SPI";250;11;11;0
"ETMO SPI";255;3;3;0
"ETMO SPI";260;7;7;0
"ETMO SPI";265;6;6;0
"ETMO SPI";270;7;7;0
"ETMO SPI";275;5;5;0
"ETMO SPI";280;4;4;0
"ETMO SPI";285;4;4;0
"ETMO SPI";290;3;3;0
"ETMO SPI";295;2;2;0
"ETMO SPI";300;4;4;0
"ETMO SPI";305;2;2;0
"ETMO SPI";310;1;1;0
"ETMO SPI";330;1;1;0
"ETMO SPI";340;1;1;0
"ETMO SPI";345;1;1;0
"GALU MEL";125;1;1;0
"GALU MEL";135;4;4;0
"GALU MEL";145;1;1;0
"GALU MEL";150;1;1;0
"GALU MEL";165;3;3;0
"GALU MEL";170;5;4;0
"GALU MEL";175;8;8;0
"GALU MEL";180;5;5;0
"GALU MEL";185;7;4;0
"GALU MEL";190;12;11;0
"GALU MEL";195;13;10;0
"GALU MEL";200;6;5;0
"GALU MEL";205;10;9;0
"GALU MEL";210;18;13;0
"GALU MEL";215;13;4;0
"GALU MEL";220;11;10;0
"GALU MEL";225;14;8;0
"GALU MEL";230;18;9;0
"GALU MEL";235;12;9;0
"GALU MEL";240;14;8;0
"GALU MEL";245;18;11;0
"GALU MEL";250;13;5;0
"GALU MEL";255;15;8;0
"GALU MEL";260;25;10;0
"GALU MEL";265;15;6;0
"GALU MEL";270;26;15;0
"GALU MEL";275;16;13;0
"GALU MEL";280;12;7;0
"GALU MEL";285;17;12;0
"GALU MEL";290;19;16;0
"GALU MEL";295;14;11;0
"GALU MEL";300;16;14;0
"GALU MEL";305;12;10;0
"GALU MEL";310;23;20;0
"GALU MEL";315;19;16;0
"GALU MEL";320;24;22;0
"GALU MEL";325;19;17;0
"GALU MEL";330;17;12;0
"GALU MEL";335;16;15;0
"GALU MEL";340;23;18;0
"GALU MEL";345;19;15;0
"GALU MEL";350;26;25;0
"GALU MEL";355;17;16;0
"GALU MEL";360;27;23;0
"GALU MEL";365;15;13;0
"GALU MEL";370;18;18;0
"GALU MEL";375;16;16;0
"GALU MEL";380;22;20;0
"GALU MEL";385;18;17;0
"GALU MEL";390;16;16;0
"GALU MEL";395;18;18;0
"GALU MEL";400;14;14;0
"GALU MEL";405;17;17;0
"GALU MEL";410;10;10;0
"GALU MEL";415;15;15;0
"GALU MEL";420;18;18;0
"GALU MEL";425;15;14;0
"GALU MEL";430;19;19;0
"GALU MEL";435;14;14;0
"GALU MEL";440;10;10;0
"GALU MEL";445;14;14;0
"GALU MEL";450;16;16;0
"GALU MEL";455;8;7;0
"GALU MEL";460;7;7;0
"GALU MEL";465;11;11;0
"GALU MEL";470;7;7;0
"GALU MEL";475;5;5;0
"GALU MEL";480;6;6;0
"GALU MEL";485;8;8;0
"GALU MEL";490;4;4;0
"GALU MEL";495;4;4;0
"GALU MEL";500;5;5;0
"GALU MEL";505;1;1;0
"GALU MEL";510;8;8;0
"GALU MEL";515;5;4;0
"GALU MEL";520;1;1;0
"GALU MEL";525;6;6;0
"GALU MEL";535;3;3;0
"GALU MEL";540;1;1;0
"GALU MEL";545;1;1;0
"GALU MEL";550;1;1;0
"GALU MEL";575;1;1;0
"ILLE COI";25;1;1;0
"ILLE COI";30;10;6;0
"ILLE COI";35;14;6;0
"ILLE COI";40;33;8;0
"ILLE COI";45;40;13;0
"ILLE COI";50;56;12;0
"ILLE COI";55;61;14;0
"ILLE COI";60;74;17;0
"ILLE COI";65;72;11;0
"ILLE COI";70;107;23;0
"ILLE COI";75;121;17;0
"ILLE COI";80;154;35;0
"ILLE COI";85;152;48;0
"ILLE COI";90;191;56;0
"ILLE COI";95;168;57;0
"ILLE COI";100;166;55;0
"ILLE COI";105;108;52;0
"ILLE COI";110;105;52;0
"ILLE COI";115;73;47;0
"ILLE COI";120;92;59;0
"ILLE COI";125;81;58;0
"ILLE COI";130;67;55;0
"ILLE COI";135;53;51;0
"ILLE COI";140;31;29;0
"ILLE COI";145;30;30;0
"ILLE COI";150;24;24;0
"ILLE COI";155;10;10;0
"ILLE COI";160;17;17;0
"ILLE COI";165;11;11;0
"ILLE COI";170;22;22;0
"ILLE COI";175;10;10;0
"ILLE COI";180;7;7;0
"ILLE COI";185;7;7;0
"ILLE COI";190;1;1;0
"ILLE COI";195;1;1;0
"ILLE COI";200;1;1;0
"ILLE COI";225;1;1;0
"LOLI VUL";10;1;1;0
"LOLI VUL";15;11;7;0
"LOLI VUL";20;302;25;0
"LOLI VUL";25;534;33;0
"LOLI VUL";30;616;27;0
"LOLI VUL";35;538;32;0
"LOLI VUL";40;405;18;0
"LOLI VUL";45;314;15;0
"LOLI VUL";50;332;21;0
"LOLI VUL";55;437;33;0
"LOLI VUL";60;359;41;0
"LOLI VUL";65;310;27;0
"LOLI VUL";70;181;27;0
"LOLI VUL";75;127;24;0
"LOLI VUL";80;86;14;0
"LOLI VUL";85;48;13;0
"LOLI VUL";90;24;16;0
"LOLI VUL";95;23;19;0
"LOLI VUL";100;11;11;0
"LOLI VUL";105;6;6;0
"LOLI VUL";110;6;6;0
"LOLI VUL";115;6;6;0
"LOLI VUL";120;1;1;0
"LOLI VUL";125;3;3;0
"LOLI VUL";130;2;2;0
"LOLI VUL";140;1;1;0
"LOLI VUL";145;1;1;0
"LOLI VUL";150;1;1;0
"LOLI VUL";165;2;2;0
"LOLI VUL";170;1;1;0
"MERL MER";45;1;1;1
"MERL MER";50;1;1;1
"MERL MER";55;11;5;5
"MERL MER";60;22;1;1
"MERL MER";65;50;7;6
"MERL MER";70;80;5;4
"MERL MER";75;145;13;8
"MERL MER";80;268;14;9
"MERL MER";85;441;23;12
"MERL MER";90;693;35;13
"MERL MER";95;799;25;15
"MERL MER";100;763;24;11
"MERL MER";105;654;26;9
"MERL MER";110;514;27;13
"MERL MER";115;427;29;8
"MERL MER";120;329;24;9
"MERL MER";125;232;17;9
"MERL MER";130;156;16;9
"MERL MER";135;125;21;6
"MERL MER";140;80;22;16
"MERL MER";145;56;11;10
"MERL MER";150;50;16;12
"MERL MER";155;33;10;9
"MERL MER";160;30;9;9
"MERL MER";165;19;8;7
"MERL MER";170;13;6;6
"MERL MER";175;24;15;14
"MERL MER";180;32;11;10
"MERL MER";185;13;8;8
"MERL MER";190;16;12;11
"MERL MER";195;19;13;11
"MERL MER";200;20;12;12
"MERL MER";205;12;7;7
"MERL MER";210;20;10;8
"MERL MER";215;18;14;12
"MERL MER";220;20;11;10
"MERL MER";225;15;9;8
"MERL MER";230;17;10;8
"MERL MER";235;21;12;11
"MERL MER";240;23;14;13
"MERL MER";245;17;9;6
"MERL MER";250;20;14;11
"MERL MER";255;17;15;12
"MERL MER";260;14;11;9
"MERL MER";265;17;13;12
"MERL MER";270;15;15;10
"MERL MER";275;10;8;5
"MERL MER";280;10;10;9
"MERL MER";285;12;12;11
"MERL MER";290;12;12;8
"MERL MER";295;6;6;6
"MERL MER";300;10;10;10
"MERL MER";305;7;7;6
"MERL MER";310;9;9;9
"MERL MER";315;5;5;5
"MERL MER";320;4;4;3
"MERL MER";325;3;3;2
"MERL MER";335;2;2;1
"MERL MER";340;6;6;6
"MERL MER";345;2;2;2
"MERL MER";350;1;1;1
"MERL MER";355;2;2;2
"MERL MER";360;1;1;1
"MERL MER";365;3;3;2
"MERL MER";370;2;2;1
"MERL MER";375;4;4;3
"MERL MER";380;3;3;3
"MERL MER";385;1;1;1
"MERL MER";390;2;2;2
"MERL MER";395;1;1;1
"MERL MER";400;2;2;2
"MERL MER";415;4;4;4
"MERL MER";440;1;1;0
"MERL MER";445;1;1;1
"MERL MER";450;1;1;1
"MERL MER";455;1;1;1
"MERL MER";460;1;1;1
"MERL MER";465;1;1;0
"MERL MER";470;1;1;1
"MERL MER";475;1;1;0
"MERL MER";480;1;1;0
"MERL MER";490;1;1;1
"MERL MER";495;2;2;2
"MERL MER";505;1;1;1
"MERL MER";515;1;1;0
"MERL MER";585;1;1;1
"MERL MER";600;1;1;1
"MERL MER";620;1;1;0
"MERL MER";640;2;2;1
"MERL MER";690;1;1;1
"MERL MER";775;1;1;1
"MERL MER";805;1;1;1
"MULL BAR";35;13;0;0
"MULL BAR";40;729;8;2
"MULL BAR";45;1754;18;9
"MULL BAR";50;3468;16;6
"MULL BAR";55;5548;9;6
"MULL BAR";60;2611;12;7
"MULL BAR";65;431;12;6
"MULL BAR";70;294;12;6
"MULL BAR";75;116;12;6
"MULL BAR";80;62;15;6
"MULL BAR";85;36;10;4
"MULL BAR";90;8;0;0
"MULL BAR";95;7;2;2
"MULL BAR";100;20;9;9
"MULL BAR";105;114;15;15
"MULL BAR";110;217;23;21
"MULL BAR";115;285;31;25
"MULL BAR";120;309;42;28
"MULL BAR";125;333;60;34
"MULL BAR";130;358;75;33
"MULL BAR";135;300;68;35
"MULL BAR";140;340;78;31
"MULL BAR";145;288;82;30
"MULL BAR";150;301;65;32
"MULL BAR";155;247;50;30
"MULL BAR";160;220;51;33
"MULL BAR";165;169;55;30
"MULL BAR";170;114;50;32
"MULL BAR";175;90;41;30
"MULL BAR";180;59;24;19
"MULL BAR";185;44;20;19
"MULL BAR";190;34;21;16
"MULL BAR";195;18;17;16
"MULL BAR";200;15;15;15
"MULL BAR";205;12;9;9
"MULL BAR";210;5;3;3
"MULL BAR";215;8;5;5
"MULL BAR";220;5;5;5
"MULL BAR";225;2;1;1
"MULL BAR";230;3;2;2
"MULL BAR";235;2;2;2
"MULL BAR";245;1;1;1
"MULL SUR";50;1;1;1
"MULL SUR";75;3;3;3
"MULL SUR";80;3;3;3
"MULL SUR";85;5;5;5
"MULL SUR";90;3;3;3
"MULL SUR";95;5;5;5
"MULL SUR";100;1;1;1
"MULL SUR";125;1;1;1
"MULL SUR";130;1;0;0
"MULL SUR";145;3;3;3
"MULL SUR";150;1;1;1
"MULL SUR";155;1;1;1
"MULL SUR";160;2;2;2
"MULL SUR";165;3;3;3
"MULL SUR";170;5;5;5
"MULL SUR";175;2;2;2
"MULL SUR";180;3;3;3
"MULL SUR";185;5;4;4
"MULL SUR";190;4;4;4
"MULL SUR";195;6;5;5
"MULL SUR";200;2;2;2
"MULL SUR";205;3;3;3
"MULL SUR";210;2;2;2
"MULL SUR";215;2;2;2
"MULL SUR";220;3;3;3
"MULL SUR";250;1;1;1
"NEPR NOR";10;1;0;0
"NEPR NOR";14;1;0;0
"NEPR NOR";17;1;1;0
"NEPR NOR";18;2;0;0
"NEPR NOR";20;3;0;0
"NEPR NOR";21;1;0;0
"NEPR NOR";22;2;0;0
"NEPR NOR";23;3;0;0
"NEPR NOR";24;3;0;0
"NEPR NOR";25;4;0;0
"NEPR NOR";26;4;2;0
"NEPR NOR";27;5;1;0
"NEPR NOR";28;5;0;0
"NEPR NOR";29;13;4;0
"NEPR NOR";30;10;3;0
"NEPR NOR";31;6;2;0
"NEPR NOR";32;7;2;0
"NEPR NOR";33;8;2;0
