TYPE_OF_FILE;COUNTRY;AREA;VESSEL;GEAR;RIGGING;DOORS;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;SHOOTING_TIME;SHOOTING_QUADRANT;SHOOTING_LATITUDE;SHOOTING_LONGITUDE;SHOOTING_DEPTH;HAULING_TIME;HAULING_QUADRANT;HAULING_LATITUDE;HAULING_LONGITUDE;HAULING_DEPTH;HAUL_DURATION;VALIDITY;COURSE;RECORDED_SPECIES;DISTANCE;VERTICAL_OPENING;WING_OPENING;GEOMETRICAL_PRECISION;BRIDLES_LENGTH;WARP_LENGTH;WARP_DIAMETER;HYDROLOGICAL_STATION;OBSERVATIONS;BOTTOM_TEMPERATURE_BEGINNING;BOTTOM_TEMPERATURE_END;MEASURING_SYSTEM;NUMBER_OF_THE_STRATUM;BOTTOM_SALINITY_BEGINNING;BOTTOM_SALINITY_END;MEASURING_SYSTEM_SALINITY
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;17;105;S;S;1048;1;4110.82;1649.95;53;1118;1;4111.56;1648.19;56;30;V;R;3;2815;50;50;M;100;350;13;;0;15.2;15.4;SI;22127f;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;22;148;S;S;436;1;4137.16;1644.08;106;506;1;4136.06;1645.45;109;30;V;R;3;2796;50;50;M;100;600;13;;0;13.9;13.8;SI;22133g;NA;NA;NA
TA;ALB;18;MIZ;GOC73;GC73;WHS8;2021;8;25;168;S;S;347;1;4125.95;1845.9;389;447;1;4128.82;1845.54;391;60;V;R;3;5352;50;50;M;150;1400;13;;0;14.6;14.7;SI;22144i;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;24;152;S;S;900;1;4103.18;1749.98;562;1000;1;4101.94;1753.4;643;60;V;R;3;5297;50;50;M;150;1700;13;;0;14.4;14.3;SI;22130f;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;27;76;S;S;1230;1;4017.16;1827.3;74;1300;1;4018.58;1826.62;84;30;V;R;3;2796;50;50;M;100;500;13;;0;15.4;15.3;SI;22122e;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;20;145;S;S;457;1;4210.76;1656.98;412;557;1;4208.01;1658.14;383;60;V;R;3;5334;50;50;M;150;1400;13;;0;14.4;14.4;SI;22134g;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;16;109;S;S;1027;1;4116.94;1634.68;41;1057;1;4118.09;1633.33;43;30;V;R;3;2852;50;50;M;100;400;13;;0;15.3;15.4;SI;22131g;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;18;121;S;S;651;1;4143.38;1610.36;11;721;1;4142.34;1608.86;11;30;V;R;3;2815;50;50;M;100;200;13;;0;25.2;25.3;SI;22136h;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;22;116;S;S;910;1;4132.32;1710.14;546;1010;1;4129.51;1710.06;553;60;V;R;3;5222;50;50;M;150;1700;13;;0;14.4;14.3;SI;22135g;NA;NA;NA
TA;ITA;18;MIZ;GOC73;GC73;WHS8;2021;8;23;104;S;S;429;1;4108.07;1703.32;92;459;1;4107.47;1705.23;91;30;V;R;3;2889;50;50;M;100;500;13;;0;14.3;14.4;SI;22127f;NA;NA;NA
TA;ALB;18;MIZ;GOC73;GC73;WHS8;2021;8;26;14;S;S;430;1;4125.09;1906.41;115;500;1;4123.66;1906.34;112;30;V;R;3;2648;50;50;M;100;650;13;;0;15.5;15.6;SI;22143i;NA;NA;NA
