TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;18;MIZ;2021;8;16;125;S;S;C;ALLO;SUB;FM;70;11;0;0;11
TB;ITA;18;MIZ;2021;8;16;125;S;S;Eec;ASTR;IRR;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;FM;3100;114;0;0;114
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;FM;2420;612;0;0;612
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;GADA;MAR;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;125;S;S;C;ILLE;COI;FM;2;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;125;S;S;C;LOLI;VUL;FM;20;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;LOPH;BUD;FM;100;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;125;S;S;B;MCPI;DEP;FM;110;16;0;0;16
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MERL;MER;FM;85;8;0;0;8
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;FM;890;116;0;13;103
TB;ITA;18;MIZ;2021;8;16;125;S;S;Dmb;MYTI;GAL;FM;220;5;0;0;5
TB;ITA;18;MIZ;2021;8;16;125;S;S;C;OCTO;VUL;FM;2265;6;2;4;0
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;PAGE;ERY;FM;320;7;0;0;7
TB;ITA;18;MIZ;2021;8;16;125;S;S;B;PAGU;EXC;FM;40;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;125;S;S;G;RAJA;EGG;FM;10;2;0;0;2
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SARD;PIL;FM;2800;110;0;0;110
TB;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SARI;AUR;FM;270;6;0;0;6
