TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;WEIGHT_OF_THE_FRACTION;WEIGHT_OF_THE_SAMPLE_MEASURED;SEX;NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED;LENGTH_CLASS;MATURITY;MATSUB;NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SPAR;PAG;0;10;10;N;1;85;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;PAGE;ERY;0;320;320;N;7;80;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;PAGE;ERY;0;320;320;N;7;125;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;PAGE;ERY;0;320;320;N;7;130;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;PAGE;ERY;0;320;320;N;7;145;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;PAGE;ERY;0;320;320;N;7;155;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;PAGE;ERY;0;320;320;N;7;175;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SPIC;FLE;0;100;100;N;7;65;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SPIC;FLE;0;100;100;N;7;95;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SPIC;FLE;0;100;100;N;7;100;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SPIC;FLE;0;100;100;N;7;105;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SPIC;FLE;0;100;100;N;7;145;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SPIC;FLE;0;100;100;N;7;160;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRIG;LUC;0;360;360;N;5;175;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRIG;LUC;0;360;360;N;5;185;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRIG;LUC;0;360;360;N;5;195;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SCOM;PNE;0;260;260;N;1;280;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SCOM;SCO;0;160;160;N;2;145;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SCOM;SCO;0;160;160;N;2;235;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRAC;MED;0;180;180;N;9;75;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRAC;MED;0;180;180;N;9;90;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRAC;MED;0;180;180;N;9;145;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRAC;MED;0;180;180;N;9;195;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRAC;MED;0;180;180;N;9;200;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRAC;MED;0;180;180;N;9;215;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;TRAC;MED;0;180;180;N;9;230;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;LOPH;BUD;0;100;100;N;1;170;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;115;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;120;ND;ND;9
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;125;ND;ND;23
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;130;ND;ND;23
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;135;ND;ND;25
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;140;ND;ND;5
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;145;ND;ND;9
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;150;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;155;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;160;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;165;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;170;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;175;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;BOOP;BOO;0;3100;3100;N;114;180;ND;ND;3
