TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE;RECORD_NUMBER
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;27;1;;8.3;13;NR;0;NR;;;887
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;28;1;;9.2;10;NR;0;NR;;;6537
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;28;1;;10.2;10;NR;0;NR;;;6538
TE;ALB;18;MIZ;2021;8;31;33;B;ARIS;FOL;m;F;0;29;1;;9.49;22;NR;0;NR;;;7120
TE;ALB;18;MIZ;2021;8;31;33;B;ARIS;FOL;m;F;0;29;1;;10.06;22;NR;0;NR;;;7118
TE;ALB;18;MIZ;2021;8;31;33;B;ARIS;FOL;m;F;0;29;1;;10.21;22;NR;0;NR;;;7122
TE;ALB;18;MIZ;2021;8;31;33;B;ARIS;FOL;m;F;0;30;1;;9.87;22;NR;0;NR;;;7119
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;30;1;;10.1;13;NR;0;NR;;;882
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;30;1;;10.4;13;NR;0;NR;;;881
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;30;1;;10.5;13;NR;0;NR;;;877
TE;ALB;18;MIZ;2021;8;31;39;B;ARIS;FOL;m;F;0;30;2;E;10.72;9;NR;0;NR;;;3313
TE;ALB;18;MIZ;2021;8;31;33;B;ARIS;FOL;m;F;0;30;1;;11.91;22;NR;0;NR;;;7121
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;31;1;;10.8;13;NR;0;NR;;;884
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;31;1;;11.4;10;NR;0;NR;;;6536
TE;ALB;18;MIZ;2021;8;31;33;B;ARIS;FOL;m;F;0;31;1;;12.65;22;NR;0;NR;;;7117
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;32;1;;11.1;10;NR;0;NR;;;6534
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;32;1;;11.5;13;NR;0;NR;;;883
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;32;1;;11.6;13;NR;0;NR;;;879
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;32;1;;11.9;13;NR;0;NR;;;878
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;32;1;;12.1;10;NR;0;NR;;;6535
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;32;1;;13.3;13;NR;0;NR;;;886
TE;ALB;18;MIZ;2021;8;31;39;B;ARIS;FOL;m;F;0;33;2;E;12.59;9;NR;0;NR;;;3310
TE;ALB;18;MIZ;2021;8;31;39;B;ARIS;FOL;m;F;0;33;1;;13.17;9;NR;0;NR;;;3309
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;34;2;E;11.7;10;NR;0;NR;;;6540
TE;ALB;18;MIZ;2021;8;31;39;B;ARIS;FOL;m;F;0;34;2;E;13.12;9;NR;0;NR;;;3312
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;34;2;E;13.4;13;NR;0;NR;;;876
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;34;2;E;13.6;10;NR;0;NR;;;6541
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;34;1;;13.7;10;NR;0;NR;;;6533
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;34;2;D;14.4;13;NR;0;NR;;;875
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;34;1;;14.9;13;NR;0;NR;;;885
TE;ALB;18;MIZ;2021;8;26;170;B;ARIS;FOL;m;F;0;35;2;E;12.9;10;NR;0;NR;;;6539
TE;ALB;18;MIZ;2021;8;31;38;B;ARIS;FOL;m;F;0;35;1;;14.6;13;NR;0;NR;;;880
