TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;LITTER_CATEGORY;LITTER_SUB_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_SUB_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_SUB_CATEGORY
TL;ALB;18;MIZ;2021;8;31;33;L1;A;200;5;50;2
TL;ALB;18;MIZ;2021;8;31;38;L1;A;60;2;40;1
TL;ALB;18;MIZ;2021;8;26;170;L1;A;65;2;15;1
TL;ALB;18;MIZ;2021;8;25;168;L1;A;40;5;20;3
TL;ALB;18;MIZ;2021;8;26;165;L1;A;170;2;120;1
TL;ALB;18;MIZ;2021;8;31;167;L1;A;80;4;50;3
TL;ALB;18;MIZ;2021;8;31;39;L1;A;930;5;900;4
TL;ALB;18;MIZ;2021;8;31;33;L1;B;200;5;100;2
TL;ALB;18;MIZ;2021;8;31;39;L1;B;930;5;30;1
TL;ALB;18;MIZ;2021;8;31;27;L1;B;320;3;300;2
TL;ALB;18;MIZ;2021;8;26;14;L1;B;1000;1;1000;1
TL;ALB;18;MIZ;2021;8;26;26;L1;B;120;2;70;1
TL;ALB;18;MIZ;2021;8;26;170;L1;B;65;2;50;1
TL;ALB;18;MIZ;2021;8;31;167;L1;C;80;4;30;1
TL;ALB;18;MIZ;2021;8;25;168;L1;D;40;5;20;2
TL;ALB;18;MIZ;2021;8;26;165;L1;E;170;2;50;1
TL;ALB;18;MIZ;2021;8;31;27;L1;E;320;3;20;1
TL;ALB;18;MIZ;2021;8;26;32;L1;F;50;1;50;1
TL;ALB;18;MIZ;2021;8;31;38;L1;G;60;2;20;1
TL;ALB;18;MIZ;2021;8;31;33;L1;G;200;5;50;1
TL;ALB;18;MIZ;2021;8;26;166;L1;G;20;1;20;1
TL;ALB;18;MIZ;2021;8;26;26;L1;G;120;2;50;1
TL;ALB;18;MIZ;2021;8;25;168;L2;B;1000;2;1000;2
TL;ALB;18;MIZ;2021;8;31;27;L3;A;40;1;40;1
TL;ALB;18;MIZ;2021;8;25;168;L3;A;30;1;30;1
TL;ALB;18;MIZ;2021;8;26;166;L3;B;30;1;30;1
TL;ALB;18;MIZ;2021;8;26;14;L3;B;20;3;20;3
TL;ALB;18;MIZ;2021;8;31;39;L3;C;1920;1;1920;1
TL;ALB;18;MIZ;2021;8;26;26;L4;A;450;1;450;1
TL;ALB;18;MIZ;2021;8;26;165;L4;B;120;1;120;1
TL;ALB;18;MIZ;2021;8;26;26;L5;A;670;5;450;4
TL;ALB;18;MIZ;2021;8;31;39;L5;A;20;1;20;1
TL;ALB;18;MIZ;2021;8;31;38;L5;B;10350;2;10100;1
TL;ALB;18;MIZ;2021;8;31;38;L5;C;10350;2;250;1
TL;ALB;18;MIZ;2021;8;26;26;L5;D;670;4;220;1
TL;ALB;18;MIZ;2021;8;26;26;L6;0;60;1;60;1
TL;ALB;18;MIZ;2021;8;26;26;L9;0;400;1;400;1
TL;ITA;18;MIZ;2021;8;28;88;L1;A;20;3;20;3
TL;ITA;18;MIZ;2021;8;17;138;L1;A;40;2;40;2
TL;ITA;18;MIZ;2021;8;17;100;L1;A;250;7;60;3
TL;ITA;18;MIZ;2021;8;20;145;L1;A;30;3;20;2
TL;ITA;18;MIZ;2021;8;20;162;L1;A;600;2;20;1
TL;ITA;18;MIZ;2021;8;22;148;L1;A;120;4;80;2
TL;ITA;18;MIZ;2021;8;22;142;L1;A;30;1;30;1
TL;ITA;18;MIZ;2021;8;23;150;L1;A;20;1;20;1
TL;ITA;18;MIZ;2021;8;24;151;L1;A;170;8;170;8
TL;ITA;18;MIZ;2021;8;23;104;L1;A;20;4;20;4
TL;ITA;18;MIZ;2021;8;30;158;L1;A;330;2;250;1
TL;ITA;18;MIZ;2021;8;27;156;L1;A;10;1;10;1
TL;ITA;18;MIZ;2021;8;16;160;L1;A;20;1;20;1
TL;ITA;18;MIZ;2021;8;17;107;L1;A;20;1;20;1
TL;ITA;18;MIZ;2021;8;18;117;L1;A;300;5;120;4
TL;ITA;18;MIZ;2021;8;20;144;L1;A;80;6;50;4
TL;ITA;18;MIZ;2021;8;22;110;L1;A;390;6;200;5
TL;ITA;18;MIZ;2021;8;24;101;L1;A;40;6;10;4
TL;ITA;18;MIZ;2021;8;24;154;L1;A;91;8;30;5
TL;ITA;18;MIZ;2021;8;23;135;L1;A;30;3;10;1
TL;ITA;18;MIZ;2021;8;16;112;L1;A;20;3;10;2
TL;ITA;18;MIZ;2021;8;22;137;L1;A;50;2;10;1
TL;ITA;18;MIZ;2021;8;23;134;L1;A;90;9;60;7
TL;ITA;18;MIZ;2021;8;24;132;L1;A;30;3;10;1
TL;ITA;18;MIZ;2021;8;24;131;L1;A;150;7;150;7
TL;ITA;18;MIZ;2021;8;23;161;L1;A;800;14;180;10
TL;ITA;18;MIZ;2021;8;30;98;L1;A;20;1;20;1
TL;ITA;18;MIZ;2021;8;16;109;L1;A;100;6;90;4
TL;ITA;18;MIZ;2021;8;17;105;L1;A;20;3;10;2
TL;ITA;18;MIZ;2021;8;18;123;L1;A;490;9;60;2
TL;ITA;18;MIZ;2021;8;21;147;L1;A;10;1;10;1
TL;ITA;18;MIZ;2021;8;22;116;L1;A;190;5;60;2
TL;ITA;18;MIZ;2021;8;24;152;L1;A;40;4;40;4
TL;ITA;18;MIZ;2021;8;30;97;L1;A;20;1;20;1
TL;ITA;18;MIZ;2021;8;27;157;L1;A;60;4;50;3
TL;ITA;18;MIZ;2021;8;27;84;L1;A;20;1;20;1
TL;ITA;18;MIZ;2021;8;28;86;L1;A;360;6;60;5
TL;ITA;18;MIZ;2021;8;28;85;L1;A;50;4;20;3
TL;ITA;18;MIZ;2021;8;28;83;L1;A;10;1;10;1
TL;ITA;18;MIZ;2021;8;16;125;L1;A;190;7;40;3
TL;ITA;18;MIZ;2021;8;23;135;L1;B;30;3;10;1
TL;ITA;18;MIZ;2021;8;22;148;L1;B;120;4;30;1
TL;ITA;18;MIZ;2021;8;22;116;L1;B;190;5;80;1
TL;ITA;18;MIZ;2021;8;30;95;L1;B;110;2;100;1
TL;ITA;18;MIZ;2021;8;16;125;L1;B;190;7;40;1
TL;ITA;18;MIZ;2021;8;18;121;L1;B;1020;14;420;3
TL;ITA;18;MIZ;2021;8;28;86;L1;B;360;6;300;1
TL;ITA;18;MIZ;2021;8;17;100;L1;C;250;7;30;2
TL;ITA;18;MIZ;2021;8;24;154;L1;C;91;8;10;1
TL;ITA;18;MIZ;2021;8;30;158;L1;C;330;2;80;1
TL;ITA;18;MIZ;2021;8;21;126;L1;C;90;3;50;1
TL;ITA;18;MIZ;2021;8;20;143;L1;C;20;2;10;1
TL;ITA;18;MIZ;2021;8;18;123;L1;C;490;9;20;1
TL;ITA;18;MIZ;2021;8;16;125;L1;C;190;7;10;1
TL;ITA;18;MIZ;2021;8;23;134;L1;C;90;9;10;1
TL;ITA;18;MIZ;2021;8;23;133;L1;C;20;2;10;1
TL;ITA;18;MIZ;2021;8;30;95;L1;C;110;2;10;1
TL;ITA;18;MIZ;2021;8;22;116;L1;D;190;5;40;1
TL;ITA;18;MIZ;2021;8;27;76;L1;E;20;1;20;1
TL;ITA;18;MIZ;2021;8;24;154;L1;E;91;8;50;1
TL;ITA;18;MIZ;2021;8;20;162;L1;E;600;2;580;1
TL;ITA;18;MIZ;2021;8;17;100;L1;E;250;7;140;1
TL;ITA;18;MIZ;2021;8;22;110;L1;E;390;6;190;1
TL;ITA;18;MIZ;2021;8;17;105;L1;F;20;3;10;1
TL;ITA;18;MIZ;2021;8;23;134;L1;F;90;9;20;1
TL;ITA;18;MIZ;2021;8;18;121;L1;F;1020;14;580;10
TL;ITA;18;MIZ;2021;8;23;135;L1;F;30;3;10;1
TL;ITA;18;MIZ;2021;8;22;137;L1;G;50;2;40;1
