TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;ANTO;MEG;FM;5;1;0;0;1
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;ARGE;SPY;FM;10;1;0;0;1
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;CAPO;APE;FM;90;5;0;0;5
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;CERA;MAD;FM;3;1;0;0;1
TB;ITA;10;PEC;2007;8;11;1;S;S;B;CHLO;GRA;FM;10;6;0;0;6
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;CITH;MAC;FM;70;4;0;4;0
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;CLOR;AGA;FM;120;11;0;0;11
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;COEL;COE;FM;3;2;0;0;2
TB;ITA;10;PEC;2007;8;11;1;S;S;C;ELED;CIR;FM;900;3;3;0;0
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;EPIG;DEN;FM;3;1;0;0;1
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;GADI;ARG;FM;1200;123;0;0;123
TB;ITA;10;PEC;2007;8;11;1;S;S;Ae;GALU;MEL;FM;170;6;2;4;0
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;GOBI;FRI;FM;40;37;0;0;37
TB;ITA;10;PEC;2007;8;11;1;S;S;C;ILLE;COI;FM;86;3;0;2;1
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;LEPI;CAU;FM;2050;3;0;0;3
TB;ITA;10;PEC;2007;8;11;1;S;S;C;LOLI;FOR;FM;750;2;0;0;2
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;MAUR;MUE;FM;5;2;0;0;2
TB;ITA;10;PEC;2007;8;11;1;S;S;B;MCPI;TUB;FM;30;2;0;0;2
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;MERL;MER;FM;3885;30;17;9;4
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;MICM;POU;FM;4350;34;14;20;0
TB;ITA;10;PEC;2007;8;11;1;S;S;B;MUNI;INT;FM;10;1;0;0;1
TB;ITA;10;PEC;2007;8;11;1;S;S;B;NEPR;NOR;FM;400;5;2;3;0
TB;ITA;10;PEC;2007;8;11;1;S;S;B;PAPE;LON;FM;380;25;11;14;0
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;PHYI;BLE;FM;1310;26;9;2;15
TB;ITA;10;PEC;2007;8;11;1;S;S;B;PLES;ANT;FM;20;13;0;0;13
TB;ITA;10;PEC;2007;8;11;1;S;S;B;PLES;GIG;FM;15;11;0;0;11
TB;ITA;10;PEC;2007;8;11;1;S;S;B;PLES;HET;FM;2;1;0;0;1
TB;ITA;10;PEC;2007;8;11;1;S;S;B;PONP;SPI;FM;3;2;0;0;2
TB;ITA;10;PEC;2007;8;11;1;S;S;B;PONT;LAC;FM;3;1;0;0;1
TB;ITA;10;PEC;2007;8;11;1;S;S;C;ROND;MIN;FM;3;3;0;0;3
TB;ITA;10;PEC;2007;8;11;1;S;S;C;SEPE;OWE;FM;80;21;0;0;21
TB;ITA;10;PEC;2007;8;11;1;S;S;B;SOLO;MEM;FM;5;2;0;0;2
TB;ITA;10;PEC;2007;8;11;1;S;S;Ao;SYMP;NIG;FM;10;2;0;0;2
TB;ITA;10;PEC;2007;8;11;1;S;S;C;TODI;EBL;FM;650;4;0;0;4
TB;ITA;10;PEC;2007;8;11;2;S;S;C;ALLO;MED;FM;75;30;0;0;30
