AREA;SPECIES;SEX;a;b
10;ARIS FOL;F;0.0021;2.5089
10;ARIS FOL;I;0.0025;2.4759
10;ARIS FOL;M;0.0014;2.6482
10;ARIS FOL;N;0.0025;2.4759
10;ARIT ANT;F;0.0059;2.2326
10;ARIT ANT;I;0.0057;2.2398
10;ARIT ANT;M;0.0057;2.2398
10;ARIT ANT;N;0.0057;2.2398
10;BOOP BOO;F;0.0066;3.1157
10;BOOP BOO;I;0.0059;3.1452
10;BOOP BOO;M;0.0049;3.2080
10;BOOP BOO;N;0.0059;3.1452
10;CHIM MON;F;0.0009;3.0705
10;CHIM MON;I;0.0009;3.0705
10;CHIM MON;M;0.0009;3.0705
10;CHIM MON;N;0.0009;3.0705
10;CITH MAC;F;0.0056;3.1221
10;CITH MAC;I;0.0056;3.1221
10;CITH MAC;M;0.0056;3.1221
10;CITH MAC;N;0.0056;3.1221
10;DASI VIO;F;0.0001;3.8822
10;DASI VIO;I;0.0001;3.8822
10;DASI VIO;M;0.0001;3.8822
10;DASI VIO;N;0.0001;3.8822
10;DIPL SAR;F;0.0162;3.0413
10;DIPL SAR;I;0.0162;3.0413
10;DIPL SAR;M;0.0162;3.0413
10;DIPL SAR;N;0.0162;3.0413
10;DIPL VUL;F;0.0216;2.9211
10;DIPL VUL;I;0.0177;2.9846
10;DIPL VUL;M;0.0168;3.0030
10;DIPL VUL;N;0.0177;2.9846
10;ELED CIR;F;0.3702;2.7329
10;ELED CIR;I;0.3795;2.7239
10;ELED CIR;M;0.3948;2.7091
10;ELED CIR;N;0.3795;2.7239
10;ELED MOS;F;0.3336;2.8072
10;ELED MOS;I;0.3223;2.8274
10;ELED MOS;M;0.3222;2.8303
10;ELED MOS;N;0.3223;2.8274
10;ENGR ENC;F;0.0045;3.1340
10;ENGR ENC;I;0.0033;3.2513
10;ENGR ENC;M;0.0034;3.2344
10;ENGR ENC;N;0.0033;3.2513
10;ETMO SPI;F;0.0076;2.8175
10;ETMO SPI;I;0.0073;2.8324
10;ETMO SPI;M;0.0068;2.8576
10;ETMO SPI;N;0.0073;2.8324
10;EUTR GUR;F;0.0045;3.2422
10;EUTR GUR;I;0.0064;3.1000
10;EUTR GUR;M;0.0059;3.1200
10;EUTR GUR;N;0.0064;3.1000
10;GALU MEL;F;0.0025;3.0358
10;GALU MEL;I;0.0027;3.0127
10;GALU MEL;M;0.0029;2.9880
10;GALU MEL;N;0.0027;3.0127
10;HELI DAC;F;0.0094;3.1956
10;HELI DAC;I;0.0181;2.9648
10;HELI DAC;M;0.0105;3.1560
10;HELI DAC;N;0.0181;2.9648
10;ILLE COI;F;0.0332;2.9596
10;ILLE COI;I;0.0386;2.9414
10;ILLE COI;M;0.0139;3.4059
10;ILLE COI;N;0.0386;2.9414
10;LEPM BOS;F;0.0054;3.1092
10;LEPM BOS;I;0.0053;3.1136
10;LEPM BOS;M;0.0057;3.0864
10;LEPM BOS;N;0.0053;3.1136
10;LOLI VUL;F;0.1656;2.4005
10;LOLI VUL;I;0.1144;2.5406
10;LOLI VUL;M;0.1109;2.5497
10;LOLI VUL;N;0.1144;2.5406
10;LOPH BUD;F;0.0090;3.0944
10;LOPH BUD;I;0.0090;3.0944
10;LOPH BUD;M;0.0090;3.0944
10;LOPH BUD;N;0.0090;3.0944
10;LOPH PIS;F;0.0143;2.9604
10;LOPH PIS;I;0.0143;2.9604
10;LOPH PIS;M;0.0143;2.9604
10;LOPH PIS;N;0.0143;2.9604
10;MERL MER;F;0.0037;3.1976
10;MERL MER;I;0.0047;3.1220
10;MERL MER;M;0.0045;3.1296
10;MERL MER;N;0.0047;3.1220
10;MICM POU;F;0.0042;3.1319
10;MICM POU;I;0.0043;3.1227
10;MICM POU;M;0.0040;3.1418
10;MICM POU;N;0.0043;3.1227
10;MULL BAR;F;0.0116;2.9901
10;MULL BAR;I;0.0108;3.0099
10;MULL BAR;M;0.0115;2.9815
10;MULL BAR;N;0.0108;3.0099
10;MULL SUR;F;0.0068;3.2085
10;MULL SUR;I;0.0068;3.2085
10;MULL SUR;M;0.0068;3.2085
10;MULL SUR;N;0.0068;3.2085
10;MUST MUS;F;0.0041;2.9434
10;MUST MUS;I;0.0041;2.9434
10;MUST MUS;M;0.0041;2.9434
10;MUST MUS;N;0.0041;2.9434
10;NEPR NOR;F;0.0004;3.1863
10;NEPR NOR;I;0.0004;3.1863
10;NEPR NOR;M;0.0004;3.1863
10;NEPR NOR;N;0.0004;3.1863
10;OCTO VUL;F;0.3834;2.9923
10;OCTO VUL;I;0.3834;2.9923
10;OCTO VUL;M;0.3834;2.9923
10;OCTO VUL;N;0.3834;2.9923
10;PAGE ACA;F;0.0067;3.2359
10;PAGE ACA;I;0.0067;3.2359
10;PAGE ACA;M;0.0067;3.2359
10;PAGE ACA;N;0.0067;3.2359
10;PAGE BOG;F;0.0116;3.0399
10;PAGE BOG;I;0.0116;3.0399
10;PAGE BOG;M;0.0116;3.0399
10;PAGE BOG;N;0.0116;3.0399
10;PAGE ERY;F;0.0133;2.9782
10;PAGE ERY;I;0.0140;2.9626
10;PAGE ERY;M;0.0133;2.9832
10;PAGE ERY;N;0.0140;2.9626
10;PAPE LON;F;0.0030;2.4890
10;PAPE LON;I;0.0032;2.4658
10;PAPE LON;M;0.0038;2.3978
10;PAPE LON;N;0.0032;2.4658
10;PENA KER;F;0.0050;2.3716
10;PENA KER;I;0.0038;2.5000
10;PENA KER;M;0.0030;2.5177
10;PENA KER;N;0.0038;2.5000
10;PHYI BLE;F;0.0034;3.2325
10;PHYI BLE;I;0.0033;3.2910
10;PHYI BLE;M;0.0034;3.2301
10;PHYI BLE;N;0.0033;3.2910
10;RAJA AST;F;0.0033;3.1329
10;RAJA AST;I;0.0033;3.1329
10;RAJA AST;M;0.0033;3.1329
10;RAJA AST;N;0.0033;3.1329
10;RAJA CLA;F;0.0010;3.4063
10;RAJA CLA;I;0.0010;3.4063
10;RAJA CLA;M;0.0010;3.4063
10;RAJA CLA;N;0.0010;3.4063
10;RAJA MIR;F;0.0013;3.3370
10;RAJA MIR;I;0.0013;3.3370
10;RAJA MIR;M;0.0013;3.3370
10;RAJA MIR;N;0.0013;3.3370
10;SARD PIL;F;0.0027;3.4044
10;SARD PIL;I;0.0024;3.4404
10;SARD PIL;M;0.0020;3.5235
10;SARD PIL;N;0.0024;3.4404
10;SCOM PNE;F;0.0038;3.2729
10;SCOM PNE;I;0.0038;3.2729
10;SCOM PNE;M;0.0038;3.2729
10;SCOM PNE;N;0.0038;3.2729
10;SCOM SCO;F;0.0028;3.3253
10;SCOM SCO;I;0.0057;3.0968
10;SCOM SCO;M;0.0089;2.9576
10;SCOM SCO;N;0.0057;3.0968
10;SCYM LIC;F;0.0029;3.0617
10;SCYM LIC;I;0.0029;3.0617
10;SCYM LIC;M;0.0029;3.0617
10;SCYM LIC;N;0.0029;3.0617
10;SCYO CAN;F;0.0016;3.1713
10;SCYO CAN;I;0.0017;3.1567
10;SCYO CAN;M;0.0018;3.1406
10;SCYO CAN;N;0.0017;3.1567
10;SEPI OFF;F;0.2307;2.7622
10;SEPI OFF;I;0.2226;2.7684
10;SEPI OFF;M;0.2179;2.7676
10;SEPI OFF;N;0.2226;2.7684
10;SOLE VUL;F;0.0054;3.1468
10;SOLE VUL;I;0.0054;3.1468
10;SOLE VUL;M;0.0054;3.1468
10;SOLE VUL;N;0.0054;3.1468
10;SPAR PAG;F;0.0187;2.9645
10;SPAR PAG;I;0.0187;2.9645
10;SPAR PAG;M;0.0187;2.9645
10;SPAR PAG;N;0.0187;2.9645
10;SPIC FLE;F;0.0069;3.1773
10;SPIC FLE;I;0.0076;3.1307
10;SPIC FLE;M;0.0079;3.1042
10;SPIC FLE;N;0.0076;3.1307
10;SPIC SMA;F;0.0093;2.9486
10;SPIC SMA;I;0.0093;2.9486
10;SPIC SMA;M;0.0093;2.9486
10;SPIC SMA;N;0.0093;2.9486
10;SQUA BLA;F;0.0029;3.1111
10;SQUA BLA;I;0.0029;3.1111
10;SQUA BLA;M;0.0029;3.1111
10;SQUA BLA;N;0.0029;3.1111
10;SQUI MAN;F;0.0029;2.8244
10;SQUI MAN;I;0.0026;2.8540
10;SQUI MAN;M;0.0023;2.8903
10;SQUI MAN;N;0.0026;2.8540
10;TODA SAG;F;0.0080;3.3962
10;TODA SAG;I;0.0113;3.2906
10;TODA SAG;M;0.0267;3.0032
10;TODA SAG;N;0.0113;3.2906
10;TODI EBL;F;0.2911;2.4476
10;TODI EBL;I;0.2911;2.4476
10;TODI EBL;M;0.2911;2.4476
10;TODI EBL;N;0.2911;2.4476
10;TORP MAR;F;0.0280;2.9000
10;TORP MAR;I;0.0280;2.9000
10;TORP MAR;M;0.0280;2.9000
10;TORP MAR;N;0.0280;2.9000
10;TORP TOR;F;0.0196;2.9240
10;TORP TOR;I;0.0196;2.9240
10;TORP TOR;M;0.0196;2.9240
10;TORP TOR;N;0.0196;2.9240
10;TRAC MED;F;0.0092;2.9568
10;TRAC MED;I;0.0066;3.0610
10;TRAC MED;M;0.0101;2.9234
10;TRAC MED;N;0.0066;3.0610
10;TRAC TRA;F;0.0071;3.0349
10;TRAC TRA;I;0.0086;2.9786
10;TRAC TRA;M;0.0071;3.0396
10;TRAC TRA;N;0.0086;2.9786
10;TRIG LUC;F;0.0076;3.0608
10;TRIG LUC;I;0.0077;3.0529
10;TRIG LUC;M;0.0087;3.0133
10;TRIG LUC;N;0.0077;3.0529
10;TRIS CAP;F;0.0094;3.0459
10;TRIS CAP;I;0.0088;3.0656
10;TRIS CAP;M;0.0100;3.0105
10;TRIS CAP;N;0.0088;3.0656
10;ZEUS FAB;F;0.0146;2.9440
10;ZEUS FAB;I;0.0146;2.9440
10;ZEUS FAB;M;0.0146;2.9440
10;ZEUS FAB;N;0.0146;2.9440
18;ARIS FOL;F;0.0015;2.6047
18;ARIS FOL;I;0.0022;2.5061
18;ARIS FOL;M;0.0009;2.7621
18;ARIS FOL;N;0.0022;2.5061
18;ARIT ANT;F;0.0043;2.3930
18;ARIT ANT;I;0.0038;2.3610
18;ARIT ANT;M;0.0040;2.3429
18;ARIT ANT;N;0.0038;2.3610
18;ASPI CUC;F;0.0038;3.3110
18;ASPI CUC;I;0.0062;3.1241
18;ASPI CUC;M;0.0049;3.2056
18;ASPI CUC;N;0.0062;3.1241
18;BOOP BOO;F;0.0045;3.2510
18;BOOP BOO;I;0.0049;3.2172
18;BOOP BOO;M;0.0042;3.2724
18;BOOP BOO;N;0.0049;3.2172
18;CHAM GAL;F;0.0009;2.6327
18;CHAM GAL;I;0.0009;2.6327
18;CHAM GAL;M;0.0009;2.6327
18;CHAM GAL;N;0.0009;2.6327
18;CHIM MON;F;0.0009;3.0705
18;CHIM MON;I;0.0009;3.0705
18;CHIM MON;M;0.0009;3.0705
18;CHIM MON;N;0.0009;3.0705
18;CITH MAC;F;0.0063;3.0768
18;CITH MAC;I;0.0063;3.0768
18;CITH MAC;M;0.0063;3.0768
18;CITH MAC;N;0.0063;3.0768
18;DASI VIO;F;0.0001;3.8822
18;DASI VIO;I;0.0001;3.8822
18;DASI VIO;M;0.0001;3.8822
18;DASI VIO;N;0.0001;3.8822
18;DIPL ANN;F;0.0200;2.9614
18;DIPL ANN;I;0.0200;2.9614
18;DIPL ANN;M;0.0200;2.9614
18;DIPL ANN;N;0.0200;2.9614
18;DIPL SAR;F;0.0162;3.0413
18;DIPL SAR;I;0.0162;3.0413
18;DIPL SAR;M;0.0162;3.0413
18;DIPL SAR;N;0.0162;3.0413
18;DIPL VUL;F;0.0216;2.9211
18;DIPL VUL;I;0.0177;2.9846
18;DIPL VUL;M;0.0168;3.0030
18;DIPL VUL;N;0.0177;2.9846
18;ELED CIR;F;0.2857;2.8674
18;ELED CIR;I;0.3060;2.8305
18;ELED CIR;M;0.3808;2.7178
18;ELED CIR;N;0.3060;2.8305
18;ELED MOS;F;0.3269;2.7977
18;ELED MOS;I;0.2653;2.9015
18;ELED MOS;M;0.2405;3.0289
18;ELED MOS;N;0.2653;2.9015
18;ENGR ENC;F;0.0140;2.6519
18;ENGR ENC;I;0.0090;2.8310
18;ENGR ENC;M;0.0069;2.9388
18;ENGR ENC;N;0.0090;2.8310
18;ETMO SPI;F;0.0039;3.0009
18;ETMO SPI;I;0.0048;2.9383
18;ETMO SPI;M;0.0057;2.8809
18;ETMO SPI;N;0.0048;2.9383
18;EUTR GUR;F;0.0045;3.2422
18;EUTR GUR;I;0.0064;3.1000
18;EUTR GUR;M;0.0059;3.1200
18;EUTR GUR;N;0.0064;3.1000
18;GALU MEL;F;0.0021;3.0838
18;GALU MEL;I;0.0023;3.0579
18;GALU MEL;M;0.0026;3.0181
18;GALU MEL;N;0.0023;3.0579
18;HELI DAC;F;0.0174;2.9673
