"TYPE_OF_FILE";"COUNTRY";"AREA";"VESSEL";"YEAR";"MONTH";"DAY";"HAUL_NUMBER";"CODEND_CLOSING";"PART_OF_THE_CODEND";"FAUNISTIC_CATEGORY";"GENUS";"SPECIES";"LENGTH_CLASSES_CODE";"WEIGHT_OF_THE_FRACTION";"WEIGHT_OF_THE_SAMPLE_MEASURED";"SEX";"NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED";"LENGTH_CLASS";"MATURITY";"MATSUB";"NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE"
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;110;"ND";"ND";2
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;115;"ND";"ND";13
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;120;"ND";"ND";80
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;125;"ND";"ND";110
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;130;"ND";"ND";45
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;135;"ND";"ND";5
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;140;"ND";"ND";10
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;150;"ND";"ND";1
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;155;"ND";"ND";1
"TC";"ITA";10;"PEC";2015;6;8;28;"S";"S";"Ao";"ENGR";"ENC";"0";3300;3300;"N";269;160;"ND";"ND";2
