TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE;RECORD_NUMBER
TE;ITA;10;PEC;2016;9;1;29;B;ARIS;FOL;m;F;0;25;1;O;6.61;8;NR;0;NR;NR;;1937.0
TE;ITA;10;PEC;2016;9;8;70;B;ARIS;FOL;m;F;0;26;1;O;7.5;14;NR;0;NR;NR;;4184.0
TE;ITA;10;PEC;2016;9;1;29;B;ARIS;FOL;m;F;0;27;1;O;6.62;8;NR;0;NR;NR;;1938.0
TE;ITA;10;PEC;2016;9;4;7;B;ARIS;FOL;m;F;0;27;1;O;7.7;3;NR;0;NR;NR;;564.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;28;1;O;7.5;48;NR;0;NR;NR;;4055.0
TE;ITA;10;PEC;2016;9;2;22;B;ARIS;FOL;m;F;0;28;1;O;8.3;7;NR;0;NR;NR;;1577.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;28;1;O;8.5;48;NR;0;NR;NR;;4056.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;28;1;O;9.4;48;NR;0;NR;NR;;4057.0
TE;ITA;10;PEC;2016;9;2;22;B;ARIS;FOL;m;F;0;29;1;O;8.8;7;NR;0;NR;NR;;1578.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;29;1;O;9.0;48;NR;0;NR;NR;;4058.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;29;1;O;9.1;48;NR;0;NR;NR;;4059.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;29;1;O;9.5;48;NR;0;NR;NR;;4060.0
TE;ITA;10;PEC;2016;9;8;70;B;ARIS;FOL;m;F;0;29;1;O;9.7;14;NR;0;NR;NR;;4185.0
TE;ITA;10;PEC;2016;8;29;66;B;ARIS;FOL;m;F;0;29;1;O;10.2;10;NR;0;NR;NR;;3763.0
TE;ITA;10;PEC;2016;9;1;29;B;ARIS;FOL;m;F;0;30;1;O;8.75;8;NR;0;NR;NR;;1939.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;9.2;48;NR;0;NR;NR;;4061.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;9.4;48;NR;0;NR;NR;;4062.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;9.4;48;NR;0;NR;NR;;4063.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;9.7;48;NR;0;NR;NR;;4064.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;9.9;48;NR;0;NR;NR;;4065.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;10.0;48;NR;0;NR;NR;;4066.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;10.0;48;NR;0;NR;NR;;4067.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;10.1;48;NR;0;NR;NR;;4068.0
TE;ITA;10;PEC;2016;9;10;69;B;ARIS;FOL;m;F;0;30;1;O;10.1;48;NR;0;NR;NR;;4069.0
TE;ITA;10;PEC;2016;9;4;7;B;ARIS;FOL;m;F;0;30;1;O;11.0;3;NR;0;NR;NR;;565.0
