TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;LITTER_CATEGORY;LITTER_SUB_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_SUB_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_SUB_CATEGORY
TL;ITA;10;PEC;2015;6;22;45;L1;A;2330;12;130;2
TL;ITA;10;PEC;2015;6;21;49;L1;A;10;1;10;1
TL;ITA;10;PEC;2015;6;19;48;L1;A;60;3;60;3
TL;ITA;10;PEC;2015;6;15;46;L1;A;60;4;30;3
TL;ITA;10;PEC;2015;6;17;47;L1;A;610;7;520;4
TL;ITA;10;PEC;2015;6;15;4;L1;A;680;7;260;3
TL;ITA;10;PEC;2015;6;15;5;L1;A;140;5;130;4
TL;ITA;10;PEC;2015;6;20;68;L1;A;60;3;10;1
TL;ITA;10;PEC;2015;6;15;6;L1;A;320;4;140;2
TL;ITA;10;PEC;2015;6;14;8;L1;A;1080;15;600;8
TL;ITA;10;PEC;2015;6;22;67;L1;A;70;4;50;3
TL;ITA;10;PEC;2015;6;14;10;L1;A;110;6;50;3
TL;ITA;10;PEC;2015;6;22;66;L1;A;16200;12;70;2
TL;ITA;10;PEC;2015;6;22;65;L1;A;210;8;130;4
TL;ITA;10;PEC;2015;6;14;11;L1;A;190;7;160;4
TL;ITA;10;PEC;2015;6;20;64;L1;A;260;5;20;1
TL;ITA;10;PEC;2015;6;10;12;L1;A;130;6;60;3
TL;ITA;10;PEC;2015;6;13;13;L1;A;160;6;10;2
TL;ITA;10;PEC;2015;6;13;14;L1;A;50;4;40;3
TL;ITA;10;PEC;2015;6;21;63;L1;A;420;12;70;5
TL;ITA;10;PEC;2015;6;10;15;L1;A;110;2;10;1
TL;ITA;10;PEC;2015;6;10;16;L1;A;60;4;60;4
TL;ITA;10;PEC;2015;6;13;17;L1;A;15;4;10;3
TL;ITA;10;PEC;2015;6;16;18;L1;A;80;4;70;3
TL;ITA;10;PEC;2015;6;19;62;L1;A;1040;6;370;4
TL;ITA;10;PEC;2015;6;16;19;L1;A;250;5;250;5
TL;ITA;10;PEC;2015;6;10;20;L1;A;560;8;50;3
TL;ITA;10;PEC;2015;6;10;21;L1;A;30;2;30;2
TL;ITA;10;PEC;2015;6;16;22;L1;A;90;4;30;1
TL;ITA;10;PEC;2015;6;16;23;L1;A;130;4;130;4
TL;ITA;10;PEC;2015;6;19;61;L1;A;135;8;80;6
TL;ITA;10;PEC;2015;6;16;24;L1;A;690;7;530;6
TL;ITA;10;PEC;2015;6;15;1;L1;A;430;1;430;1
TL;ITA;10;PEC;2015;6;9;25;L1;A;420;5;20;2
TL;ITA;10;PEC;2015;6;21;70;L1;A;70;2;30;1
TL;ITA;10;PEC;2015;6;7;60;L1;A;220;5;180;4
TL;ITA;10;PEC;2015;6;9;26;L1;A;100;4;50;3
TL;ITA;10;PEC;2015;6;9;27;L1;A;80;2;50;1
TL;ITA;10;PEC;2015;6;8;28;L1;A;900;4;500;3
TL;ITA;10;PEC;2015;6;9;29;L1;A;50;1;50;1
TL;ITA;10;PEC;2015;6;8;30;L1;A;270;8;170;6
TL;ITA;10;PEC;2015;6;8;31;L1;A;810;10;180;4
TL;ITA;10;PEC;2015;6;22;59;L1;A;180;5;100;4
TL;ITA;10;PEC;2015;6;20;58;L1;A;140;3;20;1
TL;ITA;10;PEC;2015;6;17;32;L1;A;120;3;10;1
TL;ITA;10;PEC;2015;6;9;33;L1;A;60;2;40;1
TL;ITA;10;PEC;2015;6;14;34;L1;A;2040;10;150;2
TL;ITA;10;PEC;2015;6;15;2;L1;A;290;7;120;2
TL;ITA;10;PEC;2015;6;19;56;L1;A;630;22;260;8
TL;ITA;10;PEC;2015;6;21;54;L1;A;290;3;10;1
TL;ITA;10;PEC;2015;6;8;35;L1;A;1080;5;30;2
TL;ITA;10;PEC;2015;6;20;53;L1;A;660;10;280;4
TL;ITA;10;PEC;2015;6;8;36;L1;A;20;3;5;1
TL;ITA;10;PEC;2015;6;8;37;L1;A;260;5;260;5
TL;ITA;10;PEC;2015;6;21;52;L1;A;110;3;20;1
TL;ITA;10;PEC;2015;6;8;38;L1;A;810;4;10;3
TL;ITA;10;PEC;2015;6;17;39;L1;A;730;9;30;1
TL;ITA;10;PEC;2015;6;19;69;L1;A;250;8;160;5
TL;ITA;10;PEC;2015;6;7;51;L1;A;80;3;20;1
