TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE;RECORD_NUMBER
TE;ALB;18;PEC;2012;7;25;1;Ao;MERL;MER;0;F;2;265;1;ND;132.2;2;Y;2;Y;2;ALB18PEC20121MERL_MER1NDF2651000000;1
TE;ALB;18;PEC;2012;7;25;1;Ao;MERL;MER;0;F;2;285;2;C;167.51;2;Y;2;Y;2.5;ALB18PEC20121MERL_MER2CF28520000000;2
TE;ALB;18;PEC;2012;7;25;1;Ao;MERL;MER;0;M;3;170;2;A;36.06;3;Y;3;Y;1;ALB18PEC20121MERL_MER2AM17050000000;3
TE;ALB;18;PEC;2012;7;25;1;Ao;MERL;MER;0;M;3;175;2;A;29.43;3;Y;3;Y;1.5;ALB18PEC20121MERL_MER2AM17530000000;4
TE;ALB;18;PEC;2012;7;25;1;Ao;MERL;MER;0;M;3;175;2;A;32.97;3;Y;3;Y;1.5;ALB18PEC20121MERL_MER2AM17540000000;5
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;120;2;A;16.6;9;Y;9;Y;2;ALB18PEC20121MULL_BAR2AF12070000000;6
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;130;2;B;22.3;9;Y;9;Y;2;ALB18PEC20121MULL_BAR2BF13090000000;7
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;145;4;B;35;9;Y;9;Y;1;ALB18PEC20121MULL_BAR4BF14513000000;8
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;150;3;ND;32.9;9;Y;9;Y;3;ALB18PEC20121MULL_BAR3NDF1506000000;9
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;155;4;A;43.5;9;Y;9;Y;3;ALB18PEC20121MULL_BAR4AF15514000000;10
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;160;4;A;44.6;9;Y;9;Y;3;ALB18PEC20121MULL_BAR4AF16012000000;11
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;165;4;A;47.7;9;Y;9;Y;3;ALB18PEC20121MULL_BAR4AF16511000000;12
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;180;3;ND;60.8;9;Y;9;Y;2;ALB18PEC20121MULL_BAR3NDF1808000000;13
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;F;9;185;4;A;67.8;9;Y;9;Y;2;ALB18PEC20121MULL_BAR4AF18510000000;14
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;55;0;ND;1.4;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI5516000000;15
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;55;0;ND;1.6;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI5518000000;16
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;55;0;ND;1.8;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI5523000000;17
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;60;0;ND;1.7;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI6015000000;18
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;60;0;ND;2.3;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI6021000000;19
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;60;0;ND;2.6;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI6027000000;20
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;65;0;ND;2.9;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI6520000000;21
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;65;0;ND;3;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI6524000000;22
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;70;0;ND;3.2;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI7017000000;23
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;70;0;ND;3.3;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI7019000000;24
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;70;0;ND;3.9;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI7025000000;25
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;75;0;ND;4.5;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI7522000000;26
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;I;13;75;0;ND;4.8;13;Y;13;Y;0;ALB18PEC20121MULL_BAR0NDI7526000000;27
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;M;6;110;2;A;14.7;6;Y;6;Y;1;ALB18PEC20121MULL_BAR2AM11032000000;28
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;M;6;120;4;B;17.3;6;Y;6;Y;2;ALB18PEC20121MULL_BAR4BM12030000000;29
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;M;6;140;4;B;25.8;6;Y;6;Y;1;ALB18PEC20121MULL_BAR4BM14029000000;30
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;M;6;150;4;B;42.3;6;Y;6;Y;3;ALB18PEC20121MULL_BAR4BM15033000000;31
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;M;6;155;4;B;40.6;6;Y;6;Y;3;ALB18PEC20121MULL_BAR4BM15531000000;32
TE;ALB;18;PEC;2012;7;25;1;Ao;MULL;BAR;0;M;6;165;4;B;40.4;6;Y;6;Y;4;ALB18PEC20121MULL_BAR4BM16528000000;33
TE;ALB;18;PEC;2012;7;25;1;Ae;RAJA;MIR;0;F;0;165;1;ND;17.53;5;NR;0;NR;;;34
TE;ALB;18;PEC;2012;7;25;1;Ae;RAJA;MIR;0;F;0;195;1;ND;29.05;5;NR;0;NR;;;35
TE;ALB;18;PEC;2012;7;25;1;Ae;RAJA;MIR;0;F;0;335;1;ND;173.54;5;NR;0;NR;;;36
TE;ALB;18;PEC;2012;7;25;1;Ae;RAJA;MIR;0;F;0;375;2;ND;222.36;5;NR;0;NR;;;37
TE;ALB;18;PEC;2012;7;25;1;Ae;RAJA;MIR;0;F;0;395;2;ND;342.65;5;NR;0;NR;;;38
TE;ALB;18;PEC;2012;7;25;1;Ae;RAJA;MIR;0;M;0;180;1;ND;21.4;3;NR;0;NR;;;39
TE;ALB;18;PEC;2012;7;25;1;Ae;RAJA;MIR;0;M;0;180;1;ND;25.53;3;NR;0;NR;;;40
