TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;LITTER_CATEGORY;LITTER_SUB-CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_SUB-CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_SUB-CATEGORY;NOTE
TL;MON;18;PEC;2013;7;21;173;L1;A;680;4;30;1;
TL;MON;18;PEC;2013;7;21;173;L1;B;680;4;620;2;
TL;MON;18;PEC;2013;7;21;173;L1;C;680;4;30;1;
TL;MON;18;PEC;2013;7;21;172;L1;A;890;12;450;7;
TL;MON;18;PEC;2013;7;21;172;L1;B;890;12;160;1;
TL;MON;18;PEC;2013;7;21;172;L1;C;890;12;280;4;
TL;MON;18;PEC;2013;7;21;172;L3;A;40;1;40;1;
TL;MON;18;PEC;2013;7;21;172;L4;B;360;1;360;1;
TL;MON;18;PEC;2013;7;21;171;L1;A;9190;38;2400;8;
TL;MON;18;PEC;2013;7;21;171;L1;B;9190;38;6500;25;
TL;MON;18;PEC;2013;7;21;171;L1;C;9190;38;120;4;
TL;MON;18;PEC;2013;7;21;171;L1;E;9190;38;170;1;
TL;MON;18;PEC;2013;7;21;171;L4;A;300;2;300;2;
TL;MON;18;PEC;2013;7;21;171;L5;A;600;2;600;2;
TL;MON;18;PEC;2013;7;21;171;L8;0;400;1;400;1;spugna
TL;MON;18;PEC;2013;7;21;174;L1;A;660;5;20;2;
TL;MON;18;PEC;2013;7;21;174;L1;B;660;5;640;3;
TL;MON;18;PEC;2013;7;21;174;L8;0;50;1;50;1;spugna
TL;MON;18;PEC;2013;7;22;180;L1;A;220;3;140;1;
TL;MON;18;PEC;2013;7;22;180;L1;B;220;3;80;2;
TL;MON;18;PEC;2013;7;22;178;L1;A;780;7;420;5;
TL;MON;18;PEC;2013;7;22;178;L1;B;780;7;360;2;
TL;MON;18;PEC;2013;7;22;178;L3;A;20;1;20;1;
TL;MON;18;PEC;2013;7;22;179;L1;B;80;2;80;2;
TL;MON;18;PEC;2013;7;22;179;L5;D;30;1;30;1;assorbenti igienici
TL;MON;18;PEC;2013;7;22;177;L0;0;0;0;0;0;
TL;MON;18;PEC;2013;7;22;176;L1;A;140;5;40;2;
TL;MON;18;PEC;2013;7;22;176;L1;B;140;5;80;2;
TL;MON;18;PEC;2013;7;22;176;L1;E;140;5;20;1;
TL;MON;18;PEC;2013;7;22;175;L1;A;3140;21;200;4;
TL;MON;18;PEC;2013;7;22;175;L1;B;3140;21;2600;13;
TL;MON;18;PEC;2013;7;22;175;L1;C;3140;21;140;3;
TL;MON;18;PEC;2013;7;22;175;L1;E;3140;21;200;1;
TL;MON;18;PEC;2013;7;22;175;L3;A;60;2;60;2;
TL;ITA;18;PEC;2013;7;29;100;L3;E;1500;1;1500;1;cavi di acciaio
TL;ITA;18;PEC;2013;7;29;105;L1;A;290;7;130;5;
TL;ITA;18;PEC;2013;7;29;105;L1;B;290;7;110;1;
TL;ITA;18;PEC;2013;7;29;105;L1;C;290;7;50;1;
TL;ITA;18;PEC;2013;7;29;137;L1;A;20;1;20;1;
TL;ITA;18;PEC;2013;7;29;138;L1;A;60;3;60;3;
TL;ITA;18;PEC;2013;7;29;138;L4;A;20;1;20;1;
