"Survey";"Year";"Haul";"Species";"Sex";"Maturity";"Length";"Number";"Weight";"Age"
"MEDITS-GSA18";1994;142;"PAPELON";"f";"i";1.4;2;NA;NA
"MEDITS-GSA18";1994;142;"PAPELON";"f";"i";1.5;2;NA;NA
"MEDITS-GSA18";1994;120;"LOLIVUL";"i";"i";1.5;59;NA;NA
"MEDITS-GSA18";1994;86;"ARISFOL";"f";"i";1.6;1;NA;NA
"MEDITS-GSA18";1994;91;"ARISFOL";"f";"i";1.6;22;NA;NA
"MEDITS-GSA18";1994;142;"PAPELON";"f";"i";1.6;2;NA;NA
"MEDITS-GSA18";1994;142;"PAPELON";"f";"i";1.7;2;NA;NA
"MEDITS-GSA18";1994;94;"PAPELON";"f";"i";1.7;58;NA;NA
"MEDITS-GSA18";1994;98;"NEPRNOR";"f";"m";1.9;1;NA;NA
"MEDITS-GSA18";1994;103;"ELEDCIR";"f";"i";10;4;NA;NA
"MEDITS-GSA18";1994;106;"ELEDCIR";"f";"i";10;58;NA;NA
"MEDITS-GSA18";1994;138;"ELEDCIR";"f";"i";10;58;NA;NA
"MEDITS-GSA18";1994;83;"ELEDCIR";"f";"i";10;4;NA;NA
"MEDITS-GSA18";1994;89;"ELEDCIR";"f";"i";10;58;NA;NA
"MEDITS-GSA18";1994;90;"ELEDCIR";"f";"i";10;63;NA;NA
"MEDITS-GSA18";1994;101;"MERLMER";"i";"i";10;5;NA;NA
"MEDITS-GSA18";1994;102;"MERLMER";"i";"i";10;3;NA;NA
"MEDITS-GSA18";1994;105;"MERLMER";"i";"i";10;22;NA;NA
"MEDITS-GSA18";1994;112;"MERLMER";"i";"i";10;35;NA;NA
"MEDITS-GSA18";1994;117;"MERLMER";"i";"i";10;23;NA;NA
"MEDITS-GSA18";1994;118;"MERLMER";"i";"i";10;34;NA;NA
"MEDITS-GSA18";1994;128;"MERLMER";"i";"i";10;69;NA;NA
"MEDITS-GSA18";1994;132;"MERLMER";"i";"i";10;5;NA;NA
"MEDITS-GSA18";1994;133;"MERLMER";"i";"i";10;44;NA;NA
"MEDITS-GSA18";1994;134;"MERLMER";"i";"i";10;38;NA;NA
"MEDITS-GSA18";1994;136;"MERLMER";"i";"i";10;13;NA;NA
"MEDITS-GSA18";1994;139;"MERLMER";"i";"i";10;12;NA;NA
"MEDITS-GSA18";1994;140;"MERLMER";"i";"i";10;35;NA;NA
"MEDITS-GSA18";1994;141;"MERLMER";"i";"i";10;5;NA;NA
"MEDITS-GSA18";1994;142;"MERLMER";"i";"i";10;70;NA;NA
"MEDITS-GSA18";1994;89;"MERLMER";"i";"i";10;58;NA;NA
"MEDITS-GSA18";1994;90;"MERLMER";"i";"i";10;16;NA;NA
"MEDITS-GSA18";1994;93;"MERLMER";"i";"i";10;52;NA;NA
"MEDITS-GSA18";1994;95;"MERLMER";"i";"i";10;13;NA;NA
"MEDITS-GSA18";1994;97;"MERLMER";"i";"i";10;58;NA;NA
"MEDITS-GSA18";1994;136;"MICMPOU";"i";"i";10;22;NA;NA
"MEDITS-GSA18";1994;93;"MICMPOU";"i";"i";10;45;NA;NA
"MEDITS-GSA18";1994;109;"PAGEACA";"i";"i";10;1;NA;NA
